Model,Amazon Video,CinemaNow,Crackle (company),Flixster,Google Play,Hulu,ITunes,Movies Anywhere,Netflix,Sling TV Sling TV,Vevo,Vimeo,VUDU,WWE Network,YouTube,UltraFlix
Amazon Fire TV,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Apple TV,Yes (3rd generation and later),No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4th generation and later,Yes,with software version 7.2 and later,Yes (HD)
Asus,Yes,No,No,No,Yes,No,No,?,Yes,No,No,No,No,No,Yes,No
Google Google/Nexus Player,Yes[9],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hisense,No,No,Yes,Yes,Yes,No,No,?,Yes,No,No,No,Yes,No,Yes,Yes
Little Smart Box,No,No,Yes,Yes,Yes,Yes,No,?,Yes,No,Yes,Yes,Yes,No,Yes,No
Microsoft Microsoft,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes[10],Yes,No,Yes,Yes,Yes,Yes
NanoTech Nuvola,No,No,No,No,Yes,Yes,No,?,Yes,No,No,No,No,No,Yes,Yes
Nintendo,Yes,No,No,No,No,Yes,No,?,Yes,No,No,No,No,No,Yes,No
Roku | Roku,Yes,Yes,Yes,Yes,Yes[11],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SHIELD Android TV,Yes,Yes,Yes,Yes[12],Yes,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes[13],Yes,Yes
Sony Sony,Yes,Yes,Yes,No,No,Yes,No,?,Yes,No,No,No,Yes,Yes,Yes,No
Vizio Co-Star,Yes,No,Yes,No,No,LT only,No,?,Yes,No,No,No,Yes,No,Yes,Yes
Western Digital Western Digital,No,Yes,No,Yes,No,Yes,No,?,Live and Play versions,No,No,Yes,Yes,No,Yes,No
