ACER
Manufacturer,Model,Weight [Kilogram],Weight [Pound (weight)]," Viewable image size "" ",Display resolution,Display DPI [Note 1],Central processing unit,Speed [GHz],HSDPA,Video chipset,Video connection(s),Computer data storage,Storage [Gigabyte],Random-access memory [Random-access memory],Battery life [Hour] (low end),Battery life [Hour] (high end),Keyboard (computing) in % Keyboard (computing),Video Camera,Mouse (computing) layout,Linux Linux choice(s),Microsoft Windows Microsoft Windows choice(s),Manual / DataSheet
Acer Inc.,Aspire OneAspire One," 0.99, 1.26 "," 2.18, 2.77 ",8.9 - 11.6," 1024×600, 1366×768  Super video graphics array Super video graphics array ",133-135,Intel Atom,1.6,,Intel GMA,Video Graphics Array," Solid-state drive + Solid-state drive, Solid-state drive "," 8, 16 / 120, 160, 25 "," 0.5, 1, 2[2] ",3 (3-cell),6–7 (6-cell),?,Built-in," Touchpad, buttons on each side ",Linpus LinuxLinpus Linux,Windows 7,
ALWAYS INNOVATING
Always Innovating (page does not exist),Touch BookTouch Book,0.675/1.418 [Note 3],1.488/3.126 [Note 3],8.9,1024×600 touchscreen,133-102,Texas Instruments OMAP,0.6,,PowerVR SGX530 GPU + 430 MHz PowerVR DSP,None,Removable Secure DigitalSecure Digital,8,0.25," 3-5 (tablet only, 6000 mAh) "," 10-15 (with keyboard, 12000 mAh) ",95%,None,Touchpad 2-buttons below," Ångström distribution, Ångström distribution, Ångström distribution ",Microsoft Windows CE,
AIGO
Aigo,Aigo MID (page does not exist)Aigo MID (page does not exist),0.34,0.75,4.8,800×480,194,Intel Atom,0.8,HSDPA,Intel GMA,Video Graphics Array," Solid-state drive + Solid-state drive, Solid-state drive "," 8, 16 / 120 "," 0,5 or 1 ",3 (3-cell),6–7 (6-cell),,3.2 Pixel,Touchscreen,,Windows XP,
ARCHOS
Archos,Archos 10 (page does not exist),1.23,2.7,10.2,1024×600,116,Intel Atom,1.6,,Intel GMA,VGA,Hard disk drive,160,1,,,,1.3 Pixel,Touchpad 2-buttons below,,Windows XP,
ASUS
Manufacturer,Model,Weight [Kilogram],Weight [Pound (weight)]," Viewable image size "" ",Display resolution,Display DPI [Note 1],Central processing unit,Speed [GHz],HSDPA,Video chipset,Video connection(s),Computer data storage,Storage [Gigabyte],Random-access memory [Random-access memory],Battery life [Hour] (low end),Battery life [Hour] (high end),Keyboard (computing) in % Keyboard (computing),Video Camera,Mouse (computing) layout,Linux/Linux Linux choice(s),Microsoft Windows Microsoft Windows choice(s),Manual / DataSheet
Asus,Eee PC Eee PC,0.905,2.00,7,800×480 WVGA matte,133,Intel Celeron ULV 353,0.9,?,?,VGA,Solid-state drive,8,0.5,3.4,3.5,83%,0.3 Pixel,?,Linux,Windows XP Home,
Asus,Eee PC Eee PC,0.99,2.18,8.9,1024×600   Super video graphics array matte,133,Intel Celeron ULV 353,0.9,,?,VGA,Solid-state drive," 12, 16, 20 ",1,3.5 (4-cell),3.5 (4-cell),83%,1.3 PixelPixel,Touchpad 2-buttons below,Xandros,Windows XP,
Asus,Eee PC Eee PC,0.99,2.18,8.9,1024×600   Super video graphics array matte,133,Intel Atom,1.6,,Intel GMA,VGA,Solid-state drive," 4, 8, 16 ",1,3.5 (4-cell),3.5 (4-cell),83%," None, 0.3 Pixel ",Touchpad 2-buttons below,Xandros,Windows XP,
Asus,Eee PC Eee PC,1.23,2.7,8.9,1024×600   Super video graphics array matte,133,Intel Atom,1.6,,GMA 3150,VGA,Hard disk drive,160,1,3.5 (4-cell),10400 mAh 7.5hr (8-cell),83%,0.3 Pixel,Touchpad 2-buttons below,?,Windows XP,
Asus,Eee PC Eee PC,1.14,2.51,8.9,1024×600   Super video graphics array matte,133,Intel Atom,1.6,PCB sockets present. Mod option.,Intel GMA,VGA,Solid-state drive + Solid-state drive," 12, 20 ",1-2,4.2,7.8,83%,1.3 Pixel,Touchpad 2-buttons below,Xandros,Windows XP,
Asus,ASUS Eee PC,1.40,3.09,8.9,1024×600 WVGA,133,Intel Celeron,0.9,,?,VGA,Hard disk drive,80,1,?,?,?,?,,?,Windows XP,
Asus,ASUS Eee PC,1.45,3.19,10.1,1024×600   WSVGA matte,117,Intel Atom,1.6,,945 GME,VGA," Solid-state drive + Solid-state drive, Solid-state drive ",40 / 80 / 120 / 160," 1, 2 ",4.2,7.8,92%,?,,Xandros,Windows XP,
Asus,ASUS Eee PCASUS Eee PC,1.45,3.20,10.1,1024×600   WSVGA matte,117,Intel Atom,1.66,,GMA 950,VGA,Hard disk drive,160," 1, 2 ",?,9.5,92%,1.3 Pixel,Touchpad 2-buttons below,None,Windows XP,
Asus,ASUS Eee PCASUS Eee PC,1.1,2.4,10.1," 1024×600 Super video graphics array, matte ",117,Intel Atom,1.6,,GMA 950,VGA,Hard disk drive,160," 1, 2 (one slot, field upgradable) "," 4 (3-cell, 2200mAh, 23Wh) "," 8 (6-cell, 4600mAh, 48Wh) ",92%,0.3 Pixel," Touchpad 2-buttons below, multitouch ",GNU,Windows XP,
Asus,ASUS Eee PCASUS Eee PCASUS Eee PC,1.27,2.81,10.1," 1024×600 Super video graphics array, Super video graphics array ",117,Intel Atom,1.66,,GMA 950,VGA,Hard disk drive,160 + 10 Eee Storage," 1, 2 (one slot, field upgradable)[Note 4] ",," 10.5 (6-cell, 5600mAh, 63Wh) ",92%,1.3 Pixel," Touchpad 2-buttons below, multitouch ",None,Windows XP,
Asus,ASUS Eee PCASUS Eee PC,1.1,2.42 (with 3 cell battery?),10.1," 1024×600 Super video graphics array, Super video graphics array ",117,Intel Atom,?,,Intel UMA,VGA,Hard disk drive,160 (XP) / 250 (Win 7) + 10 Eee Storage," 1, 2 (one slot, field upgradable "," 4.5 (3 cell, 23Wh) "," 9 (6-cell, 48Wh) ",95%,0.3 Pixel," Touchpad 2-buttons below, multitouch ",None,Windows XP or 7 Starter,
Asus,ASUS Eee PCASUS Eee PC,1.09,2.40,10.1,1024×600   WSVGA glossy,117,Intel Atom,1.66,,GMA 950,VGA,Hard disk drive,160 + 10 Eee Storage," 1, 2 ",?,6.0,92%,1.3 Pixel,,GNU,Windows XP,
Asus,ASUS Eee PC 1015PASUS Eee PC 1015P,1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU),?,,?,VGA connector,Hard disk drive,?,1 - 2 (DDR2)," 5 (3-cell, 23Wh) "," 9 (6-cell, 48Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015P Manual
Asus,ASUS Eee PC 1015PDASUS Eee PC 1015PD,1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU) / Intel Atom (CPU),?,,NVIDIA ION N11M-PT1,VGA connector,Hard disk drive,160 / 250 / 320 + Web Storage (1 year),1 - 2 (DDR3)," 4.5 (3-cell, 23Wh) "," 13 (6-cell, 63Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015PD Manual
Asus,ASUS Eee PC 1015PEASUS Eee PC 1015PE,1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU),1.5,,?,VGA connector,Hard disk drive,160 / 250 / 320 + Web Storage (500 GB),1 - 2 (DDR2)," 5 (6-cell, 23Wh) "," 13.5 (6-cell, 63Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015PE Manual
Asus,ASUS Eee PC 1015PEDASUS Eee PC 1015PED,1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU) / Intel Atom (CPU),?,,?,VGA connector,Hard disk drive,160 / 250 / 320 + Web Storage (500 GB),1 - 2 (DDR3)," 4.5 (3-cell, 23Wh) "," 13 (6-cell, 63Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015PED Manual
Asus,ASUS Eee PC 1015PEMASUS Eee PC 1015PEM,1.27,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU),1.5,,?,VGA connector,Hard disk drive,160 / 250 / 320 + Web Storage (500 GB),1 - 2 (DDR3)," 10 (6-cell, 48Wh) "," 13 (6-cell, 63Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015PEM Manual
Asus,ASUS Eee PC 1015PNASUS Eee PC 1015PN,1.25,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU),?,,NVIDIA ION N11M-PT1," VGA connector, VGA connector ",Hard disk drive,250 + Web Storage (500 GB),1 - 2 (DDR3)," 8 (6-cell, 47Wh) "," 10 (6-cell, 56Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Home Premium / Windows 7 Home Premium,Eee PC 1015PN Manual
Asus,ASUS Eee PC 1015TASUS Eee PC 1015T,1.25,,10.1,1024x600 WSVGA,117,AMD Accelerated Processing Unit ?,?,,?,VGA connector,Hard disk drive,160 / 250 / 320,1 - 4 (DDR3)," 6 (6-cell, 48Wh) "," 7.5 (6-cell, 63Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015T Manual
Asus,ASUS Eee PC 1015BASUS Eee PC 1015B,1.28 / 1.3,,10.1,1024x600 WSVGA,117,AMD Accelerated Processing Unit AMD Accelerated Processing Unit / AMD Accelerated Processing Unit,1.2 / 1.0,,AMD Radeon HD 6250," VGA connector, VGA connector ",Hard disk drive,250 / 320 / 500 + Web Storage,1 - 2 (DDR3)," 3 (3-cell, 2200mAh, 23Wh) "," 8.5 (6-cell, 5200mAh, 56Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015B Manual
Asus,ASUS Eee PC 1015BXASUS Eee PC 1015BX,1.17 / 1.29,,10.1,1024x600 WSVGA,117,AMD C-30 / AMD C-30 / AMD C-30,1.2 / 1.0,,AMD Radeon HD 6250 / AMD Radeon HD 6250," VGA connector, VGA connector ",Hard disk drive,250 / 320 / 500 + 3 (Web Storage),1 - 2 (DDR3)," 3 (3-cell, 2200mAh, 23Wh) "," 7.5 (6-cell, 5200mAh, 56Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015BX Manual
Asus,ASUS Eee PC 1015CXASUS Eee PC 1015CX,1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU),1.6,,Intel NM10 (Chipset)," VGA connector, VGA connector ",Hard disk drive,320 / 500,1 - 2 (DDR3)," 5 (3-cell, 23Wh) "," 11 (6-cell, 47Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Starter,Eee PC 1015CX Manual
Asus,ASUS Eee PC 1016PASUS Eee PC 1016P,1.13 / 1.27,,10.1,1024x600 WSVGA,117,Intel Atom (CPU) Intel Atom (CPU),1.66,,Intel NM10 (Chipset),VGA connector,Hard disk drive,160 / 250 / 320,1 - 2 (DDR3)," 4.5 (3-cell, 23Wh) "," 13 (6-cell, 63Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Professional   Windows 7 Professional,Eee PC 1016P Manual
Asus,Asus Eee T91Asus Eee T91Asus Eee T91,0.9,2.1,8.9,1024×600   WSVGA Touchscreen,133,Intel Atom Z520,1.33,,GMA 500,VGA,Solid-state drive + Solid-state drive,16 + 20 Eee Storage,1," (Internal LiPo,? cell, 3850 mAh) ",4.0,92%,0.3 Pixel,Touchpad 2-buttons below,?,Windows XP,
Asus,Asus Eee T91MT (page does not exist),0.96,2.1,8.9,1024×600   WSVGA Touchscreen,133,Intel Atom Z520,1.33,,GMA 500,VGA,Solid-state drive + Solid-state drive,32 + 500 Eee Storage,1," (Internal LiPo,? cell, 3850 mAh) ",5.0,92%,0.3 Pixel,Touchpad 2-buttons below,?,Windows 7,
Asus,Asus Eee T101MT (page does not exist)Asus Eee T101MT (page does not exist),1.3,2.86,10.1,1024×600   WSVGA Resistive touchscreen,117,Intel Atom (CPU) Intel Atom (CPU) / Intel Atom (CPU),1.66,,GMA 3150,VGA,2.5&quot; SATA (page does not exist) + 2.5&quot; SATA (page does not exist),160/320 + 500 Eee Storage," 1, 2 "," Lithium-ion polymer battery,4 cell,?, 4900 mAh 35 Wh) ",6.5,?,0.3 Pixel,Touchpad 2-buttons below,?,Windows 7,
Asus,ASUS Eee PC 1225BASUS Eee PC 1225B,1.44,,11.6,1366x768 WXGA (graphics),135,AMD Accelerated Processing Unit AMD Accelerated Processing Unit / AMD Accelerated Processing Unit,1.65 / 1.0,,AMD Radeon HD 6320 / AMD Radeon HD 6320," VGA connector, VGA connector ",Hard disk drive,320 / 500 / 750 + 3 (Web Storage),1 - 4 (DDR3)," 7 (6-cell, 56Wh) "," 7 (6-cell, 56Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Home Premium,Eee PC 1225B Manual
Asus,ASUS Eee PC 1225CASUS Eee PC 1225C,1.45,,11.6,1366x768 WXGA (graphics),135,Intel Atom (CPU) Intel Atom (CPU) / Intel Atom (CPU),1.6 / 1.86,,?," VGA connector, VGA connector ",Hard disk drive,320 / 500,1 - 2 (DDR3)," 5 (3-cell, 2.6Ah) "," 7.5 (6-cell, 2.2Ah) ",?,0.3 Pixel,Touchpad 2-buttons below,Ubuntu,-,Eee PC 1225C Manual
Asus,ASUS Eee PC 1215PASUS Eee PC 1215P,1.45,,12.1,1366x768 WXGA (graphics),129,Intel Atom (CPU) Intel Atom (CPU),1.5,,?,VGA connector,Hard disk drive,250 / 320,1 - 2 (DDR),8 (6-cell),8 (6-cell),?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Home Premium / Windows 7 Home Premium,Eee PC 1215P Manual
Asus,ASUS Eee PC 1215BASUS Eee PC 1215B,1.45,,12.1,1366x768 WXGA (graphics),129,AMD Accelerated Processing Unit AMD Accelerated Processing Unit / AMD Accelerated Processing Unit / AMD Accelerated Processing Unit / AMD Accelerated Processing Unit / AMD Accelerated Processing Unit,1.65 / 1.6 / 1.2 / 1.0,,AMD Radeon HD 6320 / AMD Radeon HD 6320 / AMD Radeon HD 6320 / AMD Radeon HD 6320," VGA connector, VGA connector ",Hard disk drive,250 / 320 / 500 + 3 (Web Storage),1 - 4 (DDR3)," 8 (6-cell, 56Wh) "," 8 (6-cell, 56Wh) ",?,0.3 Pixel,Touchpad 2-buttons below,?,Windows 7 Home Premium,Eee PC 1215B Manual
Asus,ASUS Eee PC 1215NASUS Eee PC 1215N,1.45,,12.1,1366x768 WXGA (graphics),129,Intel Atom (CPU) Intel Atom (CPU),1.8,,?," VGA connector, VGA connector ",Hard disk drive,250 / 320 + Web Storage,1 - 4 (DDR),6 (6-cell),6 (6-cell),?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Home Premium,Eee PC 1215N Manual
Asus,ASUS Eee PC 1215TASUS Eee PC 1215T,1.45,,12.1,1490x900 WXGA+,147,AMD Athlon II Neo K125,1.7,,AMD Radeon HD 4250," VGA connector, VGA connector ",Hard disk drive,250 / 320,1 - 2 (DDR3),? (6-cell),? (6-cell),?,0.3 Pixel,Touchpad 2-buttons below,-,Windows 7 Home Premium,Eee PC 1215T Manual
AVERATEC
Averatec,Averatec BuddyAveratec Buddy,1.19,2.62,10.2,?,?,Intel Atom,1.6,,?,VGA,Hard disk drive,160,1,?,?,?,?,,,,?,XP,
Axioo (page does not exist),Axioo Pico (page does not exist)Axioo Pico (page does not exist),1.2,2.6,10,1024×600   WSVGA,118,Intel Atom N270,1.6,,?,?,Hard disk drive,120,1 [Note 5]," ? (3 cells, 2200 mAh) "," ? (6 cells, 5200 mAh) ",?,?,,?,Windows XP,
BELCO (page does not exist),450R[35],0.75,1.65,7,800x480,133," DM&amp;P PDX-600 (Vortex86, iVortex86 compatible) ",1,,XGI Z9s (no 3D acceleration),?,SSD,4/8,0.5,? 2000 mAh,?,?,?,,?,?,
BENQ
BenQ,BenQ Joybook (page does not exist),1.05,2.31,10.1,1024×576 WSVGA  16:9 Organic light-emitting diode Organic light-emitting diode,117,Intel Atom,1.66,,GMA 950,VGA,Solid-state drive+Solid-state drive," 4 (SSD) 80, 120, 160 (HDD) "," 1.5, 2.5 (512MB built in) ",?,4,90%,?,,,Linux Lite,Windows XP,
Datacask (page does not exist),Datacask Jupiter 1014a (page does not exist)Datacask Jupiter 1014a (page does not exist),1.25,2.75,10.2,1024x600,116,Intel Atom,1.6,,GMA 945,VGA,Hard disk drive," 80, 160 "," 0.5, 1, 2 ",4 (4000 mAh),?,83%,1.3 Pixel,Touchpad 2-buttons below,Knoppix Variant (page does not exist),Windows XP,
DELL
Manufacturer,Model,Weight [Kilogram],Weight [Pound (weight)]," Viewable image size "" ",Display resolution,Display DPI [Note 1],Central processing unit,Speed [GHz],HSDPA,Video chipset,Video connection(s),Computer data storage,Storage [Gigabyte],Random-access memory [Random-access memory],Battery life [Hour] (low end),Battery life [Hour] (high end),Keyboard (computing) in % Keyboard (computing),Video Camera,Mouse (computing) layout,Linux/Linux Linux choice(s),Microsoft Windows Microsoft Windows choice(s),Manual / DataSheet
Dell,Dell Inspiron Mini 9Dell Inspiron Mini 9,1.06,2.34[38],8.9,1024×600   Super video graphics array Super video graphics array,133,Intel Atom,1.6,,GMA 950,VGA,Solid-state drive + Solid-state drive," 4, 8, 16, 32, 64 "," 0.5, 1, 2 (one slot, field upgradable) ",3.5[39] (4-cell),3.5 (4-cell),83%,?,Touchpad 2-buttons below,Dell Ubuntu Netbook Remix,Windows XP,
Dell,Dell Inspiron Mini SeriesDell Inspiron Mini Series,1.3,2.86,10,1366x768 1024x576,156 117,Intel Atom,1.3 / 1.6,,GMA 500,HDMI (VGA on 10v),Hard disk drive,120 / 160,1,,,92%,?,,Ubuntu Netbook Remix,Windows XP,
Dell,Dell Inspiron Mini 12Dell Inspiron Mini 12,1.24,2.73,12.1,1200x800,119,Intel Atom,1.3 / 1.6,,Intel GMA,VGA,Hard disk drive,60 / 80,1,3 (3-cell),6.5 (6-cell),91.9%,?,Touchpad 2-buttons belowTouchpad,Ubuntu Netbook Remix,Vista Home Basic,
Dell,Dell Latitude 2100 (page does not exist)Dell Latitude 2100 (page does not exist),1.54,3.4,10.1,1024x576,116,Intel Atom,1.6,,GMA 950,VGA,Hard disk drive or Hard disk drive,16(ssd) / 80 / 180 /250," .5 1 1.5 2 (one slot, field upgradable) ",2.24 (3-cell),4.47 (6-cell),89%,?,,Ubuntu (operating system),Windows XP,
Dell,Dell Latitude 2120 (page does not exist),1.54,3.4,10.1,1024x600 Super video graphics array Super video graphics array,116,Intel Atom (CPU) Intel Atom (CPU),1.5,,Intel GMA 8MB,VGA,Hard disk drive or Hard disk drive,16(ssd) / 80 / 180 /250," .5 1 1.5 2 (one slot, field upgradable) ",2.24 (3-cell),4.47 (6-cell),89%,1.3 Pixel,Touchpad 2-buttons below,Ubuntu (operating system),Windows XP,2120 Service Manual BIOS Setup Features
E-LEAD
