Office suite,Microsoft Windows,Macintosh OS,Linux,Berkeley Software Distribution,Unix,Android (operating system),IOS
Ability Office,Yes,No,No,No,No,No,No
Apache OpenOffice,Yes,Yes,Yes,Yes,Yes,No,No
GEOS (16-bit operating system)," MS-DOS, MS-DOS ",No,No,No,No,No,No
Calligra Suite,Yes,Yes,Yes,Yes,Yes,No,No
Feng Office Community Edition,Fully online,Fully online,Fully online,Fully online,Fully online,No,No
Gobe Software,Yes,No,No,No,No,No,No
Google Apps for Work,Fully online,Fully online,Fully online,Fully online,Fully online,Fully online,Fully online
IWork,Fully online (ICloud version),Yes,Fully online (iCloud version),Fully online (iCloud version),Fully online (iCloud version),No,Yes
LibreOffice,Yes,Yes,Yes,Yes,Yes,Software release life cycle,No
Lotus SmartSuite,Yes,No,Some (with Wine software),No,No,No,No
Mariner Software,No,Yes,No,No,No,No,Calc only
Microsoft Office,Yes," Partial (not all features available, e.g. Project, Visio, Access) ",Some (with Wine software),No,No,Yes,Yes
Microsoft Works,Yes,Dropped (4.0; Classic Mac OS only),Some (with Wine software),No,No,No,No
OfficeSuite,Yes,No,No,No,No,No,No
NeoOffice,No,Mac OS X v10.3 or above,No,No,No,No,No
OnlyOffice,Yes,Yes,Yes,Online version,Online version,Yes,Yes
SoftMaker Office,Yes,Yes,Yes,Dropped (2006),No,Yes,No
StarOffice,Yes,Yes (Intel only),Yes,Yes,Yes,No,No
TeXmacs,Yes,Yes,Yes,Yes,Yes,No,No
TeamLab,Fully online,Fully online,Fully online,Fully online,Fully online,No,No
ThinkFree Office,Fully online,Fully online,Fully online,Fully online,Fully online,No,No
Tiki Wiki CMS Groupware,Fully online,Fully online,Fully online,Fully online,Fully online,No,No
WordPerfect Office,Yes,No,Some (Ver. 2000),No,No,No,No
WPS Office (Kingsoft Office),Yes,Yes,Yes,No,No,Yes,Yes
Zoho Office Suite,Fully online,Fully online,Fully online,Fully online,Fully online,No,No
