Software Name,E-mail client,HTML editor,Collaborative software,Online editing
Ability Office,No,No,No,No
Apache OpenOffice,No,OpenOffice WriterOpenOffice Writer,No,With free plugins
GEOS (16-bit operating system),Yes,Yes,No,No
Calligra Suite,KontactKontact," Kate (text editor),Kate (text editor) Kate (text editor)Kate (text editor) ",No,No
Feng Office Community Edition,beta,No,Yes,Yes
GobeProductive,No,Yes,No,No
Google Apps for Work,Gmail,Google Sites,Yes,Fully online
IWork,Mail,No,Yes,ICloud
LibreOffice,Can interface with email clients and Mail Merge Wizard can send email directly from LibreOffice[26],LibreOffice Writer,LibreOffice Calc,Currently via free plugins; LibreOffice Online under development.[27]
Lotus SmartSuite,No,Lotus FastSite (page does not exist),Yes,No
Mariner Software,No,No,No,No
Microsoft Office,Microsoft Outlook (Not included in Microsoft Office 2013 or 2016 Home &amp; Student)Microsoft OutlookMicrosoft Outlook," Microsoft SharePoint Designer. Versions after Office 2000 Premium and Developer contain Microsoft SharePoint Designer, the full-blown web page editor. Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0 ",Microsoft SharePoint (Available for separate subscription)Microsoft SharePoint,Office Online
Microsoft Works,No,No,No,Microsoft Office Live
OfficeSuite OfficeSuite," OfficeSuite Mail for Windows, AquaMail for Android ",No,No,No
NeoOffice,No,NeoOffice WriterNeoOffice Writer,No,No
OnlyOffice,Yes,No,Yes,Fully online
SoftMaker Office,a bundled Mozilla Thunderbird,No,No,No
StarOffice,No,StarWriter (word processor)StarWriter (word processor),No,With free plugins
TeXmacs,allows to read emails,Yes,under development,No
TeamLab,No,Yes,Yes,Yes
ThinkFree Office,No,Note,No,ThinkFree.com
Tiki Wiki CMS Groupware,Tiki Webmail,WYSIWYG editor via CKEditor,Yes,Fully online
WordPerfect Office,has mail merge capabilities[31],No,No,Yes
WPS Office (Kingsoft Office),available in Android,Yes,Yes,Yes
Zoho Office Suite,Zoho Mail,Zoho Writer,Yes,Yes
Software Name,E-mail client,HTML editor,Collaborative software,Online editing
