,Google Play Music,YouTube Music,iBroadcast,ITunes Match,VOX Music Cloud (page does not exist)
Owner:,Google,YouTube (YouTube)," iBroadcast Media, LLC ",Apple Inc.,Coppertino Inc.
Launch date:,2011-05-10 (beta)[9],2015-11-12,2012-06-15[10],2011-10-12,2015-04-15[11]
Web player:,Yes[12],Yes,Yes,No,No
Windows player:,Chrome,Chrome,No,Yes,No
Android player:,Yes[12],Yes,Yes,Yes,No
iOS player:,Yes[13],Yes,Yes,Yes,Yes[14]
Windows Phone player:,No,No,No,No,No
Other listening platforms:," Android TV, Android TV, other Android TV, Android TV, Android TVAndroid TV "," Amazon Alexa, Amazon Alexa, Amazon Alexa, Amazon Alexa, Amazon Alexa, Amazon Alexa ",," Apple TV, other Apple TV "," MacOS, MacOS via MacOS, MacOS, MacOSMacOS "
Free space:[a]," 50,000 files[17] "," 100,000 files[18] ",no limit,None[19]
Upload software:," Windows, macOS, Linux,[20] any web browser[21] ",Any web browser[18]," Windows, any web browser "," Windows, macOS "," VOX Player for Mac, any web browser "
Filetypes uploaded:,MP3[22],AAC," MP3, AAC, OGG, FLAC, PCM, MKA ",MP3 and AAC," FLAC, MP3, AAC, M4A, WAV, OGG, AIFF, WMA, APE, ALAC "
Filetypes transcoded:," Transcoded to 320 kbit/s MP3: AAC, ALAC, FLAC,[b] WMA,[c] OGG[23] "," Transcoded to 256 kbit/s AAC: FLAC, M4A, MP3, OGG, WMA[18]  ",," Transcoded to 256 kbit/s AAC: ALAC, WAV, AIFF ",None
Maximum file size:,300 MB[24],,,200 MB or 2 hours[25],No limit
Premium service name:,None,YouTube Music YouTube Music,None,ICloudICloud,Loop Music Cloud Storage
Premium service features:,Matching included in basic features[27]," Ads-free, background play, download music offline, use audio-only mode, travel with YouTube Music, shuffle downloads, Apple Carplay &amp; Android Auto compatibility[28] ",N/A," Match/import up to 100,000 files[d][29] ",Unlimited storage and playback
Premium annual cost:,,$119.88 (YouTube Music) $143.88 (YouTube Music),N/A," $24.99 (US), £21.99 (UK), €24.99 (FR), $39.99 (AU) ",$131.88
Matchable file types:," MP3, AAC, ALAC, FLAC, Ogg, WMA[23] ",," MP3, AAC, AIFF, ALAC,  WAV[26] ",No matching feature
Result for matched song:,320 kbit/s CBR MP3[30][31],,256 kbit/s AAC[26],No matching feature
Premium service countries:,63[32][33],94 (YouTube Music)YouTube Music 95 (YouTube Music)YouTube Music,117[35],Worldwide
