,IBM AIX,Berkeley Software Distribution,HP-UX,Linux,OS X,Solaris (operating system),Microsoft Windows,Others
Ansible (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Need linux control machine),Yes[98]
Bcfg2,Partial[99],Yes[100],No,Yes[101],Partial[102],Yes,No,No
CFEngine,Yes,Yes[100],Yes,Yes,No,Yes,Yes,Yes[103]
Cdist,,Yes,,Yes,Yes,,No,
Chef (software),Yes[104],Yes,Yes,Yes,Yes,Yes,Yes[105],Yes
ISconf,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Juju (software),,,,Yes,,,Yes[106],
Local ConFiGuration system (LCFG),No,No,No,Partial[107],Partial[108],Partial[109],No,No
OCS Inventory NG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Open pc server integration (Opsi),No,No,No,Yes,No,No,Yes,No
PIKT (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[110]
Puppet (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quattor,No,No,No,Yes,Partial[111],Yes,No,No
Radmind,Yes,Yes[100][112][113],No,Yes,Yes,Yes,Yes,No
Rex (software),,Yes,,Yes,Yes[114],Yes,Yes[114],No
Rudder (software),Yes,Partial[115],No,Yes,Partial[115],Partial[116],Yes,Yes[117]
SmartFrog,No[118],No[118],Yes,Yes,Yes,Yes,Yes,No[118]
Salt (Software),Yes,Yes,Partial[119],Yes[120],Yes,Yes[121],Yes,Partial[119]
Spacewalk (software),No[122],No,No,Yes[123],No,Yes[124],No,No
STAF,Yes[125],Yes[126],Yes[127],Yes[128],Yes[129],Yes[130],Yes[131],Yes[132]
Synctool,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[133]
