Name,Firewall (networking),Internet protocol suite,IPv6,IPX,Point-to-Point Protocol,Point-to-Point Protocol over Ethernet,Dynamic Host Configuration Protocol,Bridging (networking),TUN/TAP,Secure Shell,OpenVPN
Linux,Netfilter Netfilter/Netfilter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FreeBSD," IPFW2, IPFW2, IPFW2 ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OpenBSD,PF (firewall),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NetBSD," IPFilter, IPFilter, IPFilter ",Yes,Yes,,Yes,Yes[Note 1],Yes,Yes,Yes,Yes,Yes
DragonFly BSD," IPFW2, IPFW2 ",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,
" OpenSolaris, OpenSolaris ",IPFilter,Yes,Yes,,Yes,Yes,Yes,Yes,Yes[Note 2],Yes,Yes
AuroraUX (page does not exist),IPFilter,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes
" Darwin (operating system), Darwin (operating system) ",Ipfirewall,Yes,Yes,,,,Yes,,,Yes,
MINIX,,Yes,,,,,,,,Yes,
FreeDOS,,Yes,,Yes,Yes,Yes,Yes,,,Yes,
Genode,software IP routing,Yes,,No,No,No,Yes,Yes,,,
Haiku (operating system),None,Yes,Yes,,,,Yes,,,Yes,Yes
KolibriOS,None,Yes,,No,Yes,No,Yes,,,,
MenuetOS,None,Yes,,No,No,No,,,,,
GNU,Netfilter Netfilter/Netfilter (with Netfilter and Netfilter)Netfilter,Yes,Yes[Note 4],,,,Yes[Note 5],,,Yes,
ReactOS,,Yes,Yes,,,,,,,,
" L4 microkernel family, L4 microkernel family, L4 microkernel family ",,,,,,,,,,,
Plan 9 from Bell Labs,ipmux,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Amiga Research Operating System,,Yes,,,,,,,,,
Syllable Desktop,,Yes,,,Yes,Yes,Yes,,,Yes,
Inferno (operating system),ipmux,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
FreeRTOS,,,,,,,,,,,
ECos,,Yes,Yes,,Yes,,Yes,,,Yes,
RTEMS,,Yes,No,,Yes,Yes,Yes,Yes,Yes,,
HelenOS,,Yes,Yes,No,No,No,Yes,No,No,No,No
E/OS,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Name,Firewall,TCP/IP,IPv6,IPX,PPP,PPPoE,DHCP,bridge,TUN/TAP,ssh,OpenVPN
