Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,List of orbits,,First,Last
Antares (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Orbital Sciences Corporation," 5,100[6] ",," 1,500 to SSO ",5[6],2013,2014
Ariane 1,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale," 1,400 "," 1,830[185] ",,11[185],1979,1986
Ariane 2,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale,," 2,270[185] ",,6[185],1986,1989
Ariane 3,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale,," 2,650[185] ",,11[185],1984,1989
Ariane 4 40,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale," 4,600[185] "," 2,105 "," 2,740 to SSO ",7[185],1990,1999
Ariane 4 42L,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale," 7,000[185] "," 3,480 "," 4,500 to SSO ",13[185],1993,2002
Ariane 4 42P,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale," 6,000[185] "," 2,930 "," 3,400 to SSO ",15[185],1990,2002
Ariane 4 44L,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale," 7,000[185] "," 4,720 "," 6,000 to SSO ",40[185],1989,2003
Ariane 4 44LP,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale," 7,000[185] "," 4,220 "," 5,000 to SSO ",26[185],1988,2001
Ariane 4 44P,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Aérospatiale," 6,500[185] "," 3,465 "," 4,100 to SSO ",15[185],1991,2001
Ariane 5 G,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,EADS Astrium Space Transportation," 18,000[11] "," 6,900[11] ",,16[11],1996,2003
Ariane 5 G+,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,EADS Astrium Space Transportation,," 7,100[11] ",,3[11],2004,2004
Ariane 5 GS,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,EADS Astrium Space Transportation," 16,000[186] "," 6,600[11] ",,6[11],2005,2009[187]
Ariane 5 ES,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,EADS Astrium Space Transportation," 21,000[8] "," 8,000[11] ",,8[11],2008,2018
Augmented Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,ISROISRO,150[189],,,4[189],1987,1994
Athena I,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin,795[190],515,,4[191],1995,2001
Athena II,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 1,800[192] ",,,3[193],1998,1999[194]
Atlas-Centaur,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Corporation," 1,134[195] "," 2,222[196] ",,148,1962,1983
Atlas G,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Corporation," 5,900[197] "," 2,222 "," 1,179 to HCO[197] ",7[197],1984,1989
Atlas H/Atlas H,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Corporation," 3,630[198] ",,,5,1983,1987
Atlas I,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 5,900[197] "," 2,340[197] ",,11[197],1990,1997
Atlas II,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 6,780[197] "," 2,810 "," 2,000 to HCO[197] ",10[197],1991,1998
Atlas IIA,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 7,316[197] "," 3,180 "," 2,160 to HCO[197] ",23[197],1992,2002
Atlas IIAS,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 8,618[197] "," 3,833 "," 2,680 to HCO[197] ",30[197],1993,2004
Atlas IIIA,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 8,686[197] "," 4,060 "," 2,970 to HCO[197] ",2[197],2000,2004
Atlas IIIB/Atlas III,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 10,759[197] "," 4,609[197] ",,1[197],2002,2002
Atlas IIIB/Atlas III,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 10,218[199] "," 4,193[197] ",,3[197],2003,2005
Black Arrow,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,Royal Aircraft Establishment,73[200],,,2 (+2),1969[a],1971
Commercial Titan III,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 13,100[201] ",,,4,1990,1992
Delta 0100,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,McDonnell Douglas,,340[202],747 to SSO[203],3[204],1972,1973[205]
Delta 0100,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,McDonnell Douglas," 1,300[206] ",,818 to SSO[204],2[204],1972,1972
Delta 1000,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,McDonnell Douglas,340[207],,,1[204],1975,1975
Delta 1000,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,McDonnell Douglas,390[208],,,2[204],1972,1973
