Name,Can boot an OS on another disk partition as guest,USB support,GUI,Live memory allocation,3D acceleration,Snapshot (virtualization) per VM,Snapshot of running system,Live migration,Shared folders,Shared clipboard,PCI passthrough
Kernel-based Virtual Machine,Yes,Yes,Yes[23],Yes,Yes (via AIGLX),Yes,Yes[24],Yes[25],,,Yes
User Mode Linux,Yes,No,No,No,No,,,No,Yes,N/A,
Solaris Containers,Yes,Yes,Yes,Yes,Not needed,Yes[26],Yes,No,Yes,Not needed,Not needed
DosBox,No,No,SVN builds only,No,Glide (SVN builds only),No,Yes,No,No,No,No
" Oracle VirtualBox (formerly OSE, GPLv2), with  Guest Additions  (GPLv2)VirtualBox ",Yes,USB 1.1 only,Yes,Yes,No,Yes branched[28],Yes,Yes,with Guest Additions[29],with Guest Additions[29],No
Oracle VirtualBox with  Extension Pack  (PUEL) and  Guest Additions  (GPLv2)VirtualBox,Yes,Yes,Yes,Yes,OpenGL 2.0 and Direct3D 8/9[30],Yes branched[28],Yes,Yes,Yes,Yes,Linux only[31]
Oracle VM Server for SPARC (LDoms),Yes,USB 2.0,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
Open Kernel Labs,Yes,Yes,VMs only,Yes,Yes,,,No,,,Static assignment
Virtual Iron 4.2,,,,,,,,Yes,,,
Virtual PC 2007,No,No,Yes,No,No,,,No,Yes,Yes,
Windows Virtual PC,No,partially,Yes,No,No,,,No,Yes,Yes,
VirtualPC 7 for Mac,No,Yes,Yes,Yes,No,,,No,Yes,Yes,
Microsoft Virtual Server 2005 R2,,No,Yes,No,No,?,Yes,No,,,
Hyper-V 2008 R2,Yes,Partial support over remote desktop connections [11],Yes,Yes,DirectX 9.0c RemoteFX (via RemoteFX),Yes branched,Yes,Yes,,,No
Hyper-V 2012 R2,Yes,Yes,Yes,Yes,DirectX 9.0c RemoteFX (via RemoteFX),Yes branched,Yes,Yes,,,No
Virtuozzo,Yes,Yes,Yes,Yes,No,,,Yes,,,
VMware ESX Server 3.0 atp,,,Yes,,No,?,Yes,Yes,,,No
VMware ESX Server 2.5.3,,,Yes,,No,,,,,,No
VMware ESX Server 4.0 (vSphere),Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,,,Yes[32]
VMware Fusion 2.0,Yes,Yes,Yes,No,DirectX 9 Shader model 2,,,No,,,No
VMware Server,Yes,Yes,Yes,Yes,No,VMware Server,Yes,No,Yes,Yes,
VMware Workstation 5.5,Yes,Yes,Yes,Yes,Experimental support for DirectX 8; also supported with VMGL[33],Yes branched,Yes,No,Yes,Yes,No
VMware Workstation 6.0,Yes,Yes,Yes,Yes,Experimental support for DirectX 8; Also supported with VMGL[33],Yes branched,Yes,No,Yes,Yes,No
VMware Workstation 7.0 and 8.0,Yes,Yes,Yes,Yes,Support for DirectX 9.0c Shader Model 3 and OpenGL 2.13D.[34],Yes branched,Yes,No,Yes,Yes,No
VMware Player,Yes,Yes,Yes,Yes,supported with VMGL[33],No,No,No,Yes,,No
Wind River Systems hypervisor,Yes,Yes,Yes,Yes,Yes,,,No,,,
Wind River Systems VxWorks MILS Platform,Yes,,,,,,,,,,
Xen,Yes,Yes[35],Yes[23],Yes,Supported with VMGL[33],?,Yes,Yes,,,Yes
XCP-ng,Yes,Yes,Yes,Yes,,,Yes,Yes,,,
XenServer,Yes,,Yes[23],Yes,Supported with VMGL[33],Yes,Yes,Yes,,,Yes
Z/VM,Yes,Not applicable,Yes (zURM/HMC),Yes,Not applicable,,,Yes (2011),,Not applicable,Not applicable
z LPAR,Yes,Not applicable,Yes (HMC),Yes,Not applicable,,,Yes (2007),,Not applicable,Not applicable
Name,Can boot an OS on another disk partition as guest,USB,GUI,Live memory allocation,3D acceleration,Snapshots per VM,Snapshot of running system,Live migration,Shared folders,Shared clipboard,PCI passthrough
