Format,Languages
name[first:last]," ALGOL 68,ALGOL 68 ALGOL 68 "
name[first+(⍳len)-⎕IO],APL (programming language)
name[first:end:step]," Python (programming language),Python (programming language)Python (programming language) Python (programming language) "
name[first..last]," Pascal (programming language), Pascal (programming language), Pascal (programming language), Pascal (programming language) "
$name[first..last],Windows PowerShell
@name[first..last],PerlPerl
"  name[first..last]  name[first...end]  name[first, len] ",Ruby (programming language)Ruby (programming language)
copy/part skip name first len,Red (programming language)
name(first..last),Ada (programming language)Ada (programming language)
name(first:last)," Fortran,FortranFortran Fortran, FortranFortranFortran "
name[[first;;last;;step]]," Mathematica,MathematicaMathematicaMathematica Mathematica "
name[[first:last]],S-Lang (programming library)S-Lang (programming library)S-Lang (programming library)S-Lang (programming library)
name.[first..last],F Sharp (programming language)
"  name.slice(first, end) "," Haxe, Haxe, Haxe "
"  name.slice(first, len) ",CFML
"  array_slice(name, first, len) ",PHPPHP
(subseq name first end),Common Lisp
(subseq name first end),ISLISP
Array.sub name first len,OCaml
"  [name subarrayWithRange:NSMakeRange(first, len)]    ",Objective-C (NSArray * only)
(first([+i.@(-~)end){name,J (programming language)
name[first..<end]  name[first...last],Swift (programming language)
name copyFrom: first to:last  name copyFrom: first count:len,Smalltalk
name[first..end]," D (programming language), D (programming language)D (programming language)D (programming language) "
name[first..end]  name[first..=last],Rust (programming language)
name[first:end],Cobra (programming language)
