,exit block(break),continue,Label (programming language),branch (Goto),return value from generator
Ada (programming language)Ada (programming language),exit «loop_name» «when condition»,N/A,label:,goto label,N/A
ALGOL 68,value exit; ...,do statements; skip exit; label: statements od,label: ...,go to label; ... goto label; ... label; ...,yield ( value ) (Callback (computer science))Callback (computer science)
APL (programming language),:Leave,:Continue,label:,→label or :GoTo label,N/A
C (C99),break;,continue;,label:,goto label;,N/A
Objective-C,,,,,
C++ (STL),,,,,
D,,,,,
C#,,,,,yield return value;
Java,break «label»;,continue «label»;,,N/A,
JavaScript,,,,,yield value«;»
PHP,break «levels»;,continue «levels»;,goto label;,yield «key =>» value;
Perl,last «label»;,next «label»;,,
Raku,,,,
Go,break «label»,continue «label»,goto label,
Swift,break «label»,continue «label»,N/A,
Bash shell,break «levels»,continue «levels»,N/A,N/A,N/A
Common Lisp,(return) or   (return-from block) or   (loop-finish),,(tagbody tag     ...  tag  ...),(go tag),
Scheme,,,,,
ISLISP,(return-from block),,(tagbody tag     ...  tag  ...),(go tag),
Pascal(ISO),N/A,,label:[a],goto label;,N/A
Pascal(FPC),break;,continue;,,,
Visual Basic," Exit blockAlternatively, for methods, Return  ",N/A,label:,GoTo label,
Xojo,,Continue block,,,
Visual Basic .NET,,,,,Yield value
Python,break,continue,N/A,,yield value
RPG IV,LEAVE;,ITER;,,,
S-Lang,break;,continue;,,,
Fortran,EXIT,CYCLE,label[b],GOTO label,N/A
Ruby,break,next,,,
Windows PowerShell,break «label»,continue,,,
OCaml,N/A,,,,
F#,
Standard ML,
Haskell (GHC),
COBOL,EXIT PERFORM or EXIT PARAGRAPH or EXIT SECTION or EXIT.,EXIT PERFORM CYCLE,label «SECTION».,,GO TO label,N/A
Ya,break «from where»; f.e.  break for switch;,continue «to where»; f.e.  continue for switch;,:label,,goto :label;,N/A
