Symbol,Languages
comment ~ ;," ALGOL 60, ALGOL 60 "
" ¢ ~ ¢, # ~ #, co ~ co, comment ~ comment ",ALGOL 68ALGOL 68ALGOL 68
/* ~ */," ActionScript, AutoHotkey, C, C++, C#, D,AutoHotkey Go, AutoHotkey, AutoHotkey, AutoHotkey, AutoHotkey, AutoHotkey, AutoHotkey, AutoHotkey, AutoHotkey, AutoHotkey (can be nested), Scala (can be nested), AutoHotkey, SASS, SQL, Swift (can be nested), AutoHotkey, AutoHotkey "
#cs ~ #ce,AutoItAutoIt
/+ ~ +/,D (can be nested)[14]
/# ~ #/,Cobra (programming language) (can be nested)
<# ~ #>,Powershell
=begin ~ =cut,Perl
#`( ~ )," Raku (programming language) (bracketing characters can be (), <>, {}, [], any Unicode characters with BiDi mirrorings, or Unicode characters with Ps/Pe/Pi/Pf properties) "
=begin ~ =end,Ruby
" #<Tag (metadata)> ~ #</Tag (metadata)>, #stop ~ Tag (metadata), #iffalse ~ #endif, #ifntrue ~ #endif,  #if false ~ #endif, #if !true ~ #endif ",S-Lang (programming language)S-Lang (programming language)
{- ~ -},Haskell (programming language) (can be nested)
(* ~ *)," Delphi, ML, Mathematica, Object Pascal, Delphi, Delphi, Delphi, Delphi (can be nested), Standard ML (can be nested), Maple, Delphi, Delphi "
{ ~ }," Delphi, Object Pascal, Pascal, Red (programming language) "
|# ~ #|,Curl
%{ ~ %},MATLABMATLAB (the symbols must be in a separate line)
#| ~ |#," Lisp (programming language), Lisp (programming language), Lisp (programming language) (can be nested in all three). "
" --[[ ~ ]], --[=[ ~ ]=], --[=...=[ ~ ]=...=] ",Lua (programming language) (brackets can have any number of matching = characters; can be nested within non-matching delimiters)
" "" ~ "" ",Smalltalk
(comment ~ ),Clojure
