Language,Intended use,Imperative programming,Object-oriented programming,Functional programming,Procedural programming,Generic programming,Reflective programming,Event-driven programming,Other Programming paradigm(s),Standardization?
1C:Enterprise programming language," Application software development, Application software development,  business, Application software development, Application software development, Application software development ",Yes,,Yes,Yes,Yes,Yes,Yes," Object-based, Prototype-based programming  ",No
ActionScript 3.0," Application, Client-side, web ",Yes,Yes,Yes,,,,Yes,," 1996, ECMA "
Ada (programming language)," Application, Embedded system, Embedded system, Embedded system ",Yes,Yes[2],,Yes[3],Yes[4],,," Concurrent programming language,Concurrent programming language Concurrent programming language,Concurrent programming language "," 1983, 2005, 2012, ANSI, ISO, GOST 27831-88GOST "
Aldor," Highly Domain-specific language, Domain-specific language ",Yes,Yes,Yes,,,,,,No
ALGOL 58,Application,Yes,,,,,,,,No
ALGOL 60,Application,Yes,,,,,,,," 1960, IFIP WG 2.1, ISOIFIP WG 2.1 "
ALGOL 68,Application,Yes,,,,,,,concurrent," 1968, IFIP WG 2.1, IFIP WG 2.1,IFIP WG 2.1 "
Ateji PX,Parallel application,,Yes,,,,,,Pi calculus,No
APL (programming language)," Application, Data processing ",Yes,Yes,Yes,Yes,Yes,Yes,Yes," Array programming, Array programming "," 1989, ISO "
Assembly language,General purpose programming language,Yes,,,,,,," any, syntax is usually highly specific, related to the target processor ",IEEE 694-1985[10]
AutoHotkey," GUI automation (Macro (computer science)), highly domain-specific ",Yes,Yes[11],,Yes,,,Yes,,No
AutoIt," GUI automation (macros), highly domain-specific ",Yes,,,Yes,,,Yes,,No
Ballerina (programming language)," Integration, agile, Server-side, general ",Yes,Yes,Yes,Yes,,,Yes," concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming ",2018 De facto standard via Ballerina Language Specification[12]
Bash (Unix shell)," Shell (computing), Shell (computing) ",Yes,,,Yes,,,,," No, but optionally POSIX.2 POSIX.2 "
BASIC," Application, education ",Yes,,,Yes,,,,," 1983, ANSI, ISO, ECMA "
BeanShell," Application, scripting ",Yes,Yes,Yes,,,Yes,,," In progress, Java Community ProcessJava Community Process "
BLISS,System,,,,Yes,,,,,No
BlitzMax," Application, game ",Yes,Yes,,Yes,,Yes,,,No
Boo (programming language)," Application, game scripting ",,Yes,,,,,,,No
Bro (software)," domain-specific, application ",Yes,,,,,,Yes,,No
C (programming language)," Application, system,[15] general purpose, low-level operations ",Yes,,,Yes,Yes,,,," 1989, ANSI CANSI C "
C++," Application, system ",Yes,Yes,Yes,Yes,Yes,,,," 1998. ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014,ISO/IEC 2017[17] "
C Sharp (programming language)," Application, RAD, business, client-side, general, server-side, web ",Yes,Yes,Yes[18],Yes,Yes,Yes,Yes," structured, concurrent "," 2000, ECMA, ISO[19] "
Clarion (programming language)," General, business, web ",Yes,Yes,Yes[20],,,,,,Unknown
Clean (programming language),General,,,Yes,,Yes,,,,No
Clojure,General,,,Yes,,,,,concurrent,No
CLU (programming language),General,Yes,Yes,,Yes,Yes,,,,No
