,Creator,Released,Latest version,List price (United States dollar),Software license,Supported OS (without emulation)
CorelDRAW,Corel,1989,2020," $449, $169 upgrade ",Proprietary software,Windows
Easy Trace,Easy Trace Group,2015,12.0," 960 €, 480 € upgrade, Version 7.99 and 8.65 free ",Proprietary software,Windows
Adobe Illustrator,Adobe Systems,1985,24.1.0 (CC2020),$19.99 per month,Proprietary software," Windows, macOS "
Graphic Tracer Professional,GraphicPowers.com,2016,release 5,$15 per month/ $120 per year,Proprietary software," Windows, macOS due fall 2017 "
Inkscape (using Potrace),Inkscape.org,2003,0.92.5 1.0RC1,free,GNU General Public License," Windows, macOS, Linux "
ImageTracer,András Jankovics,2015,1.2.6 (2020),free,Public domain," Cross-platform , Cross-platform or Cross-platform based "
Potrace,Peter Selinger,2001,1.16 (Sep. 2019),free,GNU General Public License," Windows, macOS, Linux, BSD, AmigaOS/AROS "
Scan2CAD,Avia Systems,1997,v10.1,$49 - $149 /month,Proprietary software," Windows, macOS "
WinTopo Freeware,SoftSoft Ltd,1999,2015 (v1.76),free,Freeware,Windows
WinTopo Pro,SoftSoft Ltd,2000,2015 (v3.6),$299,Proprietary software,Windows
Xara Photo &amp; Graphic Designer,Xara Group Ltd.,1994,2018 (v16),$89.99,Proprietary software,Windows
Super Vectorizer (page does not exist),Effectmatrix Ltd. (page does not exist),2013,2016 (v1.6.6),$29.99,Proprietary software,macOS
AutoTrace,Martin Weber,1998,2002 (v0.31.1),free,GNU General Public License,Linux
,Creator,Released,Latest version,List price (United States dollar),Software license,Supported OS (without emulation)
