,Union (SQL),Intersect (sql),Except (SQL),Inner join,Outer join,Inner selects,Join (SQL),Binary large object and Binary large object,Common table expressions,Window function (SQL),Parallel Query,Temporal database
4th Dimension (Software),Yes,Yes,Yes,Yes,Yes,No,No,Yes,?,?,?,?
ADABAS,Yes,?,?,?,?,?,?,?,?,?,?,?
Adaptive Server Enterprise,Yes,?,?,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?
Advantage Database Server,Yes,No,No,Yes,Yes,Yes,Yes,Yes,?,No,?,?
Altibase,Yes,Yes," Yes, via MINUS ",Yes,Yes,Yes,Yes,Yes,No,No,No,?
Apache Derby,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,?,?
Clustrix,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?
CUBRID,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[80],?,?
IBM DB2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[117],Yes[118]
Empress database,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?
EXASOL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?
Firebird (database server),Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?
HSQLDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes[119],Yes,Yes,No,Yes[119],?
H2 (DBMS),Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,experimental[120],Yes[121],?,?
Informix Dynamic Server,Yes,Yes," Yes, via MINUS ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[122],?
Ingres (database),Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,?,?
InterBase,Yes,?,?,Yes,Yes,?,?,Yes,?,?,?,?
Linter SQL RDBMS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
LucidDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?,?,?
MariaDB,Yes,10.3+[123],10.3+[124],Yes,Yes,Yes,No,Yes,Yes[125],Yes[126],No[127],Yes[118]
MaxDB,Yes,?,?,Yes,Yes,Yes,No,Yes,?,?,?,?
Microsoft Access (JET),Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,?,?
Microsoft Visual Foxpro,Yes,?,?,Yes,Yes,Yes,?,Yes,?,?,?,?
Microsoft SQL Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[128],Yes[129],Yes[118]
SQL Server Compact,Yes,No,No,Yes,Yes,?,No,Yes,No,No,?,?
Mimer SQL,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No,No,?
MonetDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
MySQL,Yes,No,No,Yes,Yes,Yes,No,Yes,8+[130],No,No[127],No[118]
OpenBase (page does not exist),No,No,No,Yes,Yes,Yes,Yes,Yes,?,?,?,?
Virtuoso Universal Server,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,?,Yes,?
Oracle Database,Yes,Yes," Yes, via MINUS ",Yes,Yes,Yes,Yes,Yes,Yes 1,Yes,Yes[131],No[118]
Oracle Rdb,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?
Pervasive PSQL,Yes,No,No,Yes,Yes,?,?,Yes,No,No,No,?
Polyhedra DBMS,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,?
PostgreSQL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[132],No[118]
Raima Database Manager,No,No,No,Yes,Yes,No,No,Yes,No,No,No,?
RDM Server,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,?
SAP HANA,?,?,?,?,?,?,?,?,?,?,?,?
SolidDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?
SQL Anywhere,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
SQLite,Yes,Yes,Yes,Yes,LEFT only,Yes,No,Yes,3.8.3+[133],3.25+[134],No,No[118]
SQream DB,ALL only,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,?
Teradata,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
UniVerse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,?,?
,Union (SQL),Intersect (sql),Except (SQL),Inner join,Outer join,Inner selects,Join (SQL),Binary large object and Binary large object,Common table expressions,Window function (SQL),Parallel Query,Temporal database
