Server,Windows,Linux,macOS,BSD,Solaris,eComStation,OpenVMS,AIX,IBM i,z/OS,HP-UX
AOLserver,No,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
Apache HTTP Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Apache Tomcat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Boa (web server),Unknown,Yes,No,Yes,Unknown,No,No,Unknown,No,Unknown,Unknown
Caddy (web server),Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown
Resin Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Caudium (web server)Caudium (web server),No,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown
Cherokee HTTP Server,No[17],Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
H2O (web server) (page does not exist),Unknown,Yes,Yes,Yes,Unknown,No,No,No,No,No,No
HTTP File Server,Yes,No,No,No,No,No,No,No,No,No,No
Hiawatha (web server),with CygwinCygwin,Yes[18],Yes[18],Yes[18],Yes[18],No,No,No,No,No,No
IBM HTTP Server,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes
Internet Information Services,Yes,No,No,No,No,No,No,No,No,No,No
Jetty (web server),Yes,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Unknown
Jexus,No,Yes,No,Yes,Unknown,No,No,No,No,No,No
Lighttpd,Yes (Cygwin),Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
LiteSpeed Web Server,No,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
Mongoose (web server),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Monkey HTTP Server,No,Yes,Yes,No,No,No,No,No,No,No,No
NaviServer,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,No,Unknown,Unknown
NCSA HTTPd,Unknown,Yes,No,Yes,Yes,Yes,No,Unknown,No,Unknown,Yes
Nginx,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
Virtuoso Universal Server,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
Oracle HTTP Server,Yes,Yes,No,Unknown,Yes,No,No,Yes,No,Unknown,Unknown
Oracle iPlanet Web Server,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes
Thttpd,Yes (Cygwin),Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
TUX web server,No,Yes,No,No,No,No,No,No,No,No,No
Wakanda (software),Yes,Yes (via libbsd),Yes,Yes,Unknown,No,No,No,No,No,No
Xitami,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Unknown,Yes
Yaws (web server),Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown
