Dataset Name, Brief description, Preprocessing, Instances, Format, Default Task, Created (updated), Reference, Creator
NYSK Dataset, English news articles about the case relating to allegations of sexual assault against the former IMF director Dominique Strauss-Kahn., Filtered and presented in XML format., 10421, XML text, Sentiment analysis topic extraction, 2013, [168], Dermouche M. et al.
The Reuters Corpus Volume 1, Large corpus of Reuters news stories in English., Fine-grain categorization and topic codes., 810000, Text, Classification clustering summarization, 2002, [169], Reuters
The Reuters Corpus Volume 2, Large corpus of Reuters news stories in multiple languages., Fine-grain categorization and topic codes., 487000, Text, Classification clustering summarization, 2005, [170], Reuters
Thomson Reuters Text Research Collection, Large corpus of news stories., Details not described., 1800370, Text, Classification clustering summarization, 2009, [171], T. Rose et al.
Saudi Newspapers Corpus, 31030 Arabic newspaper articles., Metadata extracted., 31030, JSON, Summarization clustering, 2015, [172], M. Alhagri
RE3D (Relationship and Entity Extraction Evaluation Dataset), Entity and Relation marked data from various news and government sources. Sponsored by Dstl, Filtered categorisation using Baleen types, not known, JSON, Classification Entity and Relation recognition, 2017, [173], Dstl
Examiner Spam Clickbait Catalogue, Clickbait spam crowd-sourced headlines from 2010 to 2015, Publish date and headlines, 3089781, CSV, Clustering Events Sentiment, 2016, [174], R. Kulkarni
ABC Australia News Corpus, Entire news corpus of ABC Australia from 2003 to 2019, Publish date and headlines, 1186018, CSV, Clustering Events Sentiment, 2020, [175], R. Kulkarni
Worldwide News - Aggregate of 20K Feeds, One week snapshot of all online headlines in 20+ languages, Publish time URL and headlines, 1398431, CSV, Clustering Events Language Detection, 2018, [176], R. Kulkarni
Reuters News Wire Headline, 11 Years of timestamped events published on the news-wire, Publish time Headline Text, 16121310, CSV, NLP Computational Linguistics Events, 2018, [177], R. Kulkarni
The Irish Times Ireland News Corpus, 24 Years of Ireland News from 1996 to 2019, Publish time Headline Category and Text, 1484340, CSV, NLP Computational Linguistics Events, 2020, [178], R. Kulkarni
News Headlines Dataset for Sarcasm Detection, High quality dataset with Sarcastic and Non-sarcastic news headlines., Clean normalized text, 26709, JSON, NLP Classification Linguistics, 2018, [179], Rishabh Misra
