Name of Graphics processing unit series,List of AMD graphics processing units,List of AMD graphics processing units,List of AMD graphics processing units,List of AMD graphics processing units,List of AMD graphics processing units,ATi Radeon R100 Series,ATI Radeon R200 series,ATi Radeon R300 Series,ATi Radeon R400 Series,Radeon X1000 series,Radeon HD 2000 series,Radeon HD 3000 Series,Radeon HD 4000 series,Radeon HD 5000 Series,Radeon HD 6000 Series,Radeon HD 7000 Series,AMD Radeon Rx 200 series,AMD Radeon Rx 300 series,AMD Radeon 400 series,AMD RX Vega series,AMD Radeon RX 5000 series
Released,1986,1991,1996,1997,1998,Apr 2000,Aug 2001,Sep 2002,May 2004,Oct 2005,May 2007,Nov 2007,Jun 2008,Sep 2009,Oct 2010,Jan 2012,Sep 2013,Jun 2015,Jun 2016,Jun 2017,Jul 2019
Marketing Name,Wonder,Mach,3D Rage,Rage Pro,Rage,Radeon 7000,Radeon 8000,Radeon 9000,Radeon X700/X800,Radeon X1000,Radeon HD 1000/2000,Radeon HD 3000,Radeon HD 4000,Radeon HD 5000,Radeon HD 6000,Radeon HD 7000,Radeon Rx 200,Radeon Rx 300,Radeon RX 400/500,Radeon RX Vega/Radeon VII(7nm),Radeon RX 5000
AMD support,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png,,,,,,,,,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Green_check.svg/13px-Green_check.svg.png,,,,,,,,
Kind,2D,,3D,,,,,,,,,,,,,,,,,,
Instruction set,Not publicly known,,,,,,,,,,TeraScale (microarchitecture) instruction set,,,,,Graphics Core Next,,,,,AMD RDNA Architecture
Microarchitecture,TeraScale (microarchitecture),,,TeraScale (microarchitecture),TeraScale (microarchitecture),Graphics Core Next,Graphics Core Next,Graphics Core Next,Graphics Core Next,,Graphics Core Next,AMD RDNA Architecture
Type,Fixed pipeline[a],,,,,,Programmable pixel &amp; vertex pipelines,,,,Unified shader model,,,,,,,,,,
Direct3D,N/A,,5.0,6.0,,7.0,8.1,9.0 11 (Feature levels in Direct3D),9.0b 11 (9_2),9.0c 11 (Feature levels in Direct3D),10.0 11 (Feature levels in Direct3D),10.1 11 (Feature levels in Direct3D),,11 (11_0),,11 (Feature levels in Direct3D) 12 (11_1),11 (Feature levels in Direct3D) 12 (12_0),,,11 (Feature levels in Direct3D) 12 (12_1),
High-Level Shading Language,N/A,,,,,,1.4,2.0+,2.0b,3.0,4.0,4.1,,5.0,,5.1,5.1 6.3,,,6.4,
OpenGL,N/A,,,1.1,1.2,1.3,,2.0[b],,,3.3,,," OpenGL (on Linux + Mesa 3D: 4.2 with FP64 HW support, 3.3 without)OpenGLOpenGLOpenGLOpenGL ",,4.6 (on Linux: 4.6 (Mesa 20.0)),,,,,
Vulkan (API),N/A,,,,,,,,,,,,,,,1.0 (Windows 7 or Windows 7)," 1.2 (Adrenalin 20.1, Linux Mesa 20.0) ",,,,
OpenCL,N/A,,,,,,,,,,Close to Metal,,1.1,1.2,,," 2.0 (Adrenalin driver on Windows 7) (1.2 on Windows 7, 2.1 with AMD ROCm) ",,,,?
Heterogeneous System Architecture,N/A,,,,,,,,,,,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Green_check.svg/13px-Green_check.svg.png,,,,,?
Video decoding ASIC,N/A,,,,,,,,,,ATI Avivo/ATI Avivo,Unified Video Decoder,Unified Video Decoder,Unified Video Decoder,Unified Video Decoder,Unified Video Decoder,Unified Video Decoder,Unified Video Decoder or Unified Video Decoder,Unified Video Decoder,Unified Video DecoderUnified Video DecoderUnified Video Decoder,Video Core NextVideo Core NextVideo Core Next
Video encoding ASIC,N/A,,,,,,,,,,,,,,,Video Coding Engine,Video Coding Engine,Video Coding Engine,Video Coding Engine,Video Coding EngineVideo Coding EngineVideo Coding Engine,
Power saving,?,,,,,,,,,,AMD PowerPlay,,,,AMD PowerTune,AMD PowerTune &amp; AMD PowerTune,,,,,?
AMD TrueAudio,N/A,,,,,,,,,,,,,,,,Via dedicated Digital signal processing,,Via shaders,,
FreeSync,N/A,,,,,,,,,,,,,,,,1 2,,,,
HDCPHDCP,?,,,,,,,,,,,,,,,,1.4,,1.4 2.2,,1.4 2.2 2.3
PlayReadyPlayReady,N/A,,,,,,,,,,,,,,,,,,3.0,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png,3.0
AMD EyefinityAMD Eyefinity,,,,,,1–2,2,,,,,,,2–6,,,,,,,?
Max. Display resolution,?,,,,,,,,,,,,,2–6 × 2560×1600,,2–6 × 4096×2160 @ 60 Hz,,,2–6 × 5120×2880 @ 60 Hz,3 × 7680×4320 @ 60 Hz[5],?
/drm/radeon[g],,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Green_check.svg/13px-Green_check.svg.png,,,,,,,,,,,,N/A,,,
/drm/amdgpu[g],N/A,,,,,,,,,,,,,,,Experimental[6],,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Green_check.svg/13px-Green_check.svg.png,,,
