Model (Codename),Release Date &amp; Price,Microarchitecture &amp; Microarchitecture,Transistors &amp; Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerFloating-point operations per secondFloating-point operations per second (Floating-point operations per second),,,Memory,,,,Typical board power),Bus interface,Graphic output ports
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Half-precision floating-point format,Single precision floating-point format,Double precision floating-point formatDouble precision floating-point format,Bus type &amp; width,Size (Gibibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,,
Radeon Pro WX 2100 (Lexa)[225][226][227],June 2017 $149 USD,Graphics Core Next Graphics Core Next Graphics Core Next,2200×106 103 mm2,512:32:16 8 CU,1219,39.0,19.5,SP," 1,250 ",78,GDDR5 64-bit,2,6000,48,<35,PCIe 3.0 ×16,1× DP 1.4  2× mini-DP 1.4
Radeon Pro WX 3100[225][228],June 2017 $200 USD,,,512:32:16  8 CU,1219,39.0,19.5,SP," 1,250 ",78,GDDR5 128-bit,4,6000,96,<50,PCIe 3.0 ×16,1× DP 1.4   2× mini-DP 1.4
Radeon Pro WX 4100 (Polaris 11)[229][230][231][232][233][234],November 2016 $399 USD,,3000×106 123 mm2,1024:64:16 16 CU,925  1170,59.2  74.9,14.8  18.7,SP," 1,890  2,400  ",118  150,GDDR5 128-bit,4,7000,112,50,PCIe 3.0 ×16,4× mini-DP 1.4
Radeon Pro WX 5100 (Polaris 10)[230][231][232][235][234],November 2016 $499 USD,,5700×106 232 mm2,1792:112:32 28 CU,926  1090,103.7  122.1,29.6  34.9,SP," 3,320  3,910  ",208  244,GDDR5 256-bit,8,6600,211.2,75,PCIe 3.0 ×16,4× Display Port 1.4
Radeon Pro WX 7100 (Polaris 10)[230][231][232][236][237][234],November 2016 $799 USD,,5700×106 232 mm2,2304:144:32 36 CU,900  1240,115.2  158.7,28.8  39.7,SP," 4,150  5,710  ",259  357,GDDR5 256-bit,8,8000,256,130,PCIe 3.0 ×16,4× Display Port 1.4
Radeon Pro WX 9100 (Vega)[238][239][240][241][242][243][244]," September 2017 $2,199 USD ",Graphics Core Next 14 nm,12500×106 484mm2,4096:256:64[245] 64 CU,1500,384.0,96.0," 24,576 (2× SP) "," 12,288 ",768 (​1⁄16× SP),HBM2 2048-bit,16,1890,483.84,<250,PCIe 3.0 ×16,6× mini-DP 1.4
Radeon Pro SSG (Fiji)[246],July 2016  prototype only,GCN 3rd gen 28 nm,8900×106 596 mm2,4096:256:64 64 CU,1000?,256?,64.0?," 8,192? "," 8,192? ",512?,HBM + SSG 4096-bit,4 + 1 TB Solid-state drive,1000,512,200?,PCIe 3.0 ×16,Unknown
Radeon Pro SSG (Vega)[247][240][242][243]," September 2017 $6,999 USD ",GCN 5th gen 14 nm,12500×106 484 mm2,4096:256:64[245] 64 CU,1500,384.0,96.0," 24,600 "," 12,290 ",768,HBM2 + SSG 2048-bit,16 + 2 TB Solid-state drive,1890,483.84,<300,PCIe 3.0 ×16,6× mini-DP 1.4
Radeon Pro Duo (Polaris 10)[230][231][232][236][237][234][248],April 2017 $999 USD,GCN 4th gen Taiwan Semiconductor Manufacturing Company Taiwan Semiconductor Manufacturing Company
