Product,Vendor,Edition,Release Date,Framework,Compatibility,License
ActiveVOS,Active Endpoints,8.0,2010-09,Servlet or Servlet,BPMN 2.0; BPMNBPMN,Proprietary
Activiti (software),Alfresco (software) and the Activiti community,5.16.4,2014-10-16,Java (programming language),BPMN 2.0,Apache 2.0 License
ExpressBPEL(software) (page does not exist),ExpressBPEL(software) (page does not exist),3.0 (SAAS Edition),2013-12-16,Java/ApacheAxis/Cassandra/Ignite (page does not exist),WS-BPEL 2.0/HumanTask (page does not exist),Proprietary
Apache ODE,Apache Software Foundation,1.3.7 1.0.164,2016-11-10 2006-06-07," Apache Axis, Apache Axis Apache Axis "," BPEL4WS 1.1, WS-BPEL 2.0  WS-BPEL with Apache HISE ) ",Apache 2.0 License
Microsoft BizTalk Server,Microsoft,Biztalk 2010,2010,.NET Framework," BPEL, BPEL, BPEL, BPEL, BPEL, WS-*, ... ",Proprietary
Imixs-Workflow,Imixs,3.2.0,2015-04-05,Java EE,BPMN 2.0,GPL
JBPM,JBoss,6.4.0,2016-03-23,Java EE,BPMN 2.0,Apache 2.0 License
Open ESB,OpenESB Community,2.3.1,2013-10-01," Java EE, Java EE ",WS-BPEL 2.0,CDDL
Oracle BPEL Process Manager (formerly Collaxa BPEL Orchestration Server),Oracle Corporation,11g,2010-04,Java EE," WS-BPEL 2.0, BPMN 2.0 ",Proprietary
OW2 Orchestra,OW2,4.9.0,2012-01-23,Apache Axis Apache Axis Apache Axis Apache Axis,WS-BPEL 2.0,LGPL
Petals ESB,Petals Link,1.0.1,2009-12-08,Java EE," WS-BPEL 2.0, WS-BPEL 1.1 and 2.0 ",LGPL
SAP Exchange Infrastructure,SAP AG,3.0,,,BPEL,Proprietary
Virtuoso Universal Server,OpenLink Software,4.5,2006,," UDDI, UDDI, UDDI ",GPL and Proprietary
WebSphere Process Server,IBM,6.0.1.3,2006-09-29,Java EE,WS-BPEL,Proprietary
