Model,Launch,Code name,Semiconductor device fabrication (Semiconductor device fabrication)Semiconductor device fabrication,Transistors (million),Die size (mm2),Computer bus Computer bus,Core config1,Clock rate,,,Fillrate,,Memory,,,,Supported Application programming interface version,,Processing power (GFLOPS)2,Thermal design power (Watts),Comments
,,,,,,,,Core (Hertz),Shader (Hertz),Memory (Hertz),Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Direct3D,OpenGL,Single precision floating-point format,,
GeForce 9300 mGPU,October 2008,MCP7A-S,65 nm,282,162,PCIe 2.0 ×16,16:8:4,450,1200,400 666,1.8,3.6,Up to 512 from system memory,6.4/12.8 10.664/21.328,DDR2 DDR3,64 128,10.0,3.3,57.6,Unknown,based on 8400 GS
GeForce 9400 mGPU,,MCP7A-U,,,,,,580,1400,,2.32,4.64,,,,,,,67.2,12,
GeForce 9300 GE[18],June 2008,G98,TSMC 65 nm,210,86,,8:8:4,540,1300,500,2.16,4.32,256,8.0,DDR2,64,,,20.8,25,
GeForce 9300 GS[18],,,,,,,,567,1400,,2.268,4.536,,,,,,,22.4,,
GeForce 9400 GT," August 27, 2008 ",G96-200-c1 G96a G96b,TSMC 55 nm,314,144,PCIe 2.0 ×16 PCI,16:8:4,550,,400 800,2.2,4.4,256 512 1024,12.8 25.6,DDR2 GDDR3,128,,,44.8,50,
GeForce 9500 GT," July 29, 2008 ",G96-300-C1,United Microelectronics Corporation 65 nm,,,,32:16:8,,,500 800,4.4,8.8,,16.0 25.6,DDR2 GDDR3,,,,89.6,,
GeForce 9600 GS,,G94a,TSMC 65 nm,505,240,,48:24:12,500,1250,500,6,12,768,24.0,DDR2,192,,,120,Unknown,OEM
GeForce 9600 GSO,May 2008,G92-150-A2,,754,324,PCIe 2.0 ×16,96:48:12,550,1375,800,6.6,26.4,384 768 1536,38.4,GDDR3,,,,264,84,
GeForce 9600 GSO 512,October 2008,G94a G94b,TSMC 65 nm TSMC 55 nm,505,240 196?[ Wikipedia:Citation needed ],,48:24:16,650,1625,900,10.4,15.6,512,57.6,,256,,,156,90,
GeForce 9600 GT Green Edition,2009,G94b,TSMC 55 nm,,196?[ Wikipedia:Citation needed ],,64:32:16,600 625,1500 1625,700/900 900[ Wikipedia:Citation needed ],9.6 10.0,19.2 20.0,512 1024,44.8/57.6 57.6[ Wikipedia:Citation needed ],,,,,192 208,59,Core Voltage = 1.00v
GeForce 9600 GT," February 21, 2008 ",G94-300-A1,TSMC 65 nm,,240 196?[ Wikipedia:Citation needed ],,,650,1625,900,10.4,20.8,,57.6,,,,,208,95,
GeForce 9800 GT Green Edition,2009,G92a2 G92b,TSMC/UMC 65 nm TSMC/UMC 55 nm,754,324 260,112:56:16,550,1375,700 800 900,8.8,30.8,44.8 51.2 57.6,,308,,,,,75,Core Voltage = 1.00v
GeForce 9800 GT,July 2008,G92a G92b,UMC 55 nm,,,,600,1500,900,9.6,33.6,57.6,,336,,,,,125 105,
GeForce 9800 GTX," April 1, 2008 ",G92-420-A2,TSMC 65 nm,,324,128:64:16,675,1688,1100,10.8,43.2,512,70.4,432,,,,,140,
GeForce 9800 GTX+," July 16, 2008 ",G92b,TSMC 55 nm,,260,,738,1836,1100,11.808,47.232,512 1024,,470,,,,,141,
GeForce 9800 GX2," March 18, 2008 ",2× G92,TSMC/UMC 65 nm,2× 754,2× 324,2× 128:64:16,600,1500,1000,2× 9.6,2× 38.4,2× 512,2× 64.0,2× 256,2× 384,197,,
Model,Launch,Codename,Fab (Nanometer),Transistors (million),Die size (mm2),Computer bus Computer bus,Core config1,Core (Hertz),Shader (Hertz),Memory (Hertz),Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Direct3D,OpenGL,Processing power (GFLOPS)2,,Thermal design power (Watts),Comments
