Rank,Country,U.S. equivalents,GDP(Billions of int$)
align=center bgcolor=#E2F2D2
align=right,1,align=leftChina China PRC,align=leftCanadaCanada,25.398
align=right,2,align=leftIndia India,align=leftCalifornia Texas New York New York Florida Illinois Oregon Oregon,11.321
align=right,3,align=leftJapan Japan,align=leftCalifornia Texas New York New York Florida Florida,"5,429"
align=right,4,align=leftGermany EU),California Texas Mississippi Mississippi,"4,170"
align=right,5,align=leftRussia Russia,align=leftCalifornia Texas Texas,"4,007"
align=right,6,align=leftIndonesia Indonesia,align=leftCalifornia Michigan Michigan,"3,244"
align=right,7,align=leftBrazil Brazil,align=leftCalifornia Michigan Michigan," 3,240"
align=right,8,align=leftUnited Kingdom United Kingdom,align=leftCalifornia Hawaii Utah Utah,"2,914"
align=right,9,align=leftFrance EU),California Louisiana Louisiana,"2,836"
align=right,10,align=leftMexico Mexico,align=leftTexas Pennsylvania Pennsylvania,"2,458"
align=right,11,align=leftItaly EU),Texas New Jersey Vermont Vermont,"2,311"
align=right,12,align=leftTurkey Turkey,align=leftTexas Michigan Michigan,"2,173"
align=right,13,align=leftSouth Korea South Korea,align=leftTexas Colorado Colorado," 2,029"
align=right,14,align=leftSpain EU),Texas West Virginia West Virginia,"1,774"
align=right,15,align=leftSaudi Arabia Saudi Arabia,align=leftTexas West Virginia West Virginia,"1,774"
align=right,16,align=leftCanada Canada,align=leftTexas West Virginia West Virginia,"1,769"
align=right,17,align=leftIran Iran,align=leftNew York New York New Mexico New Mexico,"1,645"
align=right,18,align=leftAustralia Australia,align=leftFlorida Utah Utah,"1,247"
align=right,19,align=leftThailand Thailand,align=leftFlorida Nevada Nevada,"1,234"
align=right,20,align=leftEgypt Egypt,align=leftFlorida Mississippi Mississippi,"1,201"
align=right,21,align=leftTaiwan Taiwan,align=leftFlorida Mississippi Mississippi,"1,186"
align=right,22,align=leftPoland EU),Florida Mississippi Mississippi,"1,121"
align=right,23,align=leftNigeria Nigeria,align=leftFlorida Mississippi Mississippi,"1,119"
align=right,24,align=leftPakistan Pakistan,align=leftPennsylvania Idaho Idaho,"1,255"
align=right,25,align=leftMalaysia Malaysia,align=leftIllinois Mississippi Mississippi,931
align=right,26,align=leftArgentina Argentina,align=leftIllinois New Mexico New Mexico,920
align=right,27,align=leftNetherlands EU),Illinois New Mexico New Mexico,916
align=right,28,align=leftPhilippines Philippines,align=leftIllinois North Dakota North Dakota,876
align=right,29,align=leftSouth Africa South Africa,align=leftOhio Mississippi Mississippi,766
align=right,30,align=leftColombia Colombia,align=leftOhio Maine Maine,714
align=right,31,align=leftBangladesh Bangladesh,align=leftOhio Wyoming Wyoming,687
align=right,32,align=leftUAE UAE,align=leftOhio Wyoming Wyoming,687
align=right,33,align=leftIraq Iraq,align=leftOhio MassachusettsMassachusetts,659
align=right,34,align=leftVietnam Vietnam,align=leftNew Jersey Wyoming Wyoming,647
align=right,35,align=leftAlgeria Algeria,align=leftNorth Carolina North Carolina,633
align=right,36,align=leftBelgium EU),Massachusetts Massachusetts,529
align=right,37,align=leftSingapore Singapore,align=leftMassachusetts Massachusetts,527
align=right,38,align=leftSweden EU),Virginia Virginia,521
align=right,39,align=leftSwitzerland Switzerland,align=leftVirginia Virginia,517
align=right,40,align=leftRomania EU),Maryland Hawaii Hawaii,482
align=right,41,align=leftKazakhstan Kazakhstan,align=leftMaryland New Hampshire New Hampshire,478
align=right,42,align=leftHong Kong Hong Kong,align=leftMaryland Maine Maine,455
align=right,—,align=leftChile Chile,align=leftMaryland Maine Maine,451
align=right,43,align=leftAustria EU),Maryland South Dakota South Dakota,440
align=right,44,align=leftPeru Peru,align=leftIndiana Maine Maine,424
align=right,45,align=leftVenezuela Venezuela,align=leftIndiana Indiana,381
align=right,46,align=leftNorway Norway,align=leftIndiana Indiana,381
align=right,47,align=leftCzech Republic EU),Indiana Indiana,376
align=right,48,align=leftUkraine Ukraine,align=leftIndiana Indiana,369
align=right,49,align=leftQatar Qatar,align=leftTennessee Tennessee,348
align=right,50,align=leftIreland EU),Colorado Colorado,344
