Manufacturer,Module,SOC/SIP Chip,MCU core,RAM,Flash,Antenna,Sleep,TX,RX,TX Power,Sensitivity,PCB Size,Released,Interfacing,Firmware options
Anaren,A2530R24A  [http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf Data sheet],CC2530  [http://www.ti.com/lit/ds/symlink/cc2530.pdf Data sheet],32 MHz  8-bit 8051,8 kB,256 kB,Printed Trace,1 μA,34 mA,25 mA,4 dBm,-90 dBm,11 mm × 19 mm,July, 2012",SPI",AIR-ZNP, based on TI Z-Stack"
,A2530R24C  [http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf Data sheet],,,,,U.FL connector,,,,,,,,,
,A2530E24A  [http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf Data sheet],,,,,Printed Trace,,130 mA,28 mA,15 dBm,-95 dBm,,,,
,A2530E24C  [http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf Data sheet],,,,,U.FL connector,,106 mA,28 mA,13 dBm,-95 dBm,,,,
Atmel,ZigBit 2.4 GHz   (ATZB-24-B0)  [http://www.atmel.com/dyn/resources/prod_documents/doc8226.pdf datasheet],AT86RF230 [http://www.atmel.com/dyn/resources/prod_documents/doc5131.pdf datasheet],8-bit  ATmega  1281v,8 kB,128 kB,RF output,< 6 μA,18 mA,19 mA,-17 dBm  to  3 dBm,-101 dBm,18.8 mm × 13.5 mm × 2.0 mm,2009,SPI,  JTAG",[http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4495 ;family_id=676 BitCloud - ZigBee PRO],  [http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4373 ;family_id=676 Wireless MCU Software],  [http://www.meshnetics.com/wsn-software/bitcloud/ BitCloud stack],  [http://www.meshnetics.com/wsn-software/at-commands/ SerialNet],  [http://www.meshnetics.com/opensource/mac/ OpenMAC]"
,ZigBit 2.4 GHz  (ATZB-24-A2)  [http://www.atmel.com/dyn/resources/prod_documents/doc8226.pdf datasheet],,,,,balanced dual chip antenna,,,,,,24 mm × 13.5 mm × 2.0 mm,,,
,ZigBit 2.4 GHz Amplified  (ATZB-A24-U0)  [http://www.atmel.com/dyn/resources/prod_documents/doc8228.pdf datasheet],,,,,RF output,,50 mA,23 mA,Up to  20 dBm,-104 dBm,38 mm × 13.5 mm × 2.0 mm,,,
,ZigBit 2.4 GHz Amplified  (ATZB-A24-UFL)  [http://www.atmel.com/dyn/resources/prod_documents/doc8228.pdf datasheet],,,,,U.FL connector,,,,,,,,,
,ZigBit 700/800/900 MHz  (ATZB-900-B0)  [http://www.atmel.com/dyn/resources/prod_documents/doc8227.pdf datasheet],AT86RF212 [http://www.atmel.com/dyn/resources/prod_documents/doc8168.pdf datasheet],,,,RF output,26 mA,11 mA,Up to  11 dBm,–110 dBm,24 mm × 13.5 mm × 2.8 mm,,,
[http://www.cel.com/ California Eastern Laboratories],ZICM357SP2   [http://www.cel.com/pdf/datasheets/MeshConnect_EM357_Mini_Modules_DS.pdf datasheet]  [http://www.cel.com/pdf/brochures/meshconnect_em357_mini_pb.pdf brochure],EM357  [http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x.pdf datasheet]  [http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x-short.pdf brochure]," 32 bit,  ARM Cortex  -M3",12 kB,192 kB,PCB Trace Antenna or RF Port for External Antenna,1 μA,58 mA,34 mA,20 dBm,–103 dBm,23.9 mm × 16.6 mm," [http://www.cel.com/pdf/press/cel133.pdf Apr, 2012]"," SPI,  TWI",[http://www.silabs.com/products/wireless/zigbee/Pages/default.aspx ZigBee PRO stack: EmberZNet PRO]
