Afrikaans,Dutch,English
afVerstaan jy my?,Versta jij mij? / Begrijp je me?,Do you understand me?
afEk verstaan dit,Ik versta dit / Ik begrijp het,I understand it
afWat is jou naam?,Hoe heet je? Wat is jouw naam?,What is your name?
afWat maak jy?,Wat ben je aan het doen?Compare Dutch Wat maak jij? (What are you making?),What are you doing?
afDit maak my seer,Het doet me pijn,It hurts me
afEk hou van haar,Ik vind haar leuk,I like her
afEk is lief vir jou,Ik hou van jou Compare Dutch Ik ben lief voor jou (I am sweet to you),I love you
afEk het jou lief,Ik heb jou lief / Ik hou van jou,I love you
afIs jy honger?,Heb je honger? / Heb jij honger?,Are you hungry?
afDié boek is vir jou,Dit boek is voor jou,This book is for you
afEk het al geëet,Ik heb al gegeten,I have already eaten
afKom jy saam met ons?,Kom je met ons mee?,Are you coming with us?
afStem jy saam?,Ben je het daarmee eens?Stem jij daarmee in?,Do you agree?
afStem jy [daartoe] in?,Stem jij daarmee in? / Ga je daarmee akkoord?,Do you agree [to it]?
afOop vanaand,Open vanavond,Open tonight
afHulle woon hier,Ze wonen hier Dialectal: Hullie wonen hier,They live here
afKan ons die middestad besoek?,Kunnen we de binnenstad bezoeken? Belgium Dutch: Kunnen we de middenstad bezoeken?,Can we visit the city centre?
afEk is halfpad daar,Ik ben halverwege,I am halfway there
afHierdie vrug proe/smaak sleg,Die vrucht hier smaakt slecht,This fruit tastes bad
afHet jy dat gesê?,Heb je dat gezegd? Zei je dat?,Did you say that?
afHy het op die lughawe aangekom,Hij is op de luchthaven aangekomen,He has arrived at the airport
afMoenie dit vergeet nie!,Vergeet hem niet!,Dont forget it!
"afAs dit reën, sal dié sambreel jou beskerm ","  Als het regent, zal deze paraplu jou beschermen * "," If it rains, this umbrella will protect you"
af’n Lemoen is ’n oranjekleurige vrug,Een sinaasappel is een oranjekleurige vrucht,An orange is an orange-coloured fruit
af’n Lemmetjie is ’n klein groen sitrusvrug,Een limoen is een kleine groene citrusvrucht,A lime is a small green citrus fruit
afOns hou daarvan om te braai,"  Wij houden ervan om te barbecueën Compare Dutch: braden (to roast), Wij houden ervan om te braaien (braaien is a recent loanword from Afrikaans)  **",We love to barbecue
afEk kan dit nie glo nie,Ik kan dit niet geloven,I cannot believe it
