BitTorrent client,Windows,macOS,Linux,BSD,iOS,Android,Other
BitComet,Yes,Yes,No,No,No,No,No
BitLord,Yes,Yes,No,No,No,No,No
BitTorrent,Yes,Yes,No,No,No,Yes,No
Deluge,Yes,Yes,Yes,Yes,No,No,Solaris
FlashGet,Yes,No,No,No,No,No,No
Free Download Manager,Yes,Yes,No,No,No,No,No
Frostwire,Yes," Yes Solaris, OS/2, eComStation, ArcaOS"
KGet,No,No,Yes,Yes,No,No,No
KTorrent,No,Yes,Yes,Yes,No,No,No
Lftp,Yes,Yes,Yes,Yes,No,No,No
LimeWire,Yes,Yes,Yes,Yes,No,No,date=June 2017
Miro,Yes,Yes,Yes,Yes,No,No,No
MLDonkey,Yes,Yes,Yes,Yes,No,No," Solaris, MorphOS"
μTorrent,Yes,Yes,Web,No,No,Yes,No
Opera 12,Yes,Yes,Yes,Yes,No,date=March 2017,Solaris
qBittorrent,Yes,Yes,Haiku
Robert,Yes,Yes,Yes,Yes,No,No,No
rTorrent," Yes, through Cygwin",Yes,Yes,Yes,No,No,Solaris
Shareaza,Yes,No,No,No,No,No,No
Tixati,Yes,No,Yes,No,No,No,No
Tonido,Yes,Yes,Yes,Yes,No,No,No
Transmission,Yes,Yes,Yes,Yes," Yes, through Cydia",Yes," Solaris, OpenWrt"
Tribler,Yes,Yes,Yes,Yes,No,No,No
Vuze,Yes,Yes,Yes,Yes,No,Yes,No
Xunlei,Yes,Yes,No,No,Yes,date=March 2017,No
Name,Windows,Mac OS X,Linux,BSD,iOS,Android,Other
