BitTorrent client,Magnet URI,Preload Magnet metadata,Super-seeding,Embedded tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Proxy server
BitComet,yes,no,yes,yes2 Separate download,yes,yes,yes,yes,yes,yes,yes,no," HTTP 1.1, SOCKS4-4a-5"
BitLord,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes," HTTP 1.1, SOCKS4-4a-5"
" BitTorrent 5, Mainline",no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes
BitTorrent 6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes," HTTP(S), SOCKS4-5"
Deluge,yes,partial,yes,no,yes,yes,yes,yes,yes,yes,yes,yes," HTTP(S), SOCKS4-5"
FlashGet,no,no,no,no,no,no,no,yes,no,yes,no,no,no
Free Download Manager,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
KTorrent,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,partial," HTTP, SOCKS4-5"
LimeWire,partial,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no
MLDonkey,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,no
μTorrent,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes," HTTP(S), SOCKS4-5"
Opera 12,no,no,no,yes,no,no,no,no,yes,no,no,no,no
qBittorrent,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes," HTTP(S), SOCKS4-5"
rTorrent,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,no
Shareaza,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,no
Tixati,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,only with out going without DHT if anonymity required
Tonido,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no
Transmission,yes,no2Patch available,no,no,yes,yes,no,yes,yes,yes,yes,yes,no
Tribler,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,Uses P2P onion routing to provide anonymity.
Vuze (formerly Azureus),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Plugin," HTTP(S)?, SOCKS4-4a-5"
Xunlei,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes," HTTP, SOCKS5, FTP"
BitTorrent client,Magnet URI,Preload Magnet metadata,Super-seeding,Embedded tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Proxy server
