Server name,License,Programming language,RFC 2616 HTTP/1.1,RFC 2617 HTTP auth.authentication,RFC 2518 Web ;shy;DAV,RFC 3253 Web ;shy;DAV vers.versioning,RFC 3744 Web ;shy;DAV ACL,RFC 4324 iCal CAPCalendar Access Protocol,RFC 4331 Web ;shy;DAV quota,RFC 4709 Web ;shy;DAV mount,RFC 4791 Cal ;shy;DAV,RFC 4918 Web ;shy;DAV ext.extensions,RFC 5397 Web ;shy;DAV current principal,RFC 5545 rev.revised iCal (Availability Check),RFC 5546 iCal iTIPtransport-independent interoperability protocol(Group Scheduling),RFC 5689 Web ;shy;DAV ext.extended MKCOL,RFC 5995 Web ;shy;DAV POST add member,RFC 6352 Card ;shy;DAV vCard,RFC 6578 Web ;shy;DAV syncsynchronise,RFC 6638 Cal ;shy;DAV sched.scheduling(Auto-Schedule),RFC 7529 iCal RSCALEnon-Gregorian calendar,RFC 7540 HTTP/2,RFC 7809 Cal ;shy;DAV time zones by ref.reference,RFC 7953 iCal VAVAIL ;shy;ABILITYpersonal availability,[http://www.calconnect.org/pubdocs/CD0903%20Freebusy%20Read%20URL.pdf Free-busy URL]
Baïkal,GPL-lic,PHP,group=NotePHP_HTTP,yes,yes,no,Some,no,unk,no,yes,yes,yes,yes,unk,yes,unk,yes,unk,unk,unk,group=NotePHP_HTTP,unk,unk,unk
Bedework,Apache,Java,unk,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,yes,yes,unk,unk,yes,yes,yes,unk,unk,unk,unk,unk
Calendar and Contacts Server,Apache,Python,yes,yes,yes,yes,yes,no,unk,no,yes,yes,yes,yes,yes,yes,unk,yes,yes,yes,unk,unk,unk,unk,unk
Calypso,GPL-lic,Python,yes,yes,yes,no,unk,no,unk,no,yes,yes,no,yes,yes,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
Cyrus IMAP,BSD,C,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
DAViCal,GPL-lic,PHP,group=NotePHP_HTTP,yes,yes,yes,yes,yes,unk,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,unk,group=NotePHP_HTTP,unk,yes,yes
DavMail,GPL-lic,Java,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
Fennel,GNU GPLv3,JavaScript,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
Group-Office," AGPL, proprietary",PHP,group=NotePHP_HTTP,yes,yes,unk,Some,unk,unk,yes,yes,yes,yes,yes,unk,yes,unk,yes,unk,unk,unk,group=NotePHP_HTTP,unk,unk,unk
Horde Groupware,GNU LGPL,PHP,group=NotePHP_HTTP,yes,yes,no,Some,no,no,unk,yes,yes,yes,yes,yes,no,no,yes,no,no,no,group=NotePHP_HTTP,no,no,no
Nextcloud,AGPL v3,PHP,group=NotePHP_HTTP,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,group=NotePHP_HTTP,unk,unk,unk
Open Xchange," GPL-lic, CC"," Java, JavaScript",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,unk
ownCloud,AGPL v3,PHP,group=NotePHP_HTTP,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,group=NotePHP_HTTP,unk,unk,unk
[https://radicale.org Radicale],GPL-lic,Python,yes,yes,Some,no,Some,no,unk,no,Some,Some,Some,no,Some,no,unk,Some,unk,no,unk,unk,unk,unk,unk
SabreDAV,BSD,PHP,group=NotePHP_HTTP,yes,yes,yes,yes,yes,unk,yes,yes,yes,yes,yes,yes,yes,unk,yes,unk,yes,unk,group=NotePHP_HTTP,unk,unk,unk
SOGo,GPL-lic,Objective-C,yes,yes,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
Xandikos,GPL-lic,Python,yes,yes,yes,some,some,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,unk,yes,no,no,unk
Zarafa," AGPL,  proprietary",PHP,group=NotePHP_HTTP,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,Read only,unk,unk,unk,group=NotePHP_HTTP,unk,unk,unk
Zentyal,GPL-lic,Perl,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
Zimbra,GPL-lic,Java,yes,yes,yes,yes,yes,no,unk,no,yes,unk,yes,yes,yes,yes,unk,yes,unk,yes,unk,unk,unk,unk,unk
