Blacklist operator,DNS blacklist,Zone,Listing goal,Nomination,Listing lifetime,Notes,Collateral listings,Notifies upon listing
[https://www.abusix.ai Abusix],[https://docs.abusix.ai/en/articles/3204475-combined combined],combined.mail.abusix.zone,Aggregate zone,Aggregate zone,Aggregate Zone,"Single lookup that contains results from black, exploit and policy lists.",no,no
,[https://docs.abusix.ai/en/articles/3196594-black black],black.mail.abusix.zone,Lists individual IP addresses that have sent mail to spam traps.  And some manual added netblocks.,Mostly Automatic with some manual additions.,"For automated listings 5.6 days after last event, manual additions are permanent.",,no,{{rarely|No (but planned)}}
,[https://docs.abusix.ai/en/articles/3196677-exploit exploit],exploit.mail.abusix.zone,"Lists IP addresses behaving in a way that indicates the IP is compromised, infected, proxy, VPN, TOR, malware,",Automatic,5.6 days after last event,,no,{{rarely|No (but planned)}}
,[https://docs.abusix.ai/en/articles/3196684-policy policy],dynamic.mail.abusix.zone,"Lists IP addresses that should not be connecting directly to MX, such as residential IPs etc.",Automatic,Permanent (until delist requested),Lists ranges that have generic or templated rDNS.  Individual IPs can be delisted immediately via web.,no,{{no}}
,[https://docs.abusix.ai/en/articles/3196705-dblack dblack],dblack.mail.abusix.zone,Lists domains seen in spam hitting traps.,Automatic,5.6 days after last event,Can be used as an RHSBL and a URIBL.,no,{{rarely|No (but planned)}}
,[https://docs.abusix.ai/en/articles/2970522-nod nod],nod.mail.abusix.zone,Lists domains that are newly observed (first use),Automatic,25 hours,"Based on historical passive DNS data, lists domains first seen in the wild within the last 25 hours).",no,{{no}}
,[https://docs.abusix.ai/en/articles/3187514-shorthash shorthash],shorthash.mail.abusix.zone,Lists short URLs (SHA-1 hashed) seen in traps.,Automatic,5.6 days after last event,Created to handle popular shorteners that are misused to hide domains from blacklisting.,no,{{no}}
,[https://docs.abusix.ai/en/articles/3200701-diskhash drivehash],drivehash.mail.abusix.zone,Lists URLs of online drive services (SHA-1 hashed) seen in traps.,Automatic,5.6 days after last event,Current only listing Google Drive and Yandex Disk URLs that are used to avoid domain blacklisting.,no,{{no}}
WebIron LLC [https://web.archive.org/web/20160304031459/https://www.webiron.com/rbl.html RBL],[https://web.archive.org/web/20160304031459/https://www.webiron.com/rbl.html#BABL BABL],babl.rbl.webiron.net,Lists IP ranges belonging to officially published abuse addresses that either bounce or request not to receive abuse notices. The aim of this list is to block companies that openly shrug their abuse responsibilities.,Abuse addresses that fail to be deliverable for 3 out of the last 7 days are automatically added.,Lifetime listing or automatic once mail delivery resumes in the case of automated additions.,,yes,no
,[https://web.archive.org/web/20160304031459/https://www.webiron.com/rbl.html#CABL CABL],cabl.rbl.webiron.net,Lists IP ranges belonging to abuse addresses that have failed to handle abuse issues for at least 30 days. The aim of this list is to hold companies accountable for the abuse that originates from their networks rather than just ignoring it.,IP ranges belonging to abuse addresses with reported and unresolved issues for at least 30 days are automatically added.,Automatic removal is done once all hosts with abuse unresolved for 30 days have been clean for 2 weeks.,Data for lists are generated from live data collected by the WebIron web security platform.,yes,{{yes}}
,[https://web.archive.org/web/20160304031459/https://www.webiron.com/rbl.html#STABL STABL],stabl.rbl.webiron.net,Lists single IP addresses recently attacking websites and servers.,Lists IP addressed belonging to hosts that have attacked at least twice within the last 48 hours.,Automatic removal is done once a host has gone 24 hours without an incident,Data for lists are generated from live data collected by the WebIron web security platform.,no,{{no}}
,All,all.rbl.webiron.net,"Contains IP addresses and ranges from BABL, CABL, and STABL",Depends on list,Depends on list,,yes,{{no}}
,Crawler,crawler.rbl.webiron.net,Web Crawler IP lookup used to match user agents with known crawler IP addresses. Data from this list is considered BETA.,,,This DNSRBL contains valid and legitimate crawlers. Matching alone should not be used for blocking,no,{{no}}
" ARM Research Labs, LLC [http://www.gbudb.com/ GBUdb]",[http://www.gbudb.com/truncate/ Truncate],truncate.gbudb.net,Extremely conservative list of single IP4 addresses that produce exclusively spam/malware as indicated by the GBUdb IP Reputation system. Most systems should be able to safely reject connections based on this list.," Automatic: IPs are added when the GBUdb ""cloud"" statistics reach a probability figure that indicates 95% of messages produce a spam/malware pattern match and a confidence figure that indicates sufficient data to trust the probability data."," Automatic: Continuous while reputation statistics remain bad. Warning: Produces false positives, and has no remedy/removal process. IPs are dropped quickly if the statistics improve (within an hour). IPs are dropped within 36 hours (typ) if no more messages are seen (dead zombie).",Source data is derived from a global network of Message Sniffer filtering nodes in real-time. Truncate data is updated from statistics every 10 minutes.,no,no
,invaluement [https://web.archive.org/web/20081110134055/http://dnsbl.invaluement.com/ DNSBL],[https://web.archive.org/web/20081207064801/http://dnsbl.invaluement.com/ivmsip/ ivmSIP],Paid access via rsync,Single IP addresses which only send UBE. Specializing in snowshoe spam and other under the radar spams which evade many other DNSBLs. Has FP-level comparable to Zen.," Automatic (upon receipt of a spam to a real persons mailbox), with extensive whitelists and filtering to prevent false positives"," Typically an automatic expiration 11 days after the last abuse was seen, but with some exceptions",Spam samples are always kept on file for each listing. Removal requests are manually reviewed and processed without fees.,no,no
,,[https://web.archive.org/web/20081013135642/http://dnsbl.invaluement.com/ivmsip24/ ivmSIP/24],Paid access via rsync,Lists /24 blocks of IP addresses which usually only send UBE and containing at least several addresses which are confirmed emitters of junk mail. Collateral listings are kept to a minimum because subsections are often carved from /24 listings when spammers and legit senders share the same /24 block.," Automatic once at least several IP addresses from a given block are individually listed on ivmSIP, with extensive whitelists and filtering to prevent false positives",Expiration time increases to many weeks as the fraction of IP addresses in the /24 block in question sending junk mail increases,Removal requests are quickly and manually reviewed and processed without fees.,yes,{{no}}
,,[https://web.archive.org/web/20120505190857/http://dnsbl.invaluement.com/ivmuri/ ivmURI],Paid access via rsync," Comparable to uribl.com and surbl.org, this is a list of IP addresses and domains which are used by spammers in the clickable links found in the body of spam messages"," Automatic (upon receipt of a spam to a real persons mailbox), with extensive whitelists and filtering to prevent false positives",Typically an automatic expiration several weeks after the last abuse was seen.,Spam samples are always kept on file for each listing. Removal requests are quickly and manually reviewed and processed without fees.,no,{{no}}
,proxyBL,[http://proxybl.org/ dnsbl],dnsbl.proxybl.org,Lists all types of open (publicly accessible) proxies,Automated listing through crawling of websites,As long as proxy is verified open (automated) Service discontinued mid 2014,Time between verifications increases exponentially in relation to the number of times the host was verified an open proxy,Yes,No
,UCEPROTECT-Network,[http://www.uceprotect.net/en/index.php?m=3 ;s=3 UCEPROTECT Level 1],dnsbl-1.uceprotect.net(also free available via rsync ),Single IP addresses that send mail to spamtraps,Automatic by a cluster of more than 60 trapservers," Automatic expiration 7 days after the last abuse was seen, optionally express delisting for a small fee.",UCEPROTECTs primary and the only independent list,no,no
,,[http://www.uceprotect.net/en/index.php?m=3 ;s=4 UCEPROTECT Level 2],dnsbl-2.uceprotect.net(also free available via rsync ),Allocations with exceeded UCEPROTECT Level 1 listings,Automatic calculated from UCEPROTECT-Level 1," Automatic removal as soon as Level 1 listings decrease below Level 2 listing border, optionally express delisting (for a fee)",Fully depending on Level 1,yes,{{no}}
,,[http://www.uceprotect.net/en/index.php?m=3 ;s=5 UCEPROTECT Level 3],dnsbl-3.uceprotect.net(also free available via rsync ),ASNs with excessive UCEPROTECT Level 1 listings,Automatic calculated from UCEPROTECT-Level 1," Automatic removal as soon as Level 1 listings decrease below Level 3 listing border, optionally express delisting (fee)",Fully depending on Level 1,yes,{{no}}
,Spam and Open Relay Blocking System (SORBS),[http://www.sorbs.net/ dnsbl],dnsbl.sorbs.net,Unsolicited bulk/commercial email senders,N/A (See individual zones),N/A (See individual zones),Aggregate zone (all aggregates and what they include are listed on SORBS),As per component list,Via SORBS Report Manager
,,[http://www.sorbs.net/ safe.dnsbl],safe.dnsbl.sorbs.net,Unsolicited bulk/commercial email senders,N/A (See individual zones),N/A (See individual zones)," ""Safe"" Aggregate zone (all zones in dnsbl.sorbs.net except ""recent"", ""old"", ""spam"" and ""escalations"")",no,{{yes|Via SORBS Report Manager}}
