Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB
AbsoluteTelnet,Celestial Software,1996,9.49 20120702,Proprietary,yes
Beyond Compare,Scooter Software,1996,4.3.6 2020910,Proprietary,yes
Commander One,Eltima Software,2015,1.1 20150929,Proprietary,yes
CrossFTP Pro,CrossFTP Software,2006,1.98.7 20200523,Proprietary,yes
CuteFTP,Alex Kunadze/Globalscape,1994,9.3.0 (Windows) 20180711 / 3.1.3 (Mac) 201452,Proprietary,yes
Directory Opus,GPSoftware,1990,11.10   20141219,Proprietary,yes
FlashFXP," OpenSight Software, LLC",1999,5.4.0.3970 20170401,Proprietary,yes
FTP Client,Vicomsoft,1997,5.0.1,Proprietary,Yes
SmartFTP,SmartSoft Ltd,1998,6.0.2155.0 20150723,Proprietary,yes
Total Commander,Christian Ghisler,1993,9.51  20200325,Proprietary,Yes
WebDrive," South River Technologies, Inc.",1998,2017  20170616,Proprietary,Yes
WS_FTP," Ipswitch, Inc.",1996,12.7 20181127,Proprietary,Yes
Yummy FTP,Yummy Software,2004,1.9.0 20180510," Proprietary, Setapp",dunno
