Client,Primary developers,Distribution model,Software license,User interface,Programming language
AdiIRC,Per Amundsen,Freeware,proprietary,GUI,C#
Adium,Thijs Alkemade,Free software,GPL,GUI,C
AmbassadorAmbassador,Isengrim,Free software,MPL,GUIgroup=Notestandaloneandbrowser," JavaScript, XUL"
AndroIRC,Madalynn,Freeware,proprietary,GUI,?
Bersirc," Jamie Frater, Nicholas Copeland",Free software,LGPL,GUI,C (Delphi originally)
BitchX,Colten Edwards,Free software,BSD," TUI, GUI",C
ChatZilla," James Ross, Robert Ginda, Samuel Sieb, Gijs Kruitbosch",Free software," MPL, GPL, LGPLtri-license",GUIgroup=Notewebbrowser," JavaScript, XUL"
ColloquyColloquy," Timothy Hatcher, Kiji Roshi"," Desktop: Free software,mobile: commercial"," BSD: mobile,GPL: desktop",GUI,Objective-C
ERCERC," Alexander L. Belikoff, Sergey Berezin",Free software,GPL," TUI, GUI",Emacs Lisp
F-IRC,Folkert van Heusden,Free software,GPL,TUI,C++
GrumpyChat,Petr Bena,Free software,LGPL,GUI,C++
HexChat,Berke Viktor,Free software,GPL," TUI, GUI",C
IceChat,Paul Vanderzee,Free software,GPL,GUI,C# (Visual Basic until 2004)
Igloo,[https://jordanko.ch Jordan Koch],Commercial,proprietary,GUI,Swift
Instantbird,Florian Quèze,Free software,GPL,GUI," C/C++, JavaScript, CSS, XUL"
IRCCloudIRCCloud,IRCCloud Ltd.,Freemium,proprietary,Web,Erlang backend
ircII,Michael Sandrof,Free software,BSD,TUI,C
Ircle,Onno Tijdgat," Commercial, 30-day trial",proprietary,GUI,C
Irssi,Timo Sirainen,Free software,GPL,TUI,C
KiwiIRC,Darren Whitlen,Free software,AGPL,Web,"JavaScript frontend, Node.js backend"
kirc,Michael Czigler,Free software,GPL,TUI,C
KVIrc,Szymon Stefanek,Free software,GPL,GUI,C++
Konversation,KDE,Free software,GPL,GUI,C++
LeafChat,Samuel Marshall,Free software,GPL,GUI,Java
LimeChatLimeChat,Satoshi Nakagawa,Free software,GPL,GUI,RubyCocoa (2007–2010)
Linkinus,Conceited Software," Commercial, 15-day trial",proprietary,GUI,Objective-C
Mibbit,Jimmy Moore,Textual Adbar,proprietary,Web,Java backend
mIRC,Khaled Mardam-Bey," Shareware, 30-day trial",proprietary,GUI,C/C++
Monochrome,Peter Pawlowski,Freeware,GPLv2,GUI,C#
Nettalk,Nicolas Kruse,Freeware,Apache 2.0,GUI,Visual Basic
Opera (until version 12.xx) Operagroup=Noteopera,,Freeware,proprietary,GUIgroup=Notebrowsercomp,C++
Pidgin,,Free software,GPL,GUI,C
PIRCHPIRCH,,Shareware,proprietary,GUI,Delphi
PJIRC,Philippe Detournay,Free software,GPL,GUI,Java
QuasselQuassel," Manuel Nickschas, Marcus Eggenberger, Alexander von Renteln",Free software,GPL," TUIgroup=Notencomp, GUIgroup=Notecldaemon",C++
qwebirc,Chris Porter,Free software,GPL,Web,Python backend
rcirc,Ryan Yeske,Free software,GPL,TUI,Emacs Lisp
Smuxi,Mirco Bauer,Free software,GPL," GUI, TUI, servergroup=Notecldaemon",C#
Snak,Kent Sorensen,Commercial,proprietary,GUI,dunno
ThunderbirdThunderbird,Mozilla Foundation,Free software,MPL 2.0,GUI," C, C++, JavaScript"
Visual IRC,Jesse McGrew,Free software,GPL,GUI,Delphi
WeeChat,Sebastien Helleu,Free software,GPL," TUI, GUIgroup=Notedev",C
Client,Primary developers,Distribution model,Software license,User interface,Programming language
