JVM,x86,x86-64,SPARC,MIPS,Itanium,Power ISA,ARM,Alpha,S/390,z/Architecture,m68k
CACAO,Yes,Yes,Not any more,Yes,No,Yes,Yes,Yes,Yes,No,Not any more
GCJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
"HotSpot, OpenJDK edition",Yes,Yes,No,Yes,No,No,No,No
"HotSpot, Oracle JDK edition",Yes,No,Yes,No,No,No,No
"HotSpot, Java SE embedded edition",Yes,Yes,Yes,dunno,dunno,Yes,Yes,dunno,dunno,dunno,dunno
"HotSpot, Zero port",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
IKVM.NET,Any architecture with a .NET framework.,,,,,,,,,,
JAmiga,dunno,dunno,No,No,No,Yes,No,No,No,No,Yes
JamVM,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Jato VM,Yes,No,No,No,Under development,Preliminary ARMv5 support,No,No,No,No
JC virtual machine,Yes,No,No,No,No,No,No,No,No,No,No
Jikes RVM,Yes,No,No,No,No,Yes,No,No,No,No,No
Kaffe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Mysaifu JVM,No,No,No,No,No,No,Yes,No,No,No,No
SableVM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
