Distribution,x86,x86-64,ia64,ppc,ppc64,sparc32,sparc64,arm,hppa,loongson,mips,sh,s390,s390x,alpha,m68k,riscv
Alpine Linux,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
Arch Linux,UnofficialOfficial discontinued 2017-11-08,yes,no,Discontinued unofficial port,no,no,no,Unofficial,no,Discontinued. Unofficial port,no,no,no,no,no,no
BackTrack,Discontinued from BackTrack 5 and superseded by Kali Linux,Discontinued from BackTrack 5 and superseded by Kali Linux,no,no,no,no,no,Discontinued from BackTrack 5 and superseded by Kali Linux,no,no,no,no,no,no,no,no
BLAG,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bodhi Linux,yes,yes,no,no,no,no,no,Discontinued2013-10-23,no,no,no,no,no,no,no,no
BOSS Linux,yes,yes,no,yes,yes,no,no,dunno,no,no,no,no,no,no,no,no
CentOS,AltArch,yes,Discontinued3.5-3.84.1-4.7,"Beta, Discontinued4.0",AltArch,Beta4.2,no,AltArch,no,no,no,no,Discontinued3.5-3.84.1-4.7,Discontinued3.5-3.84.1-4.7,no
Chakra,no,yes,no,no,no,no,no,dunno,no,no,no,no,no,no,no,no
CRUX,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Debian,yes,Yes4.0+,Discontinued3.0-7.0,Discontinued2.2-8,yes,Discontinued2.1-4.0,Discontinued-7,Yes2.2+,Discontinued3.0-5.0,yes,Yes3.0+,In progress,Discontinued3.0-7,Yes7+,Discontinued2.1-5.0,Discontinued2.0-3.1,In progress
Devuan,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Dragora GNU/Linux-Libre,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
dyne:bolic,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Fedora,yes,yes,Discontinued from Fedora 9,Discontinued from Fedora 17,yes,no,Inactive from Fedora 12,yes,no,In progress,Inactive from Fedora 13,no,no,yes,no,no,In progress
Finnix,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Gentoo,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Test release
gNewSense,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
Guix,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Hyperbola GNU/Linux-libre,yes,yes,no,no,In progress,no,no,no,no,no,no,no,no,no,no,no,In progress
Kali Linux,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
LibreCMC,no,no,no,no,no,no,no,no,no,no,yes XBurst,no,no,no,no,no
Manjaro Linux,yesUnofficial,yes,no,no,no,no,no,yesUnofficial,no,no,no,no,no,no,no,no
MEPIS,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Musix GNU+Linux,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
OpenELEC,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
openSUSE,Discontinued42.1,yes,no,no,no,partial,no,no,no,no,no,no,no,no
OpenWrt,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no
Oracle Linux,yes,yes,Discontinued5,no,no,no,no,no,no,no,no,no,no,no,no,no
Parabola GNU/Linux-libre,yes,yes,no,no,Test release,no,no,"Yes, ARMv7",no,Discontinued,Discontinued
Red Flag Linux,Discontinued8.0,Discontinued8.0,no,Discontinued3,no,no,no,no,no,no,no,no,no,no,no
Red Hat Linux,Discontinued9.0,no,Discontinued7.1-7.2,Test release5.1,no,Discontinued4.0-4.25.1-6.2,Test release5.1,no,no,no,Test release5.1,no,Discontinued7.2,yes,Discontinued2.1-7.1,Test release5.1
Red Hat Enterprise Linux,Discontinued2.1-6,yes3+,Discontinued2.1-5,yes3+,yes3+,no,no,no,no,no,no,no,Discontinued3-4,yes3+,no,no
Sabayon Linux,Discontinued,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Scientific Linux,yes,yes,Discontinued3-4,no,no,no,no,no,no,no,no,no,no,no,no,no
SHR,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Slackware,yes,yes,no,no,no,Discontinued?,no,yes,no,no,no,no,Discontinued?,Discontinued?,no
Solus,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Source Mage GNU/Linux,yes,yes,no,yes,no,no,no,no,no,dunno,no,no,no,no,no,no
SUSE Linux Enterprise Server,yes,yes,yes,yes,yes,no,no,AArch64 only,no,no,no,no,no,yes,no,no
Tor-ramdisk,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Trisquel GNU/Linux,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
TurnKey GNU/Linux,Selected ISOsavailable,yes,no,no,no,no,no,No - but under development by community,no,no,no,no,no,no,no,no
Ubuntu/Kubuntu/Xubuntu/Lubuntu,yes,yes,no,yes,yes,no,no,"yes, including 64-bit ARMv8-A",no,no,no,no,no,"Ubuntu only, 16.04+",no,no
Ututo,yes,yes,no,no,no,no,no,no,no,In progress,no,no,no,no,no,no
Void Linux,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
XBMCbuntu,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Yellow Dog Linux,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Distribution,x86,x86-64,ia64,ppc,ppc64,sparc32,sparc64,arm,hppa,loongson,mips,sh,s390,s390x,alpha,m68k,riscv
