Model,USB,Gigabit Ethernet,AirPort Extreme,Bluetooth,Video interface,SD card slot,Keyboard and mouse,iSight/Facetime Camera,Remote IR receiver
"! Mac mini",4,yes,yes,yes,Thunderbolt 2,yes,no,no,yes
"! iMac 21.5 in",4,yes,yes,yes,Thunderbolt 3,yes,yes,yes,no
"! iMac 21.5 in Retina Display",4,yes,yes,yes,Thunderbolt 3,yes,yes,yes,no
"! iMac 27 in",4,yes,yes,yes,Thunderbolt 3,yes,yes,yes,no
"! Mac Pro Quad-Core",4,2,yes,yes,Thunderbolt 2,no,no,no,no
"! Mac Pro 6-Core",4,2,yes,yes,Thunderbolt 2,no,no,no,no
"! MacBook Air",2,no,yes,yes,Thunderbolt 2,yes,Integrated,yes,no
"! MacBook Pro 13 in 2.0 GHz",2 USB-C,no,yes,yes,Thunderbolt 3,no,Integrated,yes,no
"! MacBook Pro 13 in 2.9 GHz",4 USB-C,no,yes,yes,Thunderbolt 3,no,Integrated,yes,no
"! MacBook Pro 15 in 2.6 GHz",4 USB-C,no,yes,yes,Thunderbolt 3,no,Integrated,yes,no
"! MacBook Pro 15 in 2.7 GHz",4 USB-C,no,yes,yes,Thunderbolt 3,no,Integrated,yes,no
"! MacBook Pro 13 in 2.7 GHz",2,no,yes,yes,Thunderbolt 2,yes,Integrated,yes,no
"! MacBook Pro 15 in 2.2 GHz",2,no,yes,yes,Thunderbolt 2,yes,Integrated,yes,no
