",Office Open XML,OpenDocument
"!,Microsoft,StarDivision / Sun Microsystems
"!,Microsoft Office XML formats,OpenOffice.org XML
"!," ISO/IEC"," OASIS, ISO/IEC"
"!,2006,2005
"!,Ecma International Standard ECMA-376 Office Open XML File Formats 1st edition,OASIS OpenDocument Format for Office Applications (OpenDocument) v1.0
"!,ISO/IEC IS 29500-1:2012—Office Open XML File Formats,OASIS Open Document Format for Office Applications (OpenDocument) v1.2
"!,ISO/IEC IS 29500-1:2012—Office Open XML File Formats,ISO/IEC IS 26300:2006—Open Document Format for Office Applications (OpenDocument) v1.0
"!,Markup language (XML),Markup language (XML)
"!,XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 19757-2),RELAX NG (ISO/IEC 19757-2)
"!,NVDL (ISO/IEC 19757-4),
"!,ZIP,ZIP
"!,Open Packaging Convention (ISO/IEC 29500-2:2012),ODF Package
"!,Dublin Core (ISO 15836),subset of Dublin Core and “urn:oasis:names:tc:opendocument:xmlns:meta” elements
"!," DrawingML, VML",“urn:oasis:names:tc:opendocument:xmlns:drawing” elements and “urn:oasis:names:tc:opendocument:xmlns:svg-compatible” elements
"!,Office MathML (OMML),MathML
"!,supported,supported
"!,supported,supported
"!,part of the standarddate=May 2010,based on OpenFormula
"!,application-defined,application-defined
"!,part of the standarddate=May 2010,supported
"!,JPEG (ISO/IEC 10918),PNG (ISO/IEC 15948)
"!,Open Font Format (ISO/IEC 14496-22),
"!,part of the standard,
"!," docx, docm, xlsx, xlsm, pptx, pptm"," odt, ods, odp, odg, odf"
"!,application/vnd.openxmlformats-officedocument.wordprocessingml.document application/vnd.ms-word.document.macroEnabled.12 application/vnd.openxmlformats-officedocument.spreadsheetml.sheet application/vnd.ms-excel.sheet.macroEnabled.12 application/vnd.openxmlformats-officedocument.presentationml.presentation application/vnd.ms-powerpoint.presentation.macroEnabled.12,application/vnd.oasis.opendocument.text application/vnd.oasis.opendocument.spreadsheet application/vnd.oasis.opendocument.presentation application/vnd.oasis.opendocument.graphics application/vnd.oasis.opendocument.formula
"!,Office Open XML software,OpenDocument software
"!,* ISO/IEC copyrighted free download * Ecma copyrighted free download / copying allowed," * ISO/IEC copyrighted free download * OASIS copyrighted free download / copying allowed"
"!,* Reasonable and Non Discriminatory Licensing (RAND-Z) * Microsoft Open Specification Promise (OSP) * Microsoft Covenant Not to Sue (CNS),* Sun Microsystems intellectual property covenant * IBM Interoperability Specifications Pledge
"!," Patent license covers conforming implementations"," Patent license covers fully compliant implementations"
"!,Microsoft Office 2013 (and later) and LibreOffice (for Microsoft Office 2007 Office Open XML)," Many including LibreOffice, OpenOffice.org, KOffice, AbiWord, Lotus Notes and Microsoft Office (since 2007 SP2)"
File format,Office Open XML,OpenDocument
