File format,OpenXPS,PDF
Based on a formatdeveloped by,Microsoft,Adobe Systems
Standardized by,Ecma International,ISO
First public release date,2006,1993
Latest stable version,Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition,ISO 32000-1:2008 — Document management — Portable document format — Part 1: PDF 1.7
Latest standardised version,Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition,ISO 32000-1:2008 — Document management — Portable document format — Part 1: PDF 1.7
Language type,Markup language (XML),PDF is a database of objects that may be created from PostScript or generated directly by an application.
XML schema representation,XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 19757-2),N/A
Compression format,ZIP," RLE for images only"
Container structure,Open Packaging Conventions (ISO/IEC 29500-2:2008),
3D graphic content,X3D (ISO/IEC 19775/19776),U3D (Standard ECMA-363)
Full file content compression,yes
Fast page by page download from web servers,yes,yes
Multiple documents in one file,yes
Document bookmarks and outline,yes,yes
Reflowable,no,With Tagged PDF
Hyperlinks,yes,yes
Page thumbnails,yes
Annotations,yes,yes
Image transparencies,yes,yes
Gradient fills,yes,yes
Alpha channel in color definitions,yes,yes
Support for multiple transparency blending modes,dunno,yes
Change tracking,no,no
Password protection,yes,yes
Digital signatures,yes
JPEG (RGB and CMYK) (ISO/IEC 10918-1),yes,yes
JPEG 2000 (ISO/IEC 15444-1),no,yes
bi-level images,no,yes
PNG,yes,yes
TIFF (RGB and CMYK),yes,no
HD Photo / JPEG XR (ISO/IEC 29199-2:2009),yes,no
Gray support,yes,yes
RGB support,yes,yes
CMYK support,yes,yes
Spot color support,yes,yes
Filename extensions,oxps
Internet media types,application/oxps,application/pdf
Standard licensing,* Ecma copyrighted free download,* ISO copyrighted free download
File format,OpenXPS,PDF
