Latin,Spanish,Portuguese,Examples,Meaning
" cl-, fl-, pl-",ll- or pl,ch-," align=left  clāmāre → S. llamar, P. chamar  plumbum → S. plomo, P. chumbo  flammam → S. llama, P. chama  plēnum → S. lleno, P. cheio (also pleno)",align=left  to call  lead (metal)  flame  full
" -lt-, -ct-",-ch-,-it-," align=left   multum → S. mucho, P. muito  noctem → S. noche, P. noite  pectum → S. pecho, P. peito",align=left  much  night  chest
f-,h-  (later silent)  or f-,f-," align=left   fābulāre → S. hablar, P. falar   fīlium → S. hijo, P. filho  focum → S. fuego, P. fogo",align=left   to speak   son  fire
j(a)-,ya-,ja-," align=left   iam → S. ya, P. já   iacere → S. yacer, P. jazer (both archaic)"," align=left   already  to lie, as in a grave"
-l-,-l-,(elided)," align=left   caelum → S. cielo, P. céu (arch. ceo)   volāre → S. volar, P. voar",align=left   sky   to fly
" -c(u)l-, -li-",-j-,-lh-," align=left   oculum → S. ojo, P. olho  fīlium → S. hijo, P. filho",align=left   eye  son
-ll-,-ll-,-l-," align=left   castellum → S. castillo, P. castelo",align=left   castle
-n-,-n-,(elided)," align=left   generālem → S. general, P. geral  tenēre → S. tener, P. ter ",align=left   general (adj.)  to have
-ni-,-ni-,-nh-," align=left  iūnius → S. junio, P. Junho ",align=left  June
-nn-,-ñ-,-n-," align=left   annum → S. año, P. ano  cannam → S. caña, P. cana",align=left   year  reed
