Name,Version,Date
BProlog,8.1,2014-02-23
JIProlog,4.1.6.1,2018-03-17
Ciao,1.19.0,2020-03-21
[http://www.lpa.co.uk/dos.htm DOS-PROLOG],6.0,
ECLiPSe,7.0_54,2020-02-26
GNU Prolog,1.4.5,2018-07-14
[http://www.jekejeke.ch/ Jekejeke Prolog],1.3.1,2018-11-02
[http://jlogic.sourceforge.net/ JLog],1.3.6,2007-09-13
[http://jlogic.sourceforge.net/ JScriptLog],0.7.5 beta,2007-09-10
[https://web.archive.org/web/20121113023104/http://java.net/projects/jTrolog jTrolog],,
[http://www.lpa.co.uk/win.htm LPA-PROLOG],7.0,2019-12-19
Open Prolog,,
Poplog Prolog,V15.65,2015-10-14
SICStus Prolog,4.6.0,2020-05-04
Strawberry Prolog,3.0 Beta 4,2013-12-10
SWI-Prolog,8.2.0,2020-05-27
tuProlog,3.2.1,2017-02-14
Visual Prolog,"9.0, Build 902",2019-04-26
XSB Prolog,3.8,2017-10-29
YAProlog,6.3.3,2013-01-21
