" scope=""col""  Name"," scope=""col""  Operating system"," scope=""col""  License"," scope=""col""  User interface"," scope=""col""  Fixed drives"," scope=""col""  USB, eSATA andremovable drives"," scope=""col""  name=RAIDDisks that are members of a date=September 2012"," scope=""col""  Shows S.M.A.R.T. attributes"," scope=""col""  Hard driveself-testing"," scope=""col""  Notification"," scope=""col""  Notes"
" scope=""row""  AIDA64",Windows,Trialware,GUI,(S)ATA,most USB,Some RAID controllers,yes,no,yes2 Monitoring only available in the Business Edition,Clear
" scope=""row""  Argus Monitor",Windows,Trialware,GUI," IDE(PATA), SATA"," eSATA, USB",Some RAID controllers,yes,dunno," yes2 By window, sound, email, program execution at choosable parameter changes, threshold"," Also shows temperature of CPU, GPU, CPU core speed, Intel Turbo Boost status, CPU power consumption, system load and system fan speeds. Can control speed of GPU and system fans."
" scope=""row""  CrystalDiskInfo",Windows,MIT,GUI," IDE(PATA), SATA, NVMe"," eSATA, USB, IEEE 1394",Intel CSMI,yes,no," Mail, sound and popup",Sister utility to CrystalDiskMark. Has AAM/APM control.
" scope=""row""  Defraggler",Windows,Freeware,GUI," IDE(PATA), SATA"," eSATA, USB",No,Yes,No,No," Primarily a defragmenter; supports basic S.M.A.R.T. stat display, includes the one-word summary of drive-health."
" scope=""row""  Disk Utility",macOS,Commercial proprietary,GUI,No,eSATA andremovable drives,dunno,no,no,no,Summary information includes one line for S.M.A.R.T.
" scope=""row""  GNOME Disks",Linux,LGPL v2+,GUI," IDE(PATA), SATA",USB (when used with Live CD),dunno,yes,yes,yes2 GNOME pop-up notification," LiveCDs are available for download, allowing the user to use GNOME Disks without any changes to the computer."
" scope=""row""  smartmontools"," Windows, Unix-like (Linux, macOS, BSD, etc.)",GNU GPL v2,CLI and GUI (via GSmartControl and HDD Guardian)," All for Linux, some for other Unix-like",See list of supported devices; SAT driver required on macOS only,Several RAID controllers,yes,yes," yes2 window, sound, email, program execution at choosable parameter changes, threshold"," LiveCDs are available for download, allowing the user to use smartmontools without any changes to the computer."
" scope=""row""  Speccy",Windows,Freeware,GUI," IDE(PATA), SATA",no,dunno,yes,no,no,Clear
" scope=""row""  SpeedFan",Windows,Freeware,GUI," (S)ATA, SCSI, SAT; Areca, 3ware",yes,Some RAID controllers,yes,yes," yes2 Window, sound, e-mail, running a command; at parameter changes, threshold, temperature"," Estimate health and performance by percentage, and offers online drive analysis (and compares from other users)."
" scope=""row""  SpinRite"," DOS, FreeDOS",Commercial proprietary,GUI,dunno,dunno,dunno,yes,yes,no,Clear
" scope=""col""  Name"," scope=""col""  Operating system"," scope=""col""  License, price"," scope=""col""  User interface"," scope=""col""  Fixed drives"," scope=""col""  USB, eSATA andremovable drives"," scope=""col""  name=RAID"," scope=""col""  Shows S.M.A.R.T. attributes"," scope=""col""  Hard driveself-testing"," scope=""col""  Notification"," scope=""col""  Notes "
