Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding,Raw Public Keys
Botan,yes,yes,yes,no,no,no,yes,yes,yes,No,yes,yes,yes,no,unknown
cryptlib,yes,yes,no,no,no,yes,no,no,no,No,yes,yes,yes,no,unknown
GnuTLS,yes,yes,yes,yes,no,yes,yes,yes,yes,No,yes,yes,yes
JSSE,yes," Yes"," Yes",yes,no,no,no,no,yes,No,no,no,yes,no,no
LibreSSL,yes,yes,yes,yes,no,no?,yes,yes?,no,No,no,Server side only,no,yes,unknown
MatrixSSL,yes,yes,yes," yes",no,no,yes,no,yes,Yes,no," yes"," yes",no,unknown
mbed TLS,yes,yes,yes,no,no,no,yes,no,yes,Disabled by default," yes"," yes",no,no
NSS,yes,yes,yes,yes,no,no,yes,yes,no,No,no,yes,yes," yes",unknown
OpenSSL,yes,yes,yes,yes,yes,unknown
RSA BSAFE Micro-Edition Suite,yes,yes,no,yes,no,no,yes,no,yes,Yes,no,no,no,no,no
RSA BSAFE SSL-J,yes,yes,no,no,no,no,no,no,yes,Yes,no,no,no,no,no
SChannel XP/2003,no,no,no,no,no,yes,no,no,no,No,no,no,no,no,unknown
SChannel Vista/2008,yes,yes,no,no,no,yes,no,no,no,No,no,no,yes,no,unknown
SChannel 7/2008R2,yes,yes,no,yes,no,yes,no,no,no,No,no,no," yes",no,unknown
SChannel 8/2012,yes,yes,no,yes,no,yes,Client side only,no,no,No,no,no," yes",no,unknown
" SChannel 8.1/2012R2, 10",yes,yes,yes,yes,no,yes," yes",no,no,No,no,no," yes",no,unknown
[https://developer.apple.com/library/mac/documentation/Security/Reference/secureTransportRef/index.html Secure Transport],yes,yes,unknown,no,no,yes,no,no,no,No,no,no,no,no,unknown
wolfSSL,yes,yes," yes",yes,no,no,yes,no,yes,Yes,no,no,yes,no,unknown
Erlang/OTP SSL application,yes,yes,yes,no,no,no,no,no,no,No,no,yes,no,no,unknown
Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding
