Features,valign=top  Prius 150px1997 Toyota Prius,valign=top  Prius 150px2004 Toyota Prius,valign=top  Prius 150px2009 Toyota Prius,valign=top  Prius 150px2019 Toyota Prius,valign=top  Camry 150px,valign=top  Highlander 150px,valign=top  Highlander 150px
Release date,December 1997 (Japan)2000 (worldwide),August 2003,May 2009 (Japan)June 2009 (US),December 2015,May 2006,July 2005,September 2007
US model year,2001–2003,2004–2009,2010–2015,2016–,2007–,2005–2007,2008–
Base price,"19,995","22,000","22,000","24,685","26,480","33,000","34,700"
EPA-estimated city fuel economy,42mpgusL/100 km mpgimpabbr=on,48mpgusL/100 km mpgimpabbr=on,51mpgusL/100 km mpgimpabbr=on,54mpgusL/100 km mpgimpabbr=on,33mpgusL/100 km mpgimpabbr=on,28mpgusL/100 km mpgimpabbr=on (2WD)27mpgusL/100 km mpgimpabbr=on (4WD-i),27mpgusL/100 km mpgimpabbr=on
EPA-estimated highway fuel economy,41mpgusL/100 km mpgimpabbr=on,45mpgusL/100 km mpgimpabbr=on,48mpgusL/100 km mpgimpabbr=on,50mpgusL/100 km mpgimpabbr=on,34mpgusL/100 km mpgimpabbr=on,25mpgusL/100 km mpgimpabbr=on (2WD)25mpgusL/100 km mpgimpabbr=on (4WD-i),25mpgusL/100 km mpgimpabbr=on
EPA-estimated drivers fuel economy,45mpgusL/100 km mpgimpabbr=on,47.5mpgusL/100 km mpgimpabbr=on,48.7mpgusL/100 km mpgimpabbr=on,52mpgusL/100 km mpgimpabbr=on,36.6mpgusL/100 km mpgimpabbr=on,,24.5mpgusL/100 km mpgimpabbr=on
Engine,1.5 L 1NZ-FXE I4 Atkinson cycle,1.5 L 1NZ-FXE I4 Atkinson cycle,1.8 L 2ZR-FXE I4 Atkinson cycle,1.8 L 2ZR-FXE I4 Redesigned  Atkinson cycle,2.4 L 2AZ-FXE I4 Atkinson cycle,3.3 L 3MZ-FE V6,3.3 L 3MZ-FE V6
0–60 mph (97 km/h) acceleration,12.6 s,10.8 s,10.0 s,9.6 s,"7.3 s (R ;T, 5/06)",6.6  s (Motor Trend),n/a
Engine output,70 hp (52 kW) / 82 lb·ft (110 Nm),76 hp (57 kW) / 85 lb·ft (115 Nm),98 hp (73 kW) / 105 lb·ft (142 Nm),95 hp (71 kW) / 105 lb·ft (142 Nm),147 hp (108 kW) / 138 lb·ft (187 Nm),,156 kW (208 hp)
Electric motor output,44 hp (33 kW) / 259 lb·ft (350 Nm),68 hp (50 kW) / 295 lb·ft (400 Nm),80 hp (60 kW) / 153 lb·ft (207 Nm),71 hp (53 kW) / 120 lb·ft (163 Nm),45 hp (34 kW),,
Net power,60 kW (80 hp),80 kW (107 hp),110 kW (134 hp),90 kW (121 hp),140 kW (187 hp),,201 kW (270 hp)
Traction battery power,33kWhpabbr=on,21kWhpabbr=on,27kWhpabbr=on,53kWhpabbr=on,30kWhpabbr=on,45kWhpabbr=on,45kWhpabbr=on
Requires premium fuel (91 octane (R+M)/2 ),No,No,No,No,No,"No (however, premium recommended)",No
EPA/CARB emission certification,,Tier II Bin 3/AT-PZEV,Tier II Bin 3/SULEV,Tier II Bin 3/SULEV with AT-PZEV,Tier II Bin 3/AT-PZEV,Tier II Bin 3/AT-PZEV,Tier II Bin 3/SULEV
Smog forming emissions compared to average new vehicle,75% less,80% less,80% less,80% less,80% less,80% less,80% less
Maximum seating,5,5,5,5,5,7,7
