Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
AudioCodes MobilityPLUS," Windows, Android, iOS",proprietary,dunno," SIP, RTP, XMPP, ICE",Opus," TLS, SRTP",Unk," Voice, video, IM, Group chat, content sharing, SMS and MMS over IP services, native and social network contacts integration, incoming call/IM push notifications.",2014
Avaya Application Server 5300 Soft Client,Windows,proprietary,dunno," SIP, RTP",Unk," TLS, SRTP",Unk,,2.0; 2010
Blink,Windows,Mixed: free software versions under GNU GPLv3 + shareware versions under gplv3 with exception of including proprietary code," macOS version proprietary on App Store, free version limited to sponsored SIP provider; Windows version proprietary; Linux version open source"," ICE, SIP, MSRP, RFB (VNC), XCAP"," Opus, PCMA"," TLS, SRTP and OTR/SMP on Linux and macOS only",No limit," IM, file transfer, desktop sharing, multi-party conference, wideband",Blink Qt
CSipSimple,Android,GPL,free," SIP, ICE, TURN "," Opus, AMR, iSAC, SILK (narrow-band/wide-band/ultra wide-band) "," SRTP, SIP over TLS 1.0 and ZRTP",Unk," SIP SIMPLE messaging, Support for IPv6, Integration with Android operating system with filters and rewriting rules",1.0.2; 201411
Cisco IP Communicator,Windows,proprietary,free (for Cisco SMB Partners only)," SCCP (Skinny), SIP, TFTP, HTTP (for XML Services)"," iSAC, G.729a, G.729ab",SRTP," Unlimited (with bridge), 2 otherwise"," Call Recording, Silent Monitoring, Multiple lines and directory numbers, Configurable speed dial, Calling name and number display, Call Waiting, Call Forward, Call Transfer, Three-Way Calling (conference), Call Park, Call Pickup, Redial, Hold, Barge, Callback, Extension Mobility, Message waiting indicator, iDivert, Meet Me conferencing, Group Pickup, Do Not Disturb, XML Services",8.6.6; 20160427
CounterPath Corporation Bria," Windows, Android",proprietary,," SIP, RTP, XMPP, ICE",Opus," TLS, SRTP"," 6 party voice, 3 party video"," Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications",5.3.4  20180723
Discord," Android, iOS, Windows, Linux",proprietary," free, Premium ""Nitro"" Subscription for Additional Features."," RTP, UDP, WS, HTTPS",Opus,TLS,"5,000 soft limit","IM, file sharing, in-game overlay",02.01.2018; 20180201
Ekiga," Windows, OpenSolaris",GPL,free," SIP, H.323, STUN, Zeroconf, XMPP, RTP"," H.263, H.264/MPEG-4 AVC, Theora, iLBC, Speex, SILK, GSM, ...",No,Unk," Video, IM, LDAP, Call Forwarding, Call Transfer, Auto-answering, PC to phone, phone to PC, Multiple accounts, USP support, Message waiting indicator, SIMPLE-based presence etc.",Latest stable software release/Ekiga
Empathy,Linux,GPL,free," SIP, XMPP (Jingle), ICE (TURN), Zeroconf",Unk,No,Unk," IM, multi-user A/V,  collaborative applications",Latest stable software release/Empathy (software)
Eyeball Chat,Windows,proprietary,free," SIP, ICE, XMPP",Unk,Yes,5," IM, Conferencing, Voice, Video and SIMPLE based presence",Windows 3.2; 2009
eyeBeam,Windows,proprietary,dunno,SIP-SIMPLE,Unk," TLS, SRTP",6 party audio; 3 party video,Voice and Video calling; IM; Import Microsoft Outlook Contacts; USB Support; Call Recording and Conferencing,1.5.20.1; 201003
FaceTime," iOS, macOS",proprietary,Free," SIP, ICE date=September 2019"," AAC-date=September 2019 Audio, H.263 and VP8"," RTP, SRTP standards for delivering real-time and encrypted media streams for VoIP.",20," Video, voice, conferencing, with additional tools available as ""Services"".",Latest stable software release/FaceTime
Google+ Hangouts," Windows, Android, iOS",proprietary (using libjingle),free,XMPP," H.264/SVC, H.264/AVC, H.263 and VP8",SRTP,10," Video, chat, screen sharing, with additional tools available as ""Hangout Apps"".",Latest stable software release/Google+ Hangouts
IBM Sametime," Windows, mobile",proprietary,dunno," SIP-SIMPLE, T.120",H.323,TLS,Unk," IM, File transfer, Voice, Presence, Server stored contact list, HTTP tunneling, plugins, embedable in Lotus Notes",8.5.2; 20110508
iCall," Windows, Android",proprietary,free," SIP, AIM, XMPP"," Speex, CELT, WebM"," TLS, ZRTP",No limit," Video, file transfer, PC to phone, phone to PC, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), Voicemail",7.1.522
Jami by Savoir-faire Linux," Android, FreeBSD, iOS, iPhone, Linux, Microsoft Windows, OS X",GPL3,free," SIP, RTP, SRV, DHT, P2P"," Audio: Opus, Speex, G.722, G.711, GSM, VP8, G.729, iLBC. Video: H.264, H.263, VP8, MPEG-4"," Voice encryption (SRTP with TLS), multiple realms authentication mechanism ",No limit," Blockchain ID-management, Gnome-KDE client, address book, multiple accounts, unlimited call number, call transfer, call hold-unhold, call recording, multi-way conferencing",Latest_stable_software_release/Ring_(software)
Jitsi,Windows (all java supported). Experimental Android builds are also available.,Apache,free," SIP-SIMPLE, XMPP-Jingle ICE, TURN"," Opus, G.711 (PCMU/PCMA), iLBC, GSM, G.729, H.264, H.263, VP8"," SRTP, OTR, TLS",Unk," Text messaging, audio-video telephony, IPv6 (often broken, P2P not supported), call recording, 64-bit",Latest stable software release/Jitsi
KPhone,Linux (KDE),GPL,free," SIP, NAPTR-SRV",Unk,SRTP,Unk," Video, voice, IM, external Sessions, IPv6 support for UDP",1.2 (November 2008)
Librestream Onsight Connect," Windows, Android, iOS",proprietary,dunno," SIP, RTP, STUN"," G.711, H.264, MPEG, and others"," TLS, SRTP",Unk," Voice, video, conferencing, image sharing, incoming call/IM push notifications.",20180227
Linphone," Windows, Android, iPhone, BlackBerry",GPL,free,SIP," Opus, G711, GSM, G.722, VP8 (WebM), H263, MPEG4, Theora and H264 (plugin)"," TLS, SRTP, ZRTP",Unk," Video, IM, STUN, IPv6 (disables IPv4 support when enabled, P2P supported only by [http://download-mirror.savannah.gnu.org/releases/linphone/3.5.x/ version 3.5.1-2])",3.11.1; 20170310
Messages,macOS,proprietary," free, only macOS and iOS",SIP AIM XMPP," H263, H264",Unk,Unk," Integrated, PBX independent",7.0; 20120725
MicroSIP,Windows,GPL,free," SIP, ICE, SIMPLE"," Speex, iLBC, GSM, G.711, G.722, G.729, SILK, Linear PCM"," TLS, SRTP",Unk," Video, voice, IM and Presence",3.19.15 201905
Mirial Softphone (Mirial s.u.r.l.)," Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86)",proprietary,not free," SIP, RTSP",H.323,DTLS-SRTP,Unk," H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL)"," 7.0.24; 20100526, discontinued"
Mumble," Windows, Android",New BSD license,free,ICE,Opus,TLS and OCB-AES128,No max (limited only by server bandwidth and memory),"Chat with (limited) embedded HTML, latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation",1.2.19; 20170127
