Name,Latest release,Active,Software license,Type,Windows,macOS,Linux,Textual editor?,Tree view editor?,Graphical editor?,WYSIWYG editor?,XML Schema editor?,Syntax highlighting,Tag folding,schema,XPath search,XML diff/merge,Payment model,Full-featured free trial period
Adobe FrameMaker,2019,yes,proprietary,Standalone,yes,No,No,yes,yes,yes,yes,dunno,yes,yes,yes,yes,,dunno,yes
Altova XMLSpy,2020,yes,proprietary," StandaloneEclipse Plugin, Visual Studio Plugin",yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,dunno,30 days
BaseX,current,yes,Open Source,Standalone,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,via add-on module,N/A,N/A
CAM Editor,2015 (3.2.2),Yes,Open Source,Standalone,yes,yes,yes,yes,yes,yes,no,dunno,no,yes,no,,,N/A,N/A
emacs/nxml-mode,2019 (26.3),dunno,GPL-lic,Emacs mode,yes,yes,yes,yes,dunno,no,no,dunno,yes,yes,yes,,,N/A,N/A
MadCap Flare,2019,yes,proprietary,Standalone,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,Perpetual and Subscription,yes
Liquid XML Studio,2020 (18.0.4),yes,proprietary,Standalone + Visual Studio Plugin,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,dunno,yes
Oxygen XML Editor,2020 (22.0),yes,proprietary,Standalone + Eclipse PluginWeb-App,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,30 days
Quark Author Web Edition on Quark Publishing Platform,2014 (10.5),yes,proprietary,Web-App,yes,yes,yes,no,Sections Only,yes,yes,dunno,no,no,no,,,dunno,n/a
Stylus Studio,2014 (X15 R2),yes,proprietary,Standalone,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,,yes,dunno,yes
Xeditor,April 2020 (6.4),yes,proprietary,Web-app,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Subscription,yes
Xerlin,2005 (1.3),no,Open Source,Standalone,yes,yes,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,,,N/A,dunno
XMetaL,2018 (13.0),yes,proprietary,Standalone,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,dunno,yes
XML Notepad,2020 (2.8.0.11),yes,Microsoft Public License,Standalone,yes,no,no,yes,yes,yes,dunno,dunno,dunno,dunno,yes,,,dunno,yes
