XEP,,,,,,,,,,,,,,,,,,,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
[http://xmpp.org/extensions/xep-0004.html 0004],,,,,,,,,,,,,,,,,,,Data forms,Final,Yes,Yes,Yes,Yes,Yes
[http://xmpp.org/extensions/xep-0009.html 0009],,,,,,,,,,,,,,,,,,,Jabber RPC,Final," Yes",unk,unk," No",unk,No,No,unk," Yes",Yes
[http://xmpp.org/extensions/xep-0012.html 0012],,,,,,,,,,,,,,,,,,,Last Activity,Final,Yes,unk,Yes," Yes"," Yes",Yes," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0013.html 0013],,,,,,,,,,,,,,,,,,,Flexible offline message retrieval,Draft," No",unk," Yes"," No"," No",No,No," Yes"," No"," Yes"
[http://xmpp.org/extensions/xep-0016.html 0016],,,,,,,,,,,,,,,,,,,Privacy Lists,Deprecated," Yes",unk," Yes"," Yes"," Yes",No,Yes,unk," Yes"," Yes"
[http://xmpp.org/extensions/xep-0018.html 0018],,,,,,,,,,,,,,,,,,,Invisible Presence,Rejected," Yes",unk," Yes"," No",No,No,Yes,unk,unk," No"
[http://xmpp.org/extensions/xep-0020.html 0020],,,,,,,,,,,,,,,,,,,Feature negotiation,Deprecated,Yes,unk,unk," No",unk,No,No," No"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0022.html 0022],,,,,,,,,,,,,,,,,,,Message Events,Obsolete," Yes",unk," Yes"," Yes",unk,No,Yes,unk," Yes"," Yes"
[http://xmpp.org/extensions/xep-0023.html 0023],,,,,,,,,,,,,,,,,,,Message Expiration,Obsolete," Yes",unk," Yes"," Yes",unk,No,Yes,unk,unk,No
[http://xmpp.org/extensions/xep-0025.html 0025],,,,,,,,,,,,,,,,,,,HTTP Polling,Obsolete," Yes",unk,unk," No"," No",No,No,unk," No"," No"
[http://xmpp.org/extensions/xep-0030.html 0030],,,,,,,,,,,,,,,,,,,Service Discovery,Final," Yes",unk," Yes"," Yes"," Yes"," Yes",Yes," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0033.html 0033],,,,,,,,,,,,,,,,,,,Extended Stanza Addressing,Draft,Yes,unk,unk,No," No"
[http://xmpp.org/extensions/xep-0039.html 0039],,,,,,,,,,,,,,,,,,,Statistics Gathering (deferred),Deferred," Yes",unk,unk," No"," No",No,No,unk,unk," Yes"
[http://xmpp.org/extensions/xep-0045.html 0045],,,,,,,,,,,,,,,,,,,Multi User Chat,Draft,Yes," No"," Yes"," Yes",Yes," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0047.html 0047],,,,,,,,,,,,,,,,,,,In-Band Bytestreams,Final," Yes",unk,unk," No",unk,No,Yes," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0049.html 0049],,,,,,,,,,,,,,,,,,,Private XML Storage,Historical Use," Yes",unk," Yes"," Yes"," Yes"," Yes",Yes," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0050.html 0050],,,,,,,,,,,,,,,,,,,Ad-Hoc Commands,Draft," Yes",unk,unk," No"," Yes"," Yes",Yes," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0054.html 0054],,,,,,,,,,,,,,,,,,,vcard-temp,Historical Use," Yes",unk," Yes"," Yes"," Yes"," Yes",Yes," Yes"," Yes"," Yes"
XEP,,,,,,,,,,,,,,,,,,,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
[http://xmpp.org/extensions/xep-0055.html 0055],,,,,,,,,,,,,,,,,,,Jabber Search,Historical Use,Yes," No",unk
[http://xmpp.org/extensions/xep-0059.html 0059],,,,,,,,,,,,,,,,,,,Result set management,Draft," Yes",unk,unk," No"," Partial",No,Yes," Yes"," No"," Yes"
[http://xmpp.org/extensions/xep-0060.html 0060],,,,,,,,,,,,,,,,,,,Publish-Subscribe,Draft,Yes," No"," Yes"," Yes",Yes," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0065.html 0065],,,,,,,,,,,,,,,,,,,SOCKS5 Bytestreams,Draft,Yes," No"," Yes",No,No," Yes"," Yes"," Yes"
[http://xmpp.org/extensions/xep-0066.html 0066],,,,,,,,,,,,,,,,,,,Out of Band Data,Draft," Yes",unk,unk," No",unk,No,Yes,unk,Yes," Yes"
[http://xmpp.org/extensions/xep-0068.html 0068],,,,,,,,,,,,,,,,,,,Field Standardization for Data Forms,Approved," Yes",unk,unk," No",unk," Yes",Yes,unk," Yes"," Yes"
