Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AVComparatives,AVTest,License,Price,First release,Country of origin,Notes
align=leftAhnLab,AhnLab Mobile Security,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Proprietary,dunno,2010,South Korea,
align=leftAvast,Avast Mobile Security,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Free,2011,Czech Republic,
align=leftAvast,Avast Premier Mobile Security,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2013,Czech Republic,
align=leftAVG Technologies (Grisoft),AVG AntiVirus FREE for Android,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary,Free,2010,Czech Republic,
align=leftAvira Operations,Avira Free Android Security,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Proprietary,Free,2004,Germany,
align=leftBitdefender,Bitdefender Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary,Freemium,2011,Romania,
align=leftCheetah Mobile,Security Master,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary,Free,2012,China,Earlier it is known as CM Security
align=leftComodo Group,Comodo Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2012,United States,
align=leftDr. Web,Dr. Web Mobile Security Suite,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2010,Russia,
align=leftESET,ESET Mobile Security,Yes,Yes,No,Yes,"Partially, only Anti-Phishing ",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Freemium,2011,Slovakia,
align=leftF-Secure,F-Secure Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2010,Finland,
align=leftG Data Software,G Data Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2012,Germany,
align=leftKaspersky Lab,Kaspersky Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Russia,Banned by USG
align=leftKaspersky Lab,Kaspersky Tablet Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Russia,Banned by USG
align=leftMcAfee,McAfee Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,United States,
align=leftQihoo 360,360 Mobilesafe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Free,2009,China,
align=leftQuick Heal,Quick Heal Mobile Security,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2012,India,
align=leftSophos,EndUser Protection,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary,Nonfree,2011,United Kingdom,
align=leftSourcefire,FireAMP Mobile,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Proprietary,dunno,2012,United States,
align=leftNortonLifelock (formerly Symantec),Norton Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,United States,
align=leftTrend Micro,Trend Micro Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2012,Japan,
align=leftTrustPort,TrustPort Mobile Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Proprietary,Freemium,2012,Czech Republic,
align=leftWebroot,SecureAnywhere Mobile,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Freemium,2012,United States,
Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AV Comparatives,AV-Test,License,Price,First release,Country of origin,Notes
