Name,AccuRev,BitKeeper,CA Harvest,ClearCase,CVS,Darcs,Git,GNU Bazaar,Integrity,Mercurial,Perforce,Plastic,PVCS,StarTeam,Subversion,Surround,Synergy,Team Concert,TFVC,Vault,Visual SourceSafe
Apache Gump,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
AppVeyor,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
Azure DevOps Server,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Bamboo,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no
Buddy,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
BuildBot,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no
BuildMaster,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes
Jenkins,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
OpenMake Software Meister,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes
Semaphore (software),no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
TeamCity,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes
Vexor,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
