Tool,Creator,Target Business Size,License,Supported Database Platforms,Supported OSs,Standalone or bundled into a larger toolkit,,,,Launch Date,
Astah,Change Vision,Enterprises,Proprietary," Oracle,"," Windows, macOS, Linux",Standalone,2006
Database Deployment Manager,The Unauthorized Frog project,SMBs and enterprises,LGPL," CUBRID, MySQL, SQLite"," Windows, Linux",Standalone,2010 ?
Database Workbench,Upscene Productions,SMBs and enterprises,Proprietary," Oracle, Firebird, InterBase, SQL Anywhere, NexusDB, MariaDB"," Windows, Linux and FreeBSD (both through Wine)",Standalone,2001
Enterprise Architect,Sparx Systems,SMBs and enterprises,Proprietary," Firebird, Ingres, Access, Oracle, PostgreSQL, Sybase"," Windows, Linux (Wine), macOS (via  CrossOver)",Data modeling is supported as part of a complete modeling platform.,2000
ER/Studio,Embarcadero (acquired by IDERA),SMBs and enterprises,Proprietary," Access, Firebird, Oracle, Visual Foxpro and others via ODBC/ANSI SQL",Windows,Standalone,1998
Erwin Data Modeler,ERWin (formerly CA),SMBs and enterprises,Proprietary," Access, Oracle, PostgreSQL, Sybase, and others via ODBC/ANSI SQL",Windows,Standalone,1998
MagicDraw,No Magic," Enterprises, SMBs, personal",Proprietary," Oracle, MySQL, PostgreSQL, IBM DB2"," Windows, Linux, macOS",Standalone,1995
SQL Server Management Studio,Microsoft,unk,Proprietary,MS SQL Server,Windows,Standalone,2005
ModelRight,ModelRight," Enterprises, SMBs, personal",Proprietary," Access, Oracle, MySQL, PostgreSQL, IBM DB2",Windows,Standalone,2005
MySQL Workbench,Oracle Company),SMBs - personal,Proprietary or GPL,MySQL," Linux, Windows, macOS",Standalone,2006
Navicat Data Modeler,PremiumSoft,SMBs and enterprises,Proprietary," Oracle, SQLite "," Windows, macOS, Linux",Standalone,2012
NORMA Object-Role Modeling,Terry Halpin,SMBs and enterprises,CPL," Oracle, DB2 ",Windows,Visual Studio Extension,2005
Open ModelSphere,Grandite,Enterprises - SMBs - personal,GNU GPL3," Oracle, DB2"," Windows, macOS, Linux"," Standalone with Data, UML, and process modeling",2008
Oracle SQL Developer Data Modeler,Oracle,Enterprises,Proprietary," Oracle, MS SQL Server, IBM DB2",Cross-platform,Standalone,2009
PowerDesigner,SAP,SMBs and enterprises,Proprietary," Access, Greenplum, Ingres, Interbase, Oracle, SAP business Suite, SAP Hana, SAP Adaptive Server Enterprise, SAP SQL Anywhere, MS SQL Server, Teradata ",Windows,Standalone,1989
Software Ideas Modeler,Dusan Rodina," Enterprises, SMBs, personal",Proprietary," MS SQL Server, MySQL",Windows,Standalone,2009
SQLyog," Webyog, Inc."," Enterprises, SMBs, personal",Proprietary," MySQL, MariaDB",Windows and Linux (using Wine),Standalone,2001
Toad Data Modeler,Quest Software,SMBs and enterprises,Proprietary," Access, Oracle",Windows,Standalone,2005 (before this date known as CaseStudio)
Tool,Creator,Target Business Size,License,Supported Database Platforms,Supported OSs,Standalone or bundled into a larger toolkit,Launch Date
