Name,Developer,First released,Licensing,Maintained?
Aloaha Crypt Disk,Aloaha,2008,Open sourcedate=September 2016,yes
ArchiCrypt Live,Softwaredevelopment Remus ArchiCrypt,1998,Proprietary,yes
BestCrypt,Jetico,1993,Proprietary,yes
BitArmor DataControl,BitArmor Systems Inc.,2008-05,Proprietary,yes
BitLocker,Microsoft,2006,Proprietary,yes
Bloombase Keyparc,Bloombase,2007,Proprietary,no
Boxcryptor,Secomba GmbH,2011,Proprietary,yes
CGD,Roland C. Dowdeswell,2002-10-04,BSD,yes
CenterTools DriveLock,CenterTools,2008,Proprietary,yes
Check Point Full Disk Encryption,Check Point Software Technologies Ltd,1999,Proprietary,yes
CipherShed,CipherShed Project,2014,TrueCrypt License Version 3.0,no
CrossCrypt,Steven Scherrer,2004-02-10,GPL,no
CryFS,Sebastian Messmer,2015,LGPLv3,yes
Cryhod,PrimX Technologies,2010,Proprietary,yes
Cryptainer,Cypherix Software,1999,Proprietary,yes
Cryptic Disk,Exlade,2003,Proprietary,yes
CryptArchiver,WinEncrypt,dunno,Proprietary,yes
Cryptoloop,dunno,2003-07-02,GPL,no
[http://www.Cryptomator.org Cryptomator],Skymatic UG (haftungsbeschränkt),2016-03-09,GPLv3,yes
CryptoPro Secure Disk Enterprise,cpsd it-services GmbH,2010,Proprietary,yes
CryptoPro Secure Disk for BitLocker,cpsd it-services GmbH,2012,Proprietary,yes
CryptSync,Stefan Küng,2012,Gpl v2,yes
Discryptor,Cosect Ltd.,2008,Proprietary,no
DiskCryptor,ntldr,2007,GPL,yes
DISK Protect,Becrypt Ltd,2001,Proprietary,yes
Cryptsetup / Dmsetup,Christophe Saout,2004-03-11,GPL,yes
Dm-crypt / LUKS,Clemens Fruhwirth (LUKS),2005-02-05,GPL,yes
[http://www.securstar.biz/ DriveCrypt],SecurStar GmbH,2001,Proprietary,yes
DriveSentry GoAnywhere 2,DriveSentry,2008,Proprietary,No
E4M,Paul Le Roux,1998-12-18,Open source,no
e-Capsule Private Safe,EISST Ltd.,2005,Proprietary,yes
eCryptfs," Dustin Kirkland, Tyler Hicks, (formerly Mike Halcrow)",2005,GPL,yes
EgoSecure HDD Encryption,EgoSecure GmbH,2006,Proprietary,yes
EncFS,Valient Gough,2003,LGPLv3,yes
EncryptStick,ENC Security Systems,2009,Proprietary,yes
EncryptUSB,ClevX,2016,Proprietary,yes
FileVault,Apple Inc.,2003-10-24,Proprietary,yes
FileVault 2,Apple Inc.,2011-07-20,Proprietary,yes
FREE CompuSec,CE-Infosys,2002,Proprietary,yes
FreeOTFE,Sarah Dean,2004-10-10,Open source,no
GBDE,Poul-Henning Kamp,2002-10-19,BSD,no
GELI,Pawel Jakub Dawidek,2005-04-11,BSD,yes
GnuPG,Werner Koch,1999-09-07,GPL,yes
gocryptfs,Jakob Unterwurzacher,2015-10-07,MIT / X Consortium License,yes
Knox,AgileBits,2010,Proprietary,yes
KryptOS,The MorphOS Development Team,2010,Proprietary,yes
LibreCrypt,tdk,2014-06-19,Open source,no
Loop-AES,Jari Ruusu,2001-04-11,GPL,yes
McAfee Drive Encryption (SafeBoot)," McAfee, LLC",2007,Proprietary,yes
n-Crypt Pro,n-Trance Security Ltd,2005,Proprietary,yes
[https://netlibsecurity.com/ NetLib Encryptionizer (directory encryption)],NetLib Security,1987,Proprietary,yes
[https://www.nodrive.cloud/ Nodrive (Virtual Encrypted Disk)],Hidden Solutions,2018,Proprietary,yes
PGPDisk,PGP Corporation (acquired by Symantec in 2010),1998-09-01,Proprietary,yes
Private Disk,Dekart,1993,Proprietary,yes
ProxyCrypt,v77,2013,Open source,yes
R-Crypto,R-Tools Technology Inc,2008,Proprietary,yes
SafeGuard Easy,Sophos (Utimaco),1993,Proprietary,yes
SafeGuard Enterprise,Sophos (Utimaco),2007,Proprietary,yes
SafeGuard PrivateDisk,Sophos (Utimaco),2000,Proprietary,yes
SafeHouse Professional," PC Dynamics, Inc.",1992,Proprietary,yes
Scramdisk,Shaun Hollingworth,1997-07-01,Open source,no
Scramdisk 4 Linux,Hans-Ulrich Juettner,2005-08-06,GPL,no
SecuBox,Aiko Solutions,2007-02-19,Proprietary,yes
SECUDE Secure Notebook,SECUDE,2003,Proprietary,yes
SecureDoc,[https://www.winmagic.com WinMagic Inc.],1997,Proprietary,yes
Seqrite Encryption Manager,Quick Heal Technologies Ltd.,2017,Proprietary,yes
Sentry 2020,SoftWinter,1998,Proprietary,no
Softraid / RAID C,OpenBSD,2007-11-01,BSD,yes
SpyProof!,Information Security Corp.,2002,Proprietary,yes
Svnd / Vnconfig,OpenBSD,2000-12-01,BSD,yes
Symantec Endpoint Encryption,Symantec Corporation,2008,Proprietary,yes
Tcplay,Alex Hornung,2012-01-28,BSD,yes
Trend Micro Endpoint Encryption (Mobile Armor),Trend Micro,2004 or earlier,Proprietary,yes
TrueCrypt,TrueCrypt Foundation,2004-02-02,TrueCrypt License 3.1,no
USBCrypt,WinAbility Software Corp.,2010,Proprietary,yes
VeraCrypt,IDRIX,2013-06-22,Apache License 2.0 TrueCrypt License Version 3.0 (legacy code only),yes
CyberSafe Top Secret,CyberSoft,2013,Proprietary,yes
Name,Developer,First released,Licensing,Maintained?
