Reader,Plain text,PDF,ePub,HTML,Mobi- Pocket,Fiction- Book (fb2),DjVu,Broadband eBook (BBeB),eReader,Comic Book,OpenXPS
Amazon Kindle 1,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,dunno,dunno
" Amazon Kindle 2, DX",yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,dunno,dunno
Amazon Kindle 3,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,dunno,dunno
Amazon Kindle Fire,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,dunno,dunno
Android Devices,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,dunno,yes
Apple iOS Devices,yes,yes,yes,yes,yes,dunno
Azbooka WISEreader,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,dunno,dunno
Barnes  ; Noble Nook,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,dunno,dunno
Barnes  ; Noble Nook Color,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,dunno,dunno
" Bookeen Cybook Gen3, Opus",yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,dunno,dunno
COOL-ER Classic,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,dunno,dunno
Linux Operating System,yes,yes,yes,yes,yes,yes,yes,yes,?,?,?,?,?,yes,yes
Foxit eSlick,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,dunno,dunno
Hanlin e-Reader V3,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,dunno,dunno
Hanvon WISEreader,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,dunno,dunno
iRex iLiad,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,dunno,dunno
Iriver Story,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,dunno,dunno
Kobo eReader,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,dunno
Nokia N900,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,dunno
NUUTbook 2,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,dunno,dunno
" OLPC XO, Sugar",yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,dunno,dunno
Onyx Boox 60,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,dunno,dunno
Mac OS X,yes,yes,yes,yes,yes,yes,yes,dunno,yes,yes,dunno,dunno,yes,dunno,dunno
TrekStor eBook Reader Pyrus,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,dunno,dunno,dunno
Windows,yes,yes,yes,yes,yes,yes,yes,dunno,yes,yes,dunno,dunno,yes,yes,yes
" Pocketbook 301 Plus, 302, 360°",yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,dunno,dunno
Pocketbook Aqua,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,dunno,dunno
Sony Reader,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,dunno,dunno
Viewsonic VEB612,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,dunno,dunno
Windows Phone 7,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,dunno,dunno
