Client,,Website,Initial Release,Current Stable Version,| Mod Based On
eDonkey2000,,None,mf=yes20000906,1.4.6 (mf=yes2006),-
aMule,,[http://www.amule.org/],200309,Latest stable software release/aMule,-
eMule,Official,[http://www.emule-project.net/],20020513,Latest stable software release/eMule,-
,Osp,[http://sourceforge.net/projects/emuleosp/],20120129,0.23 (mf=yes20120402),Official 0.50a
,AnalyZZUL,[http://forum.emule-project.net/index.php?showtopic=136120],20080513,3.0 (mf=yes20090224),eMule 0.49c ZZUL
,beba,[http://beba.emulefuture.de/],20050603,2.72 (mf=yes20130708),Official 0.50a
,DreaMule,[http://www.dreamule.org/],mf=yes2005,v3.2 (mf=yes20080721),-
,Magic Angel,[http://sourceforge.net/projects/magicangel/],20060221,4.0 (mf=yes20110213),eMule 0.50a MorphXT 12.6
,Mephisto,[http://mephisto.emule-web.de/],mf=yes20071018,3.0 (mf=yes20110410),eMule 0.50a ScarAngel 4.0
,MorphXT,[http://emulemorph.sourceforge.net/],mf=yes20030123,Latest stable software release/eMule MorphXT Mod,Official 0.50a
,NeoMule,[https://web.archive.org/web/20101203044044/http://www.eselfarm.info/efarm/board.php?boardid=277],mf=yes20040222,Latest stable software release/eMule NeoMule Mod,Official 0.49b
,ScarAngel,[http://scarangel.sourceforge.net/],mf=yes20050402,4.2 (mf=yes20110622),eMule 0.50a Xtreme 8.1
,SharkX,[http://www.emule-mods.de/?mods=SharkX],dunno,LSR,article = eMule SharkX Mod,latest release version = 2.0,latest release date = 20110218,eMule 0.49c AcKroNiC 5.4
,Sivka,[http://sivka.emule-web.de/],dunno,LSR,article = eMule Sivka Mod,latest release version = 19b1,latest release date = 20090122,Official 0.49b
,Spike2,[http://www.emule-mods.de/?mods=spike],dunno,LSR,article = eMule Spike2 Mod,latest release version = 1.2,latest release date = 20070919,Official 0.48a
,StulleMule,[http://stulle.emule-web.de/],mf=yes20050422,7.0 (mf=yes20101225),eMule 0.50a MorphXT 12.6
,Xtreme,[http://www.xtreme-mod.net/],mf=yes2004,Latest stable software release/eMule Xtreme Mod,Official 0.50a
,X-Ray,[http://sourceforge.net/projects/x-ray-mule],mf=yes20061223,1.7 (mf=yes20090718),Official 0.49c
,ZZUL,[http://forum.emule-project.net/index.php?showforum=75],dunno,20090222-2320 (mf=yes20090222),Official 0.49c
,ZZUL BastarD,[http://forum.emule-project.net/index.php?showtopic=65063],mf=yes20041128,1.9.10 (mf=yes20091109),eMule 0.49c ZZUL
eMule Plus,,[https://web.archive.org/web/20061004200701/http://www.emuleplus.info/],mf=yes200210,Latest stable software release/eMule Plus,Old official eMule + own code
iMule,,www.imule.i2p,mf=yes2003,Latest stable software release/iMule,[[aMule]]
JMule,,[http://www.jmule.org/],mf=yes20020921,Latest stable software release/JMule,-
Jubster,,None,dunno,Latest stable software release/Jubster,-
LMule,,[http://lmule.sourceforge.net/],mf=yes200301,Latest stable software release/lMule,-
Lphant,,None,mf=yes2006,Latest stable software release/Lphant,-
MLDonkey,,[http://mldonkey.sourceforge.net/],mf=yes20030123,Latest stable software release/MLDonkey,-
Morpheus,,None,mf=yes2001,Latest stable software release/Morpheus,-
Shareaza,,[http://shareaza.sourceforge.net/],mf=yes2002,Latest stable software release/Shareaza,-
xMule,,[http://www.xmule.ws/],mf=yes200306,Latest stable software release/xMule,-
Client,,Website,Initial Release,Current Stable Version,| Mod Based On
