" scope=""col""  Format name"," scope=""col""  Operating system"," scope=""col""  Filename extension"," scope=""col""  Explicit processor declarations"," scope=""col""  Arbitrary sections"," scope=""col""  name=metadata"," scope=""col""  Digital signature"," scope=""col""  String table"," scope=""col""  Symbol table"," scope=""col""  64-bit"," scope=""col""  Fat binaries"," scope=""col""  Can contain icon"
" scope=""row""  OS/360"," OS/360 and successors, and VS/9, mainframe operating systems",none,No,No,No,No,No,Yes,Yes,No,No
" scope=""row""  GOFF ",IBM MVS and z/OS mainframe operating systems,none,No,No,Yes,No,Yes,Yes,Yes,No,No
" scope=""row""  a.out",Unix-like,none,No,No,No,No,Yes,Yes,Extension,No,No
" scope=""row""  COFF",Unix-like,none,Yes by file,Yes,No,No,Yes,Yes,Extension,No,No
" scope=""row""  ECOFF"," Ultrix, Tru64 UNIX, IRIX",none,Yes by file,Yes,No,No,Yes,Yes,Yes,No,No
" scope=""row""  XCOFF"," ""classic"" Mac OS",none,Yes by file,Yes,No,No,Yes,Yes,Yes,No,No
" scope=""row""  ELF",Haiku,none,Yes by file,Yes,Yes,Yes,Yes,Yes,Yes,Extension,Extension
" scope=""row""  Mach-O"," NeXTSTEP, macOS, iOS, watchOS, tvOS",none,Yes by section,Some (limited to max. 256 sections),Yes,Yes,Yes,Yes,Yes,Yes,No
" scope=""row""  SOM"," HP-UX, MPE/ix",dunno,unk,unk,No,No,unk,Yes,No,unk,No
" scope=""row""  Amiga Hunk",AmigaOS,none,No,Yes,Yes,No,No,Yes,No,Yes,No
" scope=""row""  PEF"," ""classic"" Mac OS, BeOS (PPC only)",none,Yes by file,No,No,No,Yes,Yes,No,No,No
" scope=""row""  CMD"," System Manager, REAL/32, DOS Plus",.CMD,No (x86 only),Yes,No,No,Extension,Extension,No,No,No
" scope=""row""  FlexOS 186"," FlexOS 186, FlexOS 286, S5-DOS/ST, S5-DOS/MT, 4680 OS, FlexOS 386, 4690 OS",.186,No (186/188 and higher only),Yes,No,No,Extension,Extension,No,No,No
" scope=""row""  FlexOS 286"," FlexOS 286, S5-DOS/ST, S5-DOS/MT, 4680 OS, FlexOS 386, 4690 OS",.286,No (286 and higher only),Yes,No,No,Extension,Extension,No,No,No
" scope=""row""  CP/M-68K"," CP/M-68K, Concurrent DOS 68K, FlexOS 68K",.68K,No (68000 and higher only),Yes,No,No,unk,unk,No,No,No
" scope=""row""  COM (CP/M)"," CP/M, MP/M, Concurrent CP/M, Personal CP/M",.COM,No (8080/Z80 only),Extension (BDOS 3 and higher only),No,No,No,No,No,Extension,No
" scope=""row""  COM (DOS)"," BDOS 3.1 only), System Manager, REAL/32, DOS Plus",.COM,No (x86 only),No,Extension (Novell/Caldera VERSION etc.),No,No,No,Extension,Extension,No
" scope=""row""  MZ (DOS)"," System Manager, REAL/32, DOS Plus",.EXE,No (x86 only),Yes,Extension(Novell/Caldera VERSION etc.),No,Extension,Extension,Extension,No,No
" scope=""row""  MZ (GEM)"," GEM, ViewMAX",.APP/.ACC,No (x86 only),Yes,No,No,unk,unk,No,No,unk
" scope=""row""  NE"," MS-DOS 4.0 (multitasking), OS/2, Windows, HX DOS Extender",.EXE,unk,unk,unk,No,unk,unk,No,No,Yes
" scope=""row""  LE, (W3, W4)"," OS/2 (2.0 and higher only), some DOS extenders",.EXE,Yes by file (286 and higher only),Yes,Yes,No,Yes,Yes,No,No,Yes
" scope=""row""  LX"," OS/2 (2.0 and higher only), some 32-bit DOS extenders",.EXE,Yes by file,Yes,Yes,No,Yes,Yes,No,No,Yes
" scope=""row""  PE"," Windows, ReactOS, HX DOS Extender, BeOS (R3 only)",.EXE,Yes by file,Yes,Yes,Yes,Yes,Yes,No,No,Yes
" scope=""row""  PE32+",Windows (64-bit editions only),.EXE,Yes by file,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
" scope=""row""  PIM/XIP",PalmDOS (MINIMAX applications only),.PIM/.XIP,No (x86 only),Yes,No,No,No,No,No,No,No
" scope=""row"" id=.exm  DL",System Manager applications (HP LX series only),.EXM,No (186/188 and higher only),Yes,No,No,No,No,No,No,No
" scope=""row"" id=.exp  MP",Phar Lap DOS extenders,.EXP,unk (286 and higher only),Yes,No,No,unk,unk,No,No,No
" scope=""row""  P2",Phar Lap 16-bit DOS extenders,.EXP,unk (286 and higher only),Yes,No,No,unk,unk,No,No,No
" scope=""row""  P3",Phar Lap 32-bit DOS extenders,.EXP,unk (386 and higher only),Yes,No,No,unk,unk,No,No,No
" scope=""row""  GEOS"," PC/GEOS, Geoworks Ensemble, NewDeal Office, Breadbox Ensemble",.GEO,unk (x86 only),unk,unk,No,unk,unk,No,No,unk
