File system,Maximum filename length," Allowable characters in directory entriesname=note-25 These are the restrictions imposed by the on-disk directory entry structures themselves. Particular Windows, and  + , . ; = [ ], control codes 0x00-0x1F, 0x7F and in some cases also 0xE5 are not allowed.) In LFNs, any  and NUL are allowed in file and directory names across all filesystems. Unix-like systems disallow the characters / and NUL in file and directory names across all filesystems.",Maximum pathname length,Maximum file size," Maximum volume sizename=note-4 For filesystems that have variable allocation unit (block/cluster) sizes, a range of size are given, indicating the maximum volume sizes for the minimum and the maximum possible allocation unit sizes of the filesystem (e.g. 512 bytes and 128 KiB for FAT — which is the cluster size range allowed by the on-disk data structures, although some KiB).",Max number of files
BeeGFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,16 EiB,16 EiB,dunno
CP/M file system,8.3," ASCII except for  ;lt;  ;gt; . , ; : = ? * [ ]",No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2),"  data-sort-value=""0""  32 MiB","  data-sort-value=""0""  512 MiB",dunno
IBM SFS,8.8,dunno,dunno,"  data-sort-value=""0""  Non-hierarchical","  data-sort-value=""0"" dunno",dunno
DECtape,6.3," A–Z, 0–9",DTxN:FILNAM.EXT = 15,"  data-sort-value=""369280""  369,280 bytes (577 * 640)","  data-sort-value=""369280""  369,920 bytes (578 * 640)",dunno
Elektronika BK tape format,16 bytes,dunno,No directory hierarchy,"  data-sort-value=""65536""  64 KiB","  data-sort-value=""800000""  Not limited. Approx. 800KB (one side) for 90 min cassette",dunno
MicroDOS file system,14 bytes,dunno,dunno,"  data-sort-value=""16777216""  16 MiB","  data-sort-value=""33554432""  32 MiB",dunno
Level-D,6.3," A–Z, 0–9"," DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67","  data-sort-value=""206158430208""  34,359,738,368 words (2**35-1); 206,158,430,208 SIXBIT bytes","  data-sort-value=""11392000000""  Approx 12 GB (64 * 178 MB)",dunno
RT-11,6.3," A–Z, 0–9, $",0 (no directory hierarchy),"  data-sort-value=""33554432""  33,554,432 bytes (65536 * 512)","  data-sort-value=""33554432""  33,554,432 bytes",dunno
Version 6 Unix file system (V6FS),14 bytes," Any byte except NUL and /name=note-26 In these filesystems the directory entries named ""."" and "".."" have special status. Directory entries with these names are not prohibited, and indeed exist as normal directory entries in the on-disk data structures. However, they are mandatory directory entries, with mandatory values, that are automatically created in each directory when it is created; and directories without them are considered corrupt."," No limit definedname=note-12 The on-disk structures have no inherent limit. Particular 6.0) or full pathnames longer than 66 bytes for FAT, or 255 characters for LFNs. Windows NT does not support full pathnames longer than 32,767 bytes for NTFS. Older POSIX APIs which rely on the PATH_MAX constant have a limit of 4,096 bytes on Linux but this can be worked around. Linux itself has no hard path length limits. ","  data-sort-value=""16777216""  16 MiBname=note-57 The file size in the inode is 1 8-bit byte followed by 1 16-bit word, for 24 bits. The actual maximum was 8,847,360 bytes, with 7 singly-indirect blocks and 1 doubly-indirect block; PWB/UNIX 1.0s variant had 8 singly-indirect blocks, making the maximum 524,288 bytes or half a MiB.","  data-sort-value=""33554432""  32 MiB",dunno
