Software,Compare multiple files,Hash single file,Hash several files,Hash directories  ; sub-directories,exclude filter,Binary output,Bubble Babble output,Base64 output,Hexadecimal output
7-Zip,no,yes,yes,yes,no,dunno,dunno,dunno,dunno
AccuHash,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
BeaverSFV,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://www.kvipu.com/CDCheck/ CDCheck],yes,yes,dunno,yes,dunno,dunno,dunno,dunno,yes
cfv,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://checksumcompare.sanktuaire.com/ Checksum Compare],yes,yes,yes,yes,dunno,no,no,no,yes
[http://www.acera.no/products/checksums Checksums],no,yes,no,no,no,no,no,no,yes
[http://compressme.net/ CHK],yes,yes,yes,yes,dunno,no,no,yes,yes
cksum,dunno,yes,yes,no,dunno,no,no,no,no
[https://github.com/calzakk/CyoHash CyoHash],no,yes,yes,yes,no,no,no,no,yes
[http://www.leisenfels.com/en/products/digester Data Digester],yes,yes,yes,yes,dunno,yes,no,yes,yes
[http://sourceforge.net/projects/deepdigest/ DeepDigest],yes,yes,yes,yes,yes,no,no,no,yes
DySFV,yes,yes,dunno,yes,dunno,no,no,no,no
[http://www.exactfile.com ExactFile],yes,yes,yes,yes,dunno,no,no,no,no
eXpress CheckSum Calculator,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
FastSum,yes,yes,yes,yes,dunno,no,no,no,yes
[http://support.microsoft.com/kb/841290 FCIV],yes,yes,yes,yes,dunno,no,no,yes,yes
[http://www.febooti.com/products/filetweak/members/hash-and-crc/ Febooti Hash  ; CRC],dunno,yes,yes,dunno,dunno,dunno,dunno,no,yes
FileVerifier++,yes,yes,yes,yes,dunno,no,no,yes,yes
FlashSFV,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://www.slavasoft.com/fsum FSUM],dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://fsumfe.sourceforge.net FSUM Frontend],yes,yes,yes,yes,dunno,no,yes,yes,yes
PowerShells[https://docs.microsoft.com/en-us/powershell/module/Microsoft.PowerShell.Utility/Get-FileHash?view=powershell-6 Get-FileHash],dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno,yes
[http://www.slavasoft.com/hashcalc Hashcalc],dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://code.kliu.org/hashcheck HashCheck Shell Extension],dunno,yes,yes,yes,dunno,dunno,dunno,dunno,dunno
[http://www2.arnes.si/~ljc3m2/igor/software/IGLibShellApp/HashForm.html#hashshell HashForm],dunno,yes,yes,yes,dunno,no,no,no,yes
[http://www2.arnes.si/~ljc3m2/igor/software/IGLibShellApp/HashForm.html#hashshell HashShell],yes,yes,yes,yes,dunno,no,no,no,yes
[https://www.cdtag.com/ilsfv ilSFV],yes,yes,dunno,yes,dunno,no,no,no,no
[http://www.jonelo.de/java/jacksum/ Jacksum],dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://code.google.com/p/jdigest/ jdigest],dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://jhashcalc.sourceforge.net jHashCalc],dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://www.digital-tronic.com/md5-file-hasher MD5 File Hasher],yes,yes,yes,yes,dunno,no,no,no,yes
[http://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/ MD5  ; SHA Checksum Utility],no,yes,yes,yes,dunno,no,no,no,no
md5deep,yes,yes,dunno,yes,dunno,no,no,no,yes
md5sum,yes,yes,yes,no,dunno,no,no,no,yes
[http://www.md5summer.org/ MD5summer],yes,yes,dunno,yes,dunno,dunno,dunno,dunno,yes
,[http://apps.microsoft.com/windows/en-us/app/md5-win-verifier/0c116c08-0bd6-42c4-80e3-476a7df6d934 MD5 Win Verifier],yes,yes,no,no,dunno,no,no,no,dunno
[http://www.quicksfv.org QuickSFV],dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
PeaZip,yes,yes,yes,yes,no,no,no,yes,yes
[http://rapidcrc.sourceforge.net RapidCRC],yes,yes,dunno,yes,dunno,no,no,no,yes
[http://www.kifoth.de/jane/misc/#RekSFV RekSFV],yes,yes,yes,yes,dunno,no,no,no,yes
[http://rhash.sourceforge.net RHash],dunno,yes,yes,no,dunno,no,no,no,no
[http://mindbytez.com/ SafeFileManager],yes,yes,yes,yes,dunno,dunno,dunno,dunno,dunno
[https://technet.microsoft.com/en-us/sysinternals/bb897441.aspx Sigcheck],yes,yes,yes,yes,no,no,no,no,yes
[http://www.traction-software.co.uk/sfvchecker/ SFV Checker],dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
sha1sum,yes,yes,yes,no,dunno,no,no,no,yes
sha3sum,yes,yes,yes,no,dunno,no,no,no,yes
SuperSFV,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
TeraCopy,yes,yes,yes,yes,no,no,no,no,yes
[http://www.mannerud.org/software/toms-hash-explorer/ Toms Hash Explorer],yes,yes,yes,yes,yes,no,no,no,yes
[http://www.toolsley.com/hash.html Toolsley Hash  ; Validate],dunno,yes,dunno,no,dunno,no,no,no,yes
Total Commander,dunno,yes,yes,yes,dunno,dunno,dunno,dunno,dunno
WinHasher,yes,yes,dunno,no,dunno,no,yes,yes,yes
wxChecksums,yes,yes,dunno,yes,yes,no,no,no,yes
Software,Compare multiple files,Hash single file,Hash several files,Hash directories  ; sub-directories,exclude filter,Binary output,Bubble Babble output,Base64 output,Hexadecimal output
