Firewall,License,Cost,OS
Clavister,Proprietary,Included on all ClavisterNGFWs,Proprietary operating system cOS Core
Check Point,Proprietary,Included on Check Pointsecurity gateways,Proprietary operating system Check Point IPSOand Gaia (Linux-based)
FortiGate,Proprietary,Included on all Fortigatedevices," Proprietary, FortiOS, Based on the Linux kernel"
Palo Alto Networks,Proprietary,Included on Palo AltoNetworks firewalls,Linux
Sophos,Proprietary,Included on Sophos UTM,Linux-based appliance
Cisco ASA Firepower,Proprietary,Included on all CISCOASA devices,Proprietary operating system
Cisco PIX,Proprietary,Included on all CISCOPIX devices,Proprietary operating system
Juniper SSG,Proprietary,Included on Netscreensecurity gateways,Proprietary operating system ScreenOS
Juniper SRX,Proprietary,Included on SRXsecurity gateways,Proprietary operating system Junos
Sonicwall,Proprietary,Included on Dell appliance,Proprietary operating system SonicOS Based on the Linux kernel
Barracuda Firewall,Proprietary,Included Firewall Next Generation appliance,Windows-based applianceembedded firewall distribution
Cyberoam,Proprietary,Included Firewall Sophos appliance,Windows-based applianceembedded firewall distribution
D-Link,Proprietary,Included Firewall DFL,Windows-based applianceembedded firewall distribution
Endian Firewall,Proprietary,Free / Paid,Linux-based appliance
Forcepoint NGFW,Proprietary,Included on all Forcepoint NGFW devices,Proprietary operating system
OPNsense,Simplified BSD / FreeBSD License,Free / Paid,FreeBSD-based appliancefirewall distribution
pfSense,ESF/Apache 2.0,Free / Paid,FreeBSD-based appliancefirewall distribution
Zeroshell,GPL,Free / Paid,Linux/NanoBSD-based appliancefirewall distribution
SmoothWall,GPL,Free / Paid,Linux-based applianceembedded firewall distribution
IPFire,GPL,Free (Donations welcomed),Linux-based applianceembedded firewall distribution
WatchGuard,Proprietary,Included on all Firebox devices,"Proprietary, Fireware OS, Based on the Linux kernel"
WinGate,Proprietary,Free / Paid,Windows-based applianceembedded firewall distribution
