Name,Individual view,Family view,Pedigree view,Chronology view,Ancestor charts,Ancestor narrative reports,Ancestor pedigree reports,Descendant charts,Descendant narrative reports,Fan charts,Research Manager,DNA charts,Research Guidance,Mapping
Agelong Tree,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no
Ahnenblatt,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes
Ancestral Quest,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
[https://www.ancestris.org Ancestris],yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Brothers Keeper,yes,yes,yes,dunno,yes,yes,yes,yes,yes,yes,dunno,dunno,no,dunno
"  group=gen_featFamily Historian users can also optionally install free plugins (access to the Family Historian plugin store is integrated into the program). Scripting tools are included for automation of repetitive tasks, and much more.",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes
Family Tree Builder,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Family Tree Maker,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,yes,yes
GEDitCOM II,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes
Genbox Family History,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
GenealogyJ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes
GenoPro,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,dunno,no,yes
Gramps,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
Heredis,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
group=gen_featLegacy Family Tree can also save DNA Test Results and Print the values. Mapping is included to automatically pinpoint and plot important locations in ancestors lives.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
LifeLines,yes,yes,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,no,dunno
MacFamilyTree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Personal Ancestral File,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,dunno,no,dunno
Reunion,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes
RootsMagic,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
The Master Genealogist,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,dunno,no,dunno
webtrees,yes,yes,yes,yes,yes,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno
