Name,English,Afrikaans,Danish,Dutch,French,German,Italian,Norwegian,Polish,Portuguese,Russian,Spanish,Swedish
Agelong Treea3aa,Yes,b3bb,b3bb,Yes,Yes,Yes,Yes,b3bb,Yes,dunno,Yes,Yes,b3bb
c2cc,Yes,b3bb,Yes,Yes,Yes,Yes,Yes,Yes,Yes,dunno,Yes,Yes,Yes
ddd,Yes,b3bb,Yes,b3bb,Yes,Yes,b3bb,Yes,partial,dunno,No,Yes,partial
[https://www.ancestris.org Ancestris]eee,Yes,b3bb,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,b3bb,Yes,yes
Brothers Keeper,Yes,Yes,Yes,Yes,Yes,Yes,b3bb,Yes,Yes,dunno,Yes,b3bb,Yes
Family Historian,Yes,No,No,No,No,No,No,No,No,dunno,No,No,No
Family Tree Builder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,dunno,Yes,yes,Yes
Family Tree Maker (Windows),Yes,No,Yes,No,No,No,No,No,No,dunno,No,No,No
Family Tree Maker for Mac,Yes,No,No,No,No,No,No,No,No,dunno,No,No,No
GEDitCOM II,Yes,No,No,No,Yes,No,No,No,No,dunno,No,Yes,Yes
fff,Yes,No,Yes,Yes,Yes,Yes,Yes,partial,Yes,dunno,Yes,partial,partial
GenealogyJ,Yes,No,No,Yes,Yes,Yes,No,No,Yes,dunno,Yes,Yes,No
ggghhh,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,dunno,Yes,Yes,Yes
iii,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,dunno,Yes,Yes,Yes
Heredis,yes,no,no,no,yes,yes,no,no,no,dunno,No,no,no
Legacy Family Tree,jjj,yes,yes,yes,yes,yes,yes,kkk,no,dunno,No,publictest,yes
LifeLines,Yes,no,Yes,no,Yes,Yes,no,no,no,dunno,No,no,Yes
MacFamilyTree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,dunno,Yes,Yes,Yes
Personal Ancestral File,(v4.x/5.x),No,No,No,(v4.x),(v4.x/5.x),No,No,No,dunno,No,(v4.x),(v5.x)
Reunionlll,Yes,No,No,lll,lll,lll,No,lll,No,dunno,No,No,No
RootsMagic,Yes,No,No,No,No,No,No,No,No,dunno,No,No,No
The Master Genealogist,nnn,yes,yes,yes,yes,yes,partial,yes,ggg,dunno,No,ggg,yes
webtrees,yes,No,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
