Name,Windows,macOS,Linux,BSD
" scope=""row""  ACDSee",yes,yes,no,no
" scope=""row""  Adobe Bridge",yes,yes,no,no
" scope=""row""  Adobe Photoshop Lightroom",yes,yes,no,no
" scope=""row""  Aperture",no,yes,no,no
" scope=""row""  CDisplay",yes,no,no,no
" scope=""row""  Comix",no,no,yes,no
" scope=""row""  digiKam",partial,yes,yes,yes
" scope=""row""  Eye of GNOME (aka Image Viewer)",no,no,yes,yes
" scope=""row""  FastPictureViewer",yes,no,no,no
" scope=""row""  FastStone Image Viewer",yes,no,no,no
" scope=""row""  F-Spot",no,no,yes,no
" scope=""row""  Geeqie",no,yes,yes,yes
" scope=""row""  Gonvisor",yes,yes,no,no
" scope=""row""  GraphicConverter",no,yes,no,no
" scope=""row""  gThumb",no,no,yes,yes
" scope=""row""  Gwenview",no,no,yes,yes
" scope=""row""  iPhoto",no,yes,no,no
" scope=""row""  IrfanView",yes,no,no,no
" scope=""row""  KSquirrel",no,no,yes,no
" scope=""row""  KPhotoAlbum",no,no,yes,yes
" scope=""row""  Lphoto",no,no,yes,yes
" scope=""row""  Microsoft Photos",yes,no,no,no
" scope=""row""  Phase One Media Pro",yes,yes,no,no
" scope=""row""  Paint.NET",yes,no,no,no
" scope=""row""  Apple Photos",no,yes,no,no
" scope=""row""  Picasa",yes,yes,no,no
" scope=""row""  Preview",no,yes,no,no
" scope=""row""  Shotwell",no,no,yes,yes
" scope=""row""  Simple Comic",no,yes,no,no
" scope=""row""  STDU Viewer",yes,no,no,no
" scope=""row""  Windows Photo Gallery",yes,no,no,no
" scope=""row""  Windows Photo Viewer",yes,no,no,no
" scope=""row""  XnView",yes,no,no,no
" scope=""row""  XnViewMP",yes,yes,yes,no
" scope=""row""  Xv",no,no,yes,yes
" scope=""row""  Zoner Photo Studio",yes,no,no,no
