" width=""10%"" Feature"," width=""10%"" Android"," width=""10%"" iOS"," width=""10%"" Tizen"," width=""10%"" Sailfish OS"," width=""10%"" Ubuntu Touch"
Default web browser/engine,Blink,WebKit,WebKit,Gecko,Qt WebEngine (based on Blink)
Major web browser available," Chrome for Android, Opera, Firefox, Microsoft Edge "," Safari, Chrome for iOS, Opera Touch, Firefox, Microsoft Edge ",Tizen Browser (Based on UC Browser)," Sailfish Browser (Firefox), Webcat (WebKit), Web Pirate (WebKit), others via Android (Firefox, Chrome, Opera)",Morph Browser
Browser extensions,No2 No 3rd party software,8+,No,No,No
Browser direct Internet connection (increased resilience to outages),Yes,Yes,Yes,?,?
Browser undo close tab,Google Chrome for Android,8+,No,No,No
Browser keeps windows open on shutdown or crash,2.3+ Google Chrome but not on the deprecated AOSP browser,Yes,No,Yes,Yes
Browser keeps windows open when cleaning cookies,Yes,3rd party software,?,Yes,Yes
Browser search engine options,Many,"Bing, Google, Yahoo! Search, DuckDuckGo","Bing, Google, Yahoo! Search ","Bing, Google, Yahoo, Yandex. Baidu, DuckDuckGo, StartPage, Searx, ixquick, Swisscows, Qwant, Seznam, Hulbee via openrepos","Baidu, Bing, DuckDuckGo, Ecosia, Google, lilo, Peekier, Qwant, Wikipedia, Yahoo"
Browser find on page,1.5+,Yes,Yes,1.1.2+,Yes
Browser–email save images,Yes,Yes,?,Yes,Yes
Browser–email save PDFs,Yes,Yes,Yes,Yes,Yes
Browser save audio/video,"Yes, but only links, not embedded media",13+;5+: 3rd party software,Yes,Yes,Yes
Browser save page,"Yes, Google Chrome 55+",6+: Offline Reading List; 3rd party software,Yes,?,Yes
Browser save any file,"Yes, Chrome for Android.",13+;);,?,Yes,Yes
Browser force enable zoom,"No, not working anymore on Android 4.4, 3rd party browsers",Yes,?,?,?
Browser text reflow,"No, removed on Android 4.4",5+: Only on pages with reader mode available 3rd party browsers on prior versions,No,No,No
Browser Reader Mode,"No2No, 3rd party software",5+,No
Browser open PDFs without storing,No,Yes,No,No,No
Browser file upload,2.2+,9+;6–8: Limited,Yes,1.0.7+,Yes
Browser form navigation,Next button,"Previous, Next, AutoFill, and Done buttons",?,?,?
Browser private browsing mode,3.0+ with AOSP browser or with Chrome for Android,5+,Yes,1.1.6+,Yes
Offline web apps,Yes,Yes,No,?,Yes
HTTP Live Streaming,3+,3+,No,?,Yes
WebRTC,Yes,11+,No,No,Yes
