width="10%" Feature,width="10%" Android,width="10%" iOS,width="10%" Windows 10 Mobile,width="10%" BlackBerry 10,width="10%" Tizen,width="10%" Sailfish OS,width="10%" Ubuntu Touch
Non-English languages support,Partial,Yes,Yes,Yes,Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining spell checker,2.3+,Yes,Yes,Yes,No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.,5+,Yes,Yes,No,Yes,Yes
Autoexpanding text replacements,Yes,5+,Yes,?,?,?
Keyboard next word prediction,"No2 No, 3rd party software",8+,Yes,Yes,No,Yes,Yes
Keyboard cursor controller,Google Keyboard;;,12+;9-11: Only on devices with 3D Touch;,Yes,No,No,No,Yes
Optical character recognition input method,No,11+: Notes app;8+: Only for inputting credit card details,No,No,No,No,No
Third party input methods,Yes,8+,No,"No2 No, only for Android apps through sideload of Android keyboard ",?,?,?
Gesture text input,4+,13+;8+: 3rd party software like SwiftKey,8.1+,Yes,?,No,No
Emoji support,4.4+,Yes,Yes,10.2+,?,No2 3rd party software,Yes
