Office suite,Windows,Mac OS,GNU/Linux,BSD,Unix,Android,iOS
Ability Office,yes,no,no,no,no,no,no
Apache OpenOffice,yes,yes,yes,yes,yes,no,no
Breadbox Office," DOS, Windows",no,no,no,no,no,no
Calligra Suite,yes,yes,yes,yes,yes,no,no
Feng Office Community Edition,Fully online,Fully online,Fully online,Fully online,Fully online,no,no
Gobe Productive,yes,no,no,no,no,no,no
Google Apps for Work,Fully online,Fully online,Fully online,Fully online,Fully online,Fully online,Fully online
iWork,Fully online (iCloud version),yes,Fully online (iCloud version),Fully online (iCloud version),Fully online (iCloud version),no,yes
LibreOffice,yes,yes,yes,yes,yes,beta,no
Lotus SmartSuite,yes,no,some (with Wine),no,no,no,no
MarinerPak,no,yes,no,no,no,no,Calc only
Microsoft Office,yes," partial (not all features available, e.g. Project, Visio, Access)",Some (with Wine),no,no,yes,yes
Microsoft Works,yes,dropped (4.0; Classic only),some (with Wine),no,no,no,no
MobiSystems OfficeSuite,yes,no,no,no,no,no,no
NeoOffice,no,Mac OS X v10.3 or above,no,no,no,no,no
ONLYOFFICE,yes,yes,yes,Online version,Online version,yes,yes
SoftMaker Office,yes,yes,yes,dropped (2006),no,yes,no
StarOffice,yes,yes (Intel only),yes,yes,yes,no,no
TeXmacs,yes,yes,yes,yes,yes,no,no
TeamLab,Fully online,Fully online,Fully online,Fully online,Fully online,no,no
ThinkFree Office,Fully online,Fully online,Fully online,Fully online,Fully online,no,no
Tiki Wiki CMS Groupware,Fully online,Fully online,Fully online,Fully online,Fully online,no,no
WordPerfect Office,yes,no,some (Ver. 2000),no,no,no,no
WPS Office (Kingsoft Office),yes,yes,yes,no,no,yes,yes
Zoho Office Suite,Fully online,Fully online,Fully online,Fully online,Fully online,no,no
Office suite,Windows,Mac OS,GNU/Linux,BSD,Unix,Android,iOS
