,Word processing Software,Spreadsheet Software,Presentation Software,Notetaking software,Diagramming software,Raster graphics editor,Vector graphics editor,Image viewer,Formula editor,Database management software,Project management software,Desktop publishing software,Communication,Calendaring software,File hosting service
Ability Office,Ability Write,Ability Spreadsheet,Ability Presentation,no,Ability Draw,Ability Photopaint,Ability Draw,Ability Photoalbum,no,Ability Database,no,no,no,no,no
Apache OpenOffice,OpenOffice Writer,OpenOffice Calc,OpenOffice Impress,no,OpenOffice Draw,no,OpenOffice Draw,no,OpenOffice Math,OpenOffice Base,Import/Export capabilities with ProjectLibre and others,OpenOffice Draw,no,no,no
Breadbox Office,Writer,Spreadsheet,no,no,no,Artist,Artist,no,no,Geofile,no,no,no,no,no
Calligra Suite,Calligra Words,Calligra Sheets,Calligra Stage,Braindump,Calligra Flow,Krita,Karbon,yes2Gwenview / Digikam,KFormula,Kexi,Calligra Plan,Calligra Words,no,no,no
Feng Office Community Edition,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no
GobeProductive,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no
G Suite,Google Docs,Google Sheets,Google Slides,Google Keep,Google Drawings,Google Drawings,Google Drawings,Google Photos,no,Google Fusion Tables,no,no,Hangouts Chat/Meet,Google Calendar,Google Drive
iWork,Pages,Numbers,Keynote,Notes,no,no,no,no,yes,no,no,Pages,no,no,iCloud
LibreOffice,LibreOffice Writer,LibreOffice Calc,LibreOffice Impress,no,LibreOffice Draw,LibreOffice Draw,LibreOffice Draw,LibreOffice Draw,LibreOffice Draw,no,no,no
Lotus SmartSuite,Lotus Word Pro,Lotus 1-2-3,Lotus Freelance Graphics,no,Lotus Freelance Graphics,no,no,no,built in,Lotus Approach,Lotus Organizer,no,no,no,no
MarinerPak,Mariner Write,Mariner Calc,no,no,no,no,no,no,no,no,no,no,no,no,no
Microsoft Office,Microsoft Word,Microsoft Excel,Microsoft PowerPoint,Microsoft OneNote,Microsoft Visio(Viewer; Separate product purchase required),no,Microsoft Visio(Viewer; Separate product purchase required),Microsoft Office Picture Manager(Discontinued as of 2011;Word and PowerPoint have some functionality),Equation Editor,Microsoft Access (Professional and Professional Plus),Microsoft Project (Separate product purchase required)," Microsoft Publisher (Standard, Professional and Professional Plus)",Microsoft Teams,Microsoft Outlook,OneDrive
Microsoft Works (Discontinued in 2009),Microsoft Works Word Processor,Microsoft Works Spreadsheet,Microsoft Office PowerPoint(Viewer),no,no,no,no,no,no,Microsoft Works Database,no,no,no,no,no
MobiSystems OfficeSuite,Word Module,Spreadsheet Module,Presentation Module,no,no,no,no,no,no,no,no,no,no,no,no
NeoOffice,NeoOffice Writer,NeoOffice Calc,NeoOffice Impress,no,NeoOffice Draw,no,NeoOffice Draw,no,NeoOffice Math,NeoOffice Base,no,NeoOffice Draw,no,no,no
SoftMaker Office,Textmaker,PlanMaker,Presentations,no,no,no,no,no,yes,DataMaker(Discontinued as of 1999),no,yes,no,no,no
StarOffice,StarWriter,StarCalc,StarImpress,no,StarDraw,no,StarDraw,no,StarMath,StarBase,no,StarDraw,no,no,no
TeamLab,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no
TeXmacs,yes,yes,yes,no,no,no,yes,no,High quality maths typesetting,no,no,under development,no,no,no
ThinkFree Office,Write,Calc,Show,no,no,no,no,no,no,no,no,no,no,no,no
Tiki Wiki CMS Groupware,Tiki Wiki,Tiki Spreadsheet,Tiki Slideshow with S5 format,Tiki Notepad,Tiki Draw via SVG-edit,Tiki Draw via SVG-edit,Tiki Draw via SVG-edit,Tiki File Gallery,no,Tiki Trackers," Tiki Trackers, Tiki Wiki and Tiki Task",no,no,no,no
WordPerfect Office,WordPerfect,Quattro Pro,Corel Presentations,WordPerfect Lightning,Corel Presentations,Corel Paint Shop Pro,Corel Draw,no,Equation Editor,Paradox(in Professional version only),yes,yes,no,no,no
WPS Office (Kingsoft Office),WPS Writer Support More than 200 Language Typesetting,WPS Spreadsheets Support More than 200 Functions,WPS Presentation,no,no,no,no,no,Equation Editor (Currently unavailable for Linux),no,no,no,no,no,no
Zoho Office Suite,Zoho Writer,Zoho Sheet,Zoho Show,Zoho Notebook,no,no,no,no,no,Zoho Reports,Zoho Projects,no,no,no,no
,Word processing Software,Spreadsheet Software,Presentation Software,Notetaking software,Diagramming software,Raster graphics editor,Vector graphics editor,Image viewer,Formula editor,Database management software,Project management software,Desktop publishing software,Communication,Calendaring software,File hosting service
