Name," i386, IA-32",x86 SMP,Xen,IA-64,x86-64,PowerPC,PowerPC SMP,SPARC32,SPARC SMP,Alpha,MIPS,ARM,XScale,M68k,PA-RISC,OpenRISC,others,hosted mode
Linux,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes," Cell, h8, s390, SuperH"," UML, coLinux, MkLinux, [https://web.archive.org/web/20110223110627/http://ertos.nicta.com.au/software/virtualisation/lol.pml Itanium Linux-on-Linux], [https://web.archive.org/web/20060426171410/http://www.ertos.nicta.com.au/software/kenge/wombat/latest/ wombat]"
FreeBSD,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,PC98,
OpenBSD,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,SuperH ],
NetBSD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes," ns32k, M68010, mipseb, sparc64",
DragonFly BSD,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,[https://lwn.net/Articles/228404/ vkernel]
OpenSolaris illumos,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,
" Darwin, OpenDarwin",yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,,[https://web.archive.org/web/20131219064814/http://www.ertos.nicta.com.au/software/darbat/ L4/Darwin]
MINIX,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,,
FreeDOS,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Genode,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,RISC-V,Linux
Haiku,yes,yes,no,no,yes,no,no,no,no,no,no,group=Noteb1,no,no,no,no,,
KolibriOS,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
MenuetOS,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,
GNU,yes,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4,group=Noteb4," Cell, h8, s390, group=Noteb4"," UML, [https://web.archive.org/web/20110223110627/http://ertos.nicta.com.au/software/virtualisation/lol.pml Itanium Linux-on-Linux]group=Noteb5"
ReactOS,yes,yes,group=Noteb1,no,yes,group=Noteb1,group=Noteb1,no,no,no,no,yes,no,no,no,no,,
RISC OS,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,,
" L4, Pistachio",yes,no,no,group=Noteb2,group=Noteb2,group=Noteb2,no,no,no,group=Noteb2,group=Noteb2,yes,no,no,no,no,,
Plan 9,yes,yes,yes,no,yes,yes,yes,group=Noteb3,group=Noteb3,yes,yes,yes,yes,group=Noteb3,no,no,See," lguest, vx32"
AROS,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,," [http://www.aros.org/introduction/ports.php#aros-i386-linux i386-linux], [http://www.aros.org/introduction/ports.php#aros-i386-freebsd i386-freebsd]"
Syllable,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Inferno,yes,dunno,no,no,dunno,yes,dunno,yes,dunno,no,yes,yes,yes,group=Noteb3,no,no,group=Noteb3 Texas Instruments OMAP," Solaris, group=Noteb3 group=Noteb3 Internet Explorer"
FreeRTOS,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes," AVR, PIC, MSP430, HCS12, 8052, H8S",
eCos,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes," [http://ecos.sourceware.org/hardware.html#CalmRISC CalmRISC], h8, [http://ecos.sourceware.org/hardware.html#Matsushita%20AM3x Matsushita AM3x], Nios II, [http://ecos.sourceware.org/hardware.html#NEC%20V8xx NEC V8xx], SuperH"," Microsoft Windows, Linux"
RTEMS,yes,no,Xen,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes," Coldfire, Texas Instruments C3x/C4x, SuperH, H8S"," Linux, Solaris, Cygwin, FreeBSD, multiple CPU simulators"
HelenOS,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,,
E/OS,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,,
TempleOS,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,," QEMU, VirtualBox, etc."
Name," x86, i386, IA-32",x86 SMP,Xen,IA-64,x86-64,PowerPC,PowerPC SMP,SPARC32,SPARC SMP,Alpha,MIPS,ARM,XScale,M68k,PA-RISC,OpenRISC,other,hosted mode
