Driver,Chipset,Integration,Non-free firmware required,License,Original/Primary developer,Development
[http://dev.kewl.org/acx100+111/ acx],Texas Instruments ACX100/ACX111,Separate project,Yes,BSD,,Reverse engineering
[http://www.freebsd.org/cgi/man.cgi?query=an an]," Aironet 4500/4800, Cisco Aironet 340/350, Xircom Wireless Ethernet",Integrated,On Device,BSD,Bill Paul (FreeBSD),
[http://www.freebsd.org/cgi/man.cgi?query=arl ;manpath=FreeBSD+7.2-RELEASE arl],Aironet Arlan 655,Integrated / Removed in 8.0,On Device,BSD,,
[http://www.freebsd.org/cgi/man.cgi?query=ath ath],Atheros AR5210/ AR5211/ AR5212/ AR5416 /AR9130 /AR9160 /AR9280 /AR9285 /AR9287 /AR9565 (and derivatives),Integrated,No,BSD,Originally by Atheros via Sam Leffler (FreeBSD); supported by the community,Documentation based
[http://www.freebsd.org/cgi/man.cgi?query=awi ;manpath=FreeBSD+7.2-RELEASE awi],AMD PCnetMobile,Integrated / Removed in 8.0,On Device,BSD,Bill Sommerfeld (NetBSD) and Atsushi Onoe (NetBSD),
[http://www.freebsd.org/cgi/man.cgi?query=bwi bwi],Broadcom BCM43xx/4318,Integrated since 8.0,Yes,BSD," Sepherosa Ziehau (DragonFly BSD), Andrew Thompson (FreeBSD), Sam Leffler (FreeBSD)",Ported from DragonFly BSD
[http://www.freebsd.org/cgi/man.cgi?query=bwn bwn],Broadcom BCM43xx/4318 v4 firmware,Integrated since 8.1,Yes,BSD,Weongyo Jeong,?
[http://www.freebsd.org/cgi/man.cgi?query=cnw ;manpath=FreeBSD+7.2-RELEASE cnw],Netwave AirSurfer,Integrated / Removed in 8.0,On Device,BSD,Imported from NetBSD,
[http://www.freebsd.org/cgi/man.cgi?query=ipw ipw],Intel PRO/Wireless 2100,Integrated,Yes,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Reverse engineering
[http://www.freebsd.org/cgi/man.cgi?query=iwi iwi],Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG,Integrated,Yes,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Reverse engineering
[http://www.freebsd.org/cgi/man.cgi?query=iwm iwm],Intel Dual Band Wireless-AC 3160 / 3165 / 7260 / 7265 / 8260,?,?,,?,?
