Feature,AROS,FreeBSD,Linux-based,HP-UX,OpenVMS,macOS,Solaris,Windows (cmd),Windows (PowerShell)
List directory," list, dir",ls,ls,ls,dir,ls,ls,dir,Get-ChildItem
Clear console,clear,clear,clear,clear,dunno,clear,clear,cls,Clear-Host
Copy file(s),copy,cp,cp,cp,copy,cp,cp,copy,Copy-Item
Move file(s),move,mv,mv,mv,dunno,mv,mv,move,Move-Item
Rename file(s),rename,mv," mv, rename",mv,ren,mv,mv,ren (rename),Rename-Item
Delete file(s),delete,rm,rm,rm,del,rm,rm,del (erase),Remove-Item
Delete directory,delete,rmdir,rmdir,rmdir,del,rmdir,rmdir,rd (rmdir),Remove-Item
Create directory,makedir,mkdir,mkdir,mkdir,create/dir,mkdir,mkdir,md (mkdir),New-Item
Change current directory," cd ",cd,cd,cd,set def,cd,cd,cd (chdir),Set-Location
Run shell script with new shell,shell file.shell,sh file.sh,sh file.sh,sh file.sh,@ file.com,sh file.sh,sh file.sh,cmd /c file.cmd,powershell file.ps1
Kill processes,dunno," kill, killall"," killall, pkill, kill, skill",kill,stop," kill, killall"," kill, pkill",taskkill,Stop-Process
Change process priority,changetaskpri,nice," nice, chrt",nice,set proc/prio,nice,nice," start /low, start /normal, start /high, start /realtime"," Start-Process, wmic"
Change I/O priority,dunno," ",ionice,dunno,set proc/prio," nice",dunno,dunno,dunno
Create file system,format,newfs,mkfs,newfs,init,mkfs," newfs, zpool\"
