" scope=""col""  Name"," scope=""col""  Founded year"," scope=""col"" class=""unsortable""  Latest stable version"," scope=""col""  Release year"," scope=""col""  License"," scope=""col""  Online"," scope=""col""  Windows"," scope=""col""  Mac OS X"," scope=""col""  Linux"," scope=""col""  BSD"
" scope=""col"" class=""unsortable""  Programming language"," scope=""col""  SDK?"," scope=""col"" class=""unsortable""  Languages"," scope=""col"" class=""unsortable""  Fonts"," scope=""col"" class=""unsortable""  Output Formats"," scope=""col"" class=""unsortable""  Notes"
Google Cloud Vision,,,2015,free,Yes,Browser,Browser,Browser,Unknown,Unknown,Yes,200+,All fonts,text,Google blog post
Tesseract,1985,4.0.0,2018,Apache,No,yes,yes,yes,yes," C++, C ",yes,100+,Any printed font," Text, hOCR, PDF, others with different user interfaces or the API ",Created by Hewlett-Packard; under further development by Google
ABBYY FineReader,1989,14,2017-01-25,proprietary,yes,yes,yes,yes,yes,C/C++,yes,192,dunno,"DOC, DOCX, XLS, XLSX, PPTX, RTF, PDF, HTML, CSV, TXT, ODT, DjVu, EPUB, FB2"," ABBYY also supplies SDKs for embedded and mobile devices. Professional, Corporate and Site License Editions for Windows, Express Edition for Mac."
E-aksharayan,2010,,,,,Yes,No,Yes,No,,,14,,"RTF, TXT, BRL",
Asprise OCR SDK,1998,15,2015,proprietary,yes,yes,yes,yes,yes," Java, C#,VB.NET, C/C++/Delphi ",yes,20+,dunno," Plain text, searchable PDF, XML"," Java, C#, VB.NET, C/C++/Delphi SDKs for OCR and Barcode recognition on Windows, Linux, Mac OS X and Unix."
AnyDoc Software,1989,dunno,dunno,proprietary,no,yes,no,no,no,VBScript,dunno,dunno,dunno,," Works with structured, semi-structured, and unstructured documents."
CuneiForm,1996,1.1,2011-04-19,BSD variant,no,yes,yes,yes,yes,C/C++,yes,28,Any printed font," HTML, hOCR, native, RTF, TeX, TXT "," Enterprise-class system, can save text formatting and recognizes complicated tables of any structure"
Dynamsoft OCR SDK,2003,8.2,2012,proprietary,yes,yes,No,No,No,C/C++,yes,40+,dunno," PDF, TXT ",
OmniPage,1970s,19.2,2015,proprietary,yes,yes,yes,yes,no," C/C++, C# ",yes,125,Machine and handprinted fonts,DOC/DOCX XLS/XLSX PPTX RTF PDF PDF/A Searchable PDF HTML Text XML ePUB MP3,Product of Nuance Communications
Microsoft Office OneNote 2007,2011,dunno,2007,proprietary,no,yes,no,no,no,dunno,dunno,dunno,dunno,,
GOCR,2000,0.52,2018-10-15,GPL,yes,yes,yes,yes,yes,C,dunno,20+,dunno,,
Ocrad,dunno,0.26,2017-03-31,GPL,yes,no,yes,yes,yes,C++,yes,Latin alphabet,dunno,,Command line
SmartScore,1991,10.5.8,2015-07,proprietary,no,yes,yes,no,no,dunno,dunno,dunno,dunno,,For musical scores
Microsoft Office Document Imaging,dunno,Office 2007,2007,proprietary,no,yes,no,no,no,dunno,dunno,dunno,dunno,,Uses OmniPagedate=March 2011
Puma.NET,dunno,dunno,2009-10-29,BSD,no,yes,no,no,no,C#,yes,28,Any printed font,,.NET OCR SDK based on Cognitive Technologies CuneiForm recognition engine. Wraps Puma COM server and provides simplified API for .NET applications
ReadSoft,dunno,dunno,14dunno,proprietary,no,yes,no,no,no,dunno,dunno,dunno,dunno,," Scan, capture and classify business documents such as invoices, forms and purchase orders integrated with business processes."
Scantron,dunno,dunno,dunno,proprietary,no,yes,no,no,no,dunno,dunno,dunno,dunno,," For working with localized interfaces, corresponding language support is required."
OCRFeeder,2009-03,0.8.1,2014-12-22,GPL,no,no,no,yes,no,Python,dunno,dunno,dunno,,Features a full user interface and has a command-line tool for automatic operations. Has its own segmentation algorithm but uses system-wide  OCR engines like Tesseract or Ocrad
OCRopus,2007,1.3.3,2017-12-16,Apache,no,no,yes,yes,yes,Python,dunno,All languages using Latin script (other languages can be trained),Normal Latin script and Fraktur (other scripts can be trained)," TXT, hOCR, PDF "," Pluggable framework under active development, used for Google Books "
Name,Founded year,Latest stable version,Release year,License,Online,Windows,Mac OS X,Linux,BSD,Programming language,SDK?,Languages,Fonts,Output Formats,Notes
